"id","name","level","code","admin_area_1","admin_area_2","admin_area_3"
"vYOh6T0QXeo","Aab Band",6,"AF-D- 0611","Afghanistan","Ghazni","Aab Band"
"r3Q1KVbgdXu","Aab Kamari",6,"AF-D- 1902","Afghanistan","Badghis","Aab Kamari"
"Gj7FedQo09y","Aaqcha",6,"AF-D- 1706","Afghanistan","Jawzjan","Aaqcha"
"nKW0xpU9nyr","Acheen",6,"AF-D- 0810","Afghanistan","Nangarhar","Acheen"
"LKr44TPTMEg","Adraskan",6,"AF-D- 2011","Afghanistan","Hirat","Adraskan"
"Nasfuph3Pqw","Afghanistan",3,"AF","Afghanistan",NA,NA
"spGPuLMsmmR","Ahmadaba",6,"AF-D- 0724","Afghanistan","Paktya","Ahmadaba"
"OxTzh6LFVJG","Ajrestaan",6,"AF-D- 0605","Afghanistan","Ghazni","Ajrestaan"
"klngJrTCk0C","Alasay",6,"AF-D- 0207","Afghanistan","Kapisa","Alasay"
"HJEZiBA4qsa","Aleengar",6,"AF-D- 0903","Afghanistan","Laghman","Aleengar"
"enImDgP0bLu","AliSheng",6,"AF-D- 0907","Afghanistan","Laghman","AliSheng"
"usBGgRRNjeK","Aliabad",6,"AF-D- 1405","Afghanistan","Kunduz","Aliabad"
"enYR0jkGpgJ","Almaar",6,"AF-D- 1803","Afghanistan","Faryab","Almaar"
"h1J3JLsO4lr","Anaar Darah",6,"AF-D- 2107","Afghanistan","Farah","Anaar Darah"
"MhLEIMf7WvY","Andar",6,"AF-D- 0614","Afghanistan","Ghazni","Andar"
"TopTZAUvVoT","Andaraab",6,"AF-D- 1307","Afghanistan","Baghlan","Andaraab"
"QfSpxAHWb6W","Andkhoy",6,"AF-D- 1812","Afghanistan","Faryab","Andkhoy"
"fER63RrJgJv","Arghandab (Kandahar)",6,"AF-D- 2404","Afghanistan","Kandahar","Arghandab (Kandahar)"
"CGdQ1PUZWtH","Arghandab (Zabul)",6,"AF-D- 2503","Afghanistan","Zabul","Arghandab (Zabul)"
"QWHy48KS6my","Arghanjowa",6,"AF-D- 1114","Afghanistan","Badakhshan","Arghanjowa"
"bs92H8PoziD","Arghestaan",6,"AF-D- 2412","Afghanistan","Kandahar","Arghestaan"
"nj4PXHvHOme","Argo",6,"AF-D- 1115","Afghanistan","Badakhshan","Argo"
"HlD5CymLdmb","Asadabad",6,"AF-D- 1001","Afghanistan","Kunar","Asadabad"
"c44Zf31YrwL","Asl-e-Chakhansor",6,"AF-D- 2204","Afghanistan","Nimroz","Asl-e-Chakhansor"
"ALOKdMg0fNP","Atghar",6,"AF-D- 2508","Afghanistan","Zabul","Atghar"
"scixyi3L19M","Aybak",6,"AF-D- 1501","Afghanistan","Samangan","Aybak"
"Q5JZXjKgkP6","Azrah",6,"AF-D- 0506","Afghanistan","Logar","Azrah"
"jw3ZHdhQv4k","Baak",6,"AF-D- 3210","Afghanistan","Khost","Baak"
"caRRmObjuNc","Badakhshan",5,"AF-P- 11","Afghanistan","Badakhshan",NA
"TizuAkd0Izz","Badghis",5,"AF-P- 19","Afghanistan","Badghis",NA
"lhdJzCfkoTn","Baghlan",5,"AF-P- 13","Afghanistan","Baghlan",NA
"Rq6hqZt4mPy","Baghlan-e-Jadid",6,"AF-D- 1312","Afghanistan","Baghlan","Baghlan-e-Jadid"
"P9b7zkUgKsc","Baghran",6,"AF-D- 2305","Afghanistan","Helmand","Baghran"
"J9YvDtZo3rO","Bagram",6,"AF-D- 0308","Afghanistan","Parwan","Bagram"
