"admin_area_1","admin_area_2","admin_area_3"
"Afghanistan","Badakhshan","Arghanjowa"
"Afghanistan","Badakhshan","Argo"
"Afghanistan","Badakhshan","Baharak"
"Afghanistan","Badakhshan","Darayem"
"Afghanistan","Badakhshan","Darwaz-e-Bala (Mahemay)"
"Afghanistan","Badakhshan","Darwaz-e-Payen (Nusai)"
"Afghanistan","Badakhshan","Eshkashem"
"Afghanistan","Badakhshan","Fayzabad (Badakhshan)"
"Afghanistan","Badakhshan","Jurm"
"Afghanistan","Badakhshan","Keran-o-Menjan"
"Afghanistan","Badakhshan","Keshm"
"Afghanistan","Badakhshan","Khaash"
"Afghanistan","Badakhshan","Khowahan"
"Afghanistan","Badakhshan","Kofab"
"Afghanistan","Badakhshan","Kohestan (Badakhshan)"
"Afghanistan","Badakhshan","Raghestan"
"Afghanistan","Badakhshan","Shahr-e-Buzorg"
"Afghanistan","Badakhshan","Shekay"
"Afghanistan","Badakhshan","Shighnan"
"Afghanistan","Badakhshan","Shohada"
"Afghanistan","Badakhshan","Tagab (Badakhshan)"
"Afghanistan","Badakhshan","Tashkan"
"Afghanistan","Badakhshan","Wakhan"
"Afghanistan","Badakhshan","Wordooj"
"Afghanistan","Badakhshan","Yaawan"
"Afghanistan","Badakhshan","Yaftal Sofla"
"Afghanistan","Badakhshan","Yamgan (Geerwan)"
"Afghanistan","Badakhshan","Zebak"
"Afghanistan","Badghis","Aab Kamari"
"Afghanistan","Badghis","Ghormaach"
"Afghanistan","Badghis","Jowand"
"Afghanistan","Badghis","Moqur"
"Afghanistan","Badghis","Morghaab (Bala Morghab)"
"Afghanistan","Badghis","Qades"
"Afghanistan","Badghis","Qala-e-Naw"
"Afghanistan","Baghlan","Andaraab"
"Afghanistan","Baghlan","Baghlan-e-Jadid"
"Afghanistan","Baghlan","Borka"
"Afghanistan","Baghlan","Dahana-e-Ghori"
"Afghanistan","Baghlan","Deh Salah"
"Afghanistan","Baghlan","Dooshi"
"Afghanistan","Baghlan","Farang-wa-Gharoo"
"Afghanistan","Baghlan","Guzargah-e-Noor"
"Afghanistan","Baghlan","Khenjan"
"Afghanistan","Baghlan","Khost-wa-Fereng"
"Afghanistan","Baghlan","Khowaja Hejran (Jelgah)"
"Afghanistan","Baghlan","Nahreen"
"Afghanistan","Baghlan","Pul-e-Hesar"
"Afghanistan","Baghlan","Pul-e-Khomri"
"Afghanistan","Baghlan","Tala-wa-Barfak"
"Afghanistan","Balkh","Balkh"
"Afghanistan","Balkh","Chahar Bolak"
"Afghanistan","Balkh","Chahar Kent"
"Afghanistan","Balkh","Chahi"
"Afghanistan","Balkh","Chemtaal"
"Afghanistan","Balkh","Dawlatabad (Balkh)"
"Afghanistan","Balkh","Deh Daadi"
"Afghanistan","Balkh","Kaldaar"
"Afghanistan","Balkh","Keshen Deh"
"Afghanistan","Balkh","Maarmul"
"Afghanistan","Balkh","Mazar-e-Shareef"
"Afghanistan","Balkh","Nahr-e-Shahi"
"Afghanistan","Balkh","Sholgarah"
"Afghanistan","Balkh","Shortepa"
"Afghanistan","Balkh","Zari"
"Afghanistan","Bamyan","Bamyan"
"Afghanistan","Bamyan","Kohmard"
"Afghanistan","Bamyan","Panjab"
"Afghanistan","Bamyan","Sayghan"
"Afghanistan","Bamyan","Shebar"
"Afghanistan","Bamyan","Waras"
"Afghanistan","Bamyan","Yakawlang"
"Afghanistan","Dykundi","Eshtarlee"
"Afghanistan","Dykundi","Geeti"
"Afghanistan","Dykundi","Gujran"
"Afghanistan","Dykundi","Khadeer"
"Afghanistan","Dykundi","Meramoor"
"Afghanistan","Dykundi","Nilee"
"Afghanistan","Dykundi","Pato *"
"Afghanistan","Dykundi","Sang-e-Takht"
"Afghanistan","Dykundi","Shahrestaan"
"Afghanistan","Farah","Anaar Darah"
"Afghanistan","Farah","Bakwah"
"Afghanistan","Farah","Bala Bolook"
"Afghanistan","Farah","Farah"
"Afghanistan","Farah","Farahrod"
"Afghanistan","Farah","Gulestan"
"Afghanistan","Farah","Khak-e-Safid"
"Afghanistan","Farah","Laash-o-Jaween"
"Afghanistan","Farah","Por Chaman"
"Afghanistan","Farah","Posht-e-Road"
"Afghanistan","Farah","Qala-e-Kaah"
"Afghanistan","Farah","Sheeb Koh"
"Afghanistan","Faryab","Almaar"
"Afghanistan","Faryab","Andkhoy"
"Afghanistan","Faryab","Balcheraagh"
"Afghanistan","Faryab","Dawlatabad (Faryab)"
"Afghanistan","Faryab","Garzewaan"
"Afghanistan","Faryab","Khan-e-Chahar Bagh"
"Afghanistan","Faryab","Khowaja Sabz Posh Wali"
"Afghanistan","Faryab","Kohestan (Faryab)"
"Afghanistan","Faryab","Maimana"
"Afghanistan","Faryab","Pahstoon Kot"
"Afghanistan","Faryab","Qaram Qul"
"Afghanistan","Faryab","Qaysaar"
"Afghanistan","Faryab","Qurghaan"
"Afghanistan","Faryab","Sherin Tagab"
"Afghanistan","Ghazni","Aab Band"
"Afghanistan","Ghazni","Ajrestaan"
"Afghanistan","Ghazni","Andar"
"Afghanistan","Ghazni","Deh Yak"
"Afghanistan","Ghazni","Geelan"
"Afghanistan","Ghazni","Geero"
"Afghanistan","Ghazni","Ghazni"
"Afghanistan","Ghazni","Jaghatoo"
"Afghanistan","Ghazni","Jaghoori"
"Afghanistan","Ghazni","Khowaja Omary"
"Afghanistan","Ghazni","Malestan"
"Afghanistan","Ghazni","Moqor"
"Afghanistan","Ghazni","Nawah"
"Afghanistan","Ghazni","Nawar"
"Afghanistan","Ghazni","Qara Bagh (Ghazni)"
"Afghanistan","Ghazni","Rasheedan"
"Afghanistan","Ghazni","Waghaz"
"Afghanistan","Ghazni","Wali Moh. Shaheed"
"Afghanistan","Ghazni","Zen Khan"
"Afghanistan","Ghor","Chaarsadah"
"Afghanistan","Ghor","Dawlat Yaar"
"Afghanistan","Ghor","Doleena"
"Afghanistan","Ghor","Feroz Koh"
"Afghanistan","Ghor","Lal-o-Sar-e-Jangal"
"Afghanistan","Ghor","Morghab"
"Afghanistan","Ghor","Pasaband"
"Afghanistan","Ghor","Saaghar"
"Afghanistan","Ghor","Shahrak"
"Afghanistan","Ghor","Teyoora"
"Afghanistan","Ghor","Tolak"
"Afghanistan","Helmand","Baghran"
"Afghanistan","Helmand","Deesho"
"Afghanistan","Helmand","Garm Seir"
"Afghanistan","Helmand","Kajaki"
"Afghanistan","Helmand","LashkarGaah"
"Afghanistan","Helmand","Mosa Qala"
"Afghanistan","Helmand","Nad Ali"
"Afghanistan","Helmand","Nahr-e-Seraj"
"Afghanistan","Helmand","Nawa-e-Barekzaye"
"Afghanistan","Helmand","Nawzaad"
"Afghanistan","Helmand","Rig-e-Khansheen"
"Afghanistan","Helmand","Sangeen"
"Afghanistan","Helmand","Washir"
"Afghanistan","Hirat","Adraskan"
"Afghanistan","Hirat","Chesht-e-Shareef"
"Afghanistan","Hirat","Enjeel"
"Afghanistan","Hirat","Farsi"
"Afghanistan","Hirat","Ghoryaan"
"Afghanistan","Hirat","Gulran"
"Afghanistan","Hirat","Guzarah (Nizam Shaheed)"
"Afghanistan","Hirat","Hirat"
"Afghanistan","Hirat","Karokh"
"Afghanistan","Hirat","Keshk (Robat Sangi)"
"Afghanistan","Hirat","Keshk-e-Kohna"
"Afghanistan","Hirat","Kohsan"
"Afghanistan","Hirat","Obeh"
"Afghanistan","Hirat","Pashtoon Zarghoon"
"Afghanistan","Hirat","Shindand"
"Afghanistan","Hirat","Zindah Jan"
"Afghanistan","Jawzjan","Aaqcha"
"Afghanistan","Jawzjan","Darzaab"
"Afghanistan","Jawzjan","Fayzabad (Jawzjan)"
"Afghanistan","Jawzjan","Khamyab"
"Afghanistan","Jawzjan","Khanaqa"
"Afghanistan","Jawzjan","Khowaja Du Koh"
"Afghanistan","Jawzjan","Mangajak"
"Afghanistan","Jawzjan","Mardeyaan"
"Afghanistan","Jawzjan","Qarqeen"
"Afghanistan","Jawzjan","Qosh Teepa"
"Afghanistan","Jawzjan","Sheberghaan"
"Afghanistan","Kabul","Bagrami"
"Afghanistan","Kabul","Chahar Asyab"
"Afghanistan","Kabul","Deh Sabz"
"Afghanistan","Kabul","Farza"
"Afghanistan","Kabul","Guldarah"
"Afghanistan","Kabul","Istalif"
"Afghanistan","Kabul","Kabul"
"Afghanistan","Kabul","Kalakan"
"Afghanistan","Kabul","Khak-e-Jabar"
"Afghanistan","Kabul","Mir Bacha Kot"
"Afghanistan","Kabul","Musayi"
"Afghanistan","Kabul","Paghman"
"Afghanistan","Kabul","Qara Bagh (Kabul)"
"Afghanistan","Kabul","Shakar Darah"
"Afghanistan","Kabul","Suroobi (Kabul)"
"Afghanistan","Kandahar","Arghandab (Kandahar)"
"Afghanistan","Kandahar","Arghestaan"
"Afghanistan","Kandahar","Damaan"
"Afghanistan","Kandahar","Ghorak"
"Afghanistan","Kandahar","Kandahar"
"Afghanistan","Kandahar","Khakriz"
"Afghanistan","Kandahar","Maiwand"
"Afghanistan","Kandahar","Maroof"
"Afghanistan","Kandahar","Mia Nesheen"
"Afghanistan","Kandahar","Nish"
"Afghanistan","Kandahar","Panjwaye"
"Afghanistan","Kandahar","Rig"
"Afghanistan","Kandahar","Shah Wali Kot"
"Afghanistan","Kandahar","Shorabak"
"Afghanistan","Kandahar","Speen Boldak"
"Afghanistan","Kandahar","Zgheray"
"Afghanistan","Kapisa","Alasay"
"Afghanistan","Kapisa","His-e-Awal-e-Kohestan"
"Afghanistan","Kapisa","His-e-Dwom-e-Kohestan"
"Afghanistan","Kapisa","KohBand"
"Afghanistan","Kapisa","Mahmood-Raqi"
"Afghanistan","Kapisa","Nijrab"
"Afghanistan","Kapisa","Tagab (Kapisa)"
"Afghanistan","Khost","Baak"
"Afghanistan","Khost","Esperah"
"Afghanistan","Khost","Gorbuz"
"Afghanistan","Khost","Jaji Maidan"
"Afghanistan","Khost","Khost (Matoon)"
"Afghanistan","Khost","Mandozayi (Ismail Kheil)"
"Afghanistan","Khost","Mosa Kheil"
"Afghanistan","Khost","Nadir Shah Kot"
"Afghanistan","Khost","Qalander"
"Afghanistan","Khost","Sabri (Yaqoobi)"
"Afghanistan","Khost","Shoml"
"Afghanistan","Khost","Tanay"
"Afghanistan","Khost","Tirzayi (Ali Sher)"
"Afghanistan","Kunar","Asadabad"
"Afghanistan","Kunar","Bar Kunar"
"Afghanistan","Kunar","Chapah Darah"
"Afghanistan","Kunar","Chawki"
"Afghanistan","Kunar","Daangam"
"Afghanistan","Kunar","Dara-e-Paich"
"Afghanistan","Kunar","Ghazi Aabad"
"Afghanistan","Kunar","Khaas Kunar"
"Afghanistan","Kunar","Marah Warah"
"Afghanistan","Kunar","Naari"
"Afghanistan","Kunar","Narang wa Badil"
"Afghanistan","Kunar","Noor Gul"
"Afghanistan","Kunar","SarKaani"
"Afghanistan","Kunar","Shegal"
"Afghanistan","Kunar","Wata Poor"
"Afghanistan","Kunduz","Aliabad"
"Afghanistan","Kunduz","Chahar Darah"
"Afghanistan","Kunduz","Dashte Archee"
"Afghanistan","Kunduz","Hazrat Imam Sahib"
"Afghanistan","Kunduz","Khanabad"
"Afghanistan","Kunduz","Kunduz"
"Afghanistan","Kunduz","Qalaye Zaal"
"Afghanistan","Laghman","Aleengar"
"Afghanistan","Laghman","AliSheng"
"Afghanistan","Laghman","Dawlat Shah"
"Afghanistan","Laghman","Mehtarlam"
"Afghanistan","Laghman","Qarghayi"
"Afghanistan","Logar","Azrah"
"Afghanistan","Logar","Baraki Barak"
"Afghanistan","Logar","Charkh"
"Afghanistan","Logar","Kherwaar"
"Afghanistan","Logar","Khooshi"
"Afghanistan","Logar","Mohammad Aagha"
"Afghanistan","Logar","Pul-e-Alam"
"Afghanistan","Nangarhar","Acheen"
"Afghanistan","Nangarhar","Bat-e-Kot"
"Afghanistan","Nangarhar","Behsood"
"Afghanistan","Nangarhar","Chaparhar"
"Afghanistan","Nangarhar","Dara-e-Noor"
"Afghanistan","Nangarhar","Deh Bala"
"Afghanistan","Nangarhar","Dor Baba"
"Afghanistan","Nangarhar","Goshta"
"Afghanistan","Nangarhar","Hesarak"
"Afghanistan","Nangarhar","Jalal Abad"
"Afghanistan","Nangarhar","Kama"
"Afghanistan","Nangarhar","Khogyani"
"Afghanistan","Nangarhar","Kooz Kunar"
"Afghanistan","Nangarhar","Kot"
"Afghanistan","Nangarhar","Lal Poor"
"Afghanistan","Nangarhar","Mohmand Darah"
"Afghanistan","Nangarhar","Nazyan"
"Afghanistan","Nangarhar","Pacheer Wagaam"
"Afghanistan","Nangarhar","Rodat"
"Afghanistan","Nangarhar","Shinwar"
"Afghanistan","Nangarhar","Shirzad"
"Afghanistan","Nangarhar","Sorkh Road"
"Afghanistan","Nangarhar","Spin Ghar *"
"Afghanistan","Nimroz","Asl-e-Chakhansor"
"Afghanistan","Nimroz","Chahar Burjak"
"Afghanistan","Nimroz","Kang"
"Afghanistan","Nimroz","Khaash Road"
"Afghanistan","Nimroz","Zaranj"
"Afghanistan","Nooristan","Barg-e-Mataal"
"Afghanistan","Nooristan","DoAab"
"Afghanistan","Nooristan","Kamdesh"
"Afghanistan","Nooristan","Mandol"
"Afghanistan","Nooristan","Noor Geraam"
"Afghanistan","Nooristan","Paroon"
"Afghanistan","Nooristan","Wama"
"Afghanistan","Nooristan","Waygal"
"Afghanistan","Paktika","Barmal"
"Afghanistan","Paktika","Deela wa Khosmand"
"Afghanistan","Paktika","Geyan"
"Afghanistan","Paktika","Gomal"
"Afghanistan","Paktika","Jani Kheil (Paktika)"
"Afghanistan","Paktika","Meta Khan"
"Afghanistan","Paktika","Nika"
"Afghanistan","Paktika","Omna"
"Afghanistan","Paktika","Orgoon"
"Afghanistan","Paktika","Sar-e-Rawza"
"Afghanistan","Paktika","Sharan"
"Afghanistan","Paktika","Suroobi (Paktika)"
"Afghanistan","Paktika","Torwo"
"Afghanistan","Paktika","Waza Khowah"
"Afghanistan","Paktika","Wor  Mamay"
"Afghanistan","Paktika","Yahya Kheil"
"Afghanistan","Paktika","Yosuf Kheil"
"Afghanistan","Paktika","Zarghoon Shahr"
"Afghanistan","Paktika","Zerook"
"Afghanistan","Paktya","Ahmadaba"
"Afghanistan","Paktya","Dand-wa-Patan"
"Afghanistan","Paktya","Garda Siray *"
"Afghanistan","Paktya","Gardez"
"Afghanistan","Paktya","Jaji"
"Afghanistan","Paktya","Jani Kheil (Paktya)"
"Afghanistan","Paktya","Laja Ahmad Kheil"
"Afghanistan","Paktya","Rohany Baba *"
"Afghanistan","Paktya","Said Karam"
"Afghanistan","Paktya","Samkanay"
"Afghanistan","Paktya","Shawak"
"Afghanistan","Paktya","Woza Zadran"
"Afghanistan","Paktya","Zormat"
"Afghanistan","Panjsher","Bazarak"
"Afghanistan","Panjsher","Darah"
"Afghanistan","Panjsher","His-e-Awal (Khenj)"
"Afghanistan","Panjsher","Onaba"
"Afghanistan","Panjsher","Paryan"
"Afghanistan","Panjsher","Rokha"
"Afghanistan","Panjsher","Shutul"
"Afghanistan","Parwan","Bagram"
"Afghanistan","Parwan","Chaharekar"
"Afghanistan","Parwan","Jabal-us-Seraj"
"Afghanistan","Parwan","Koh-e-Safi"
"Afghanistan","Parwan","Said Kheil"
"Afghanistan","Parwan","Salang"
"Afghanistan","Parwan","Sheikh Ali"
"Afghanistan","Parwan","Shinwari"
"Afghanistan","Parwan","SiyaGerd (Ghorband)"
"Afghanistan","Parwan","Surkh Parsa"
"Afghanistan","Samangan","Aybak"
"Afghanistan","Samangan","Dara-e-Soof Bala"
"Afghanistan","Samangan","Dara-e-Soof Payeen"
"Afghanistan","Samangan","Feroz Nakhcheer"
"Afghanistan","Samangan","Hazrat-e-Sultan"
"Afghanistan","Samangan","Kholm"
"Afghanistan","Samangan","Khoram wa Saarbagh"
"Afghanistan","Samangan","Roy-e-Doaab"
"Afghanistan","Sar-e-Pul","Balkhab"
