"id","name","level","code","admin_area_1","admin_area_2","admin_area_3"
"SBXgCz8a1mJ","Bagerhat District",3,"4001",NA,"Khulna Division","Bagerhat District"
"kIigufR2pxZ","Bandarban District",3,"2003",NA,"Chattogram Division","Bandarban District"
"oaBKds6jNBu","Bangabandhu Sheikh Mujib Medical University",3,"10013148",NA,"Dhaka Division","Bangabandhu Sheikh Mujib Medical University"
"xNcsJeRMUCM","Barguna District",3,"1004",NA,"Barishal Division","Barguna District"
"uOU0jtyD1PZ","Barishal District",3,"1006",NA,"Barishal Division","Barishal District"
"mykF7AaZv9R","Barishal Division",2,"10",NA,"Barishal Division",NA
"EdOWA8sKh2p","Bhola District",3,"1009",NA,"Barishal Division","Bhola District"
"deMzy4wfdQp","Bogura District",3,"5010",NA,"Rajshahi Division","Bogura District"
"ADgCqo7XEdN","Brahmanbaria District",3,"2012",NA,"Chattogram Division","Brahmanbaria District"
"QeUmt4wMJMD","Chandpur District",3,"2013",NA,"Chattogram Division","Chandpur District"
"TNnUjBNDA2I","Chapai Nababganj District",3,"5070",NA,"Rajshahi Division","Chapai Nababganj District"
"M4azdi9vz14","Chattogram District",3,"2015",NA,"Chattogram Division","Chattogram District"
"JhD8UE2rL3c","Chattogram Division",2,"20",NA,"Chattogram Division",NA
"zrcMWEwJesB","Chattogram Medical College Hospital",3,"10000756",NA,"Chattogram Division","Chattogram Medical College Hospital"
"HdXnLIBkPwq","Chittagong Medical College",3,"10000755",NA,"Chattogram Division","Chittagong Medical College"
"L2doe2jZqfw","Chuadanga District",3,"4018",NA,"Khulna Division","Chuadanga District"
"SJhtJq6WthC","Coxs Bazar District",3,"2022",NA,"Chattogram Division","Coxs Bazar District"
"HbfaPXJoy6n","Cumilla District",3,"2019",NA,"Chattogram Division","Cumilla District"
"f08h9fc6BBC","Dhaka District",3,"3026",NA,"Dhaka Division","Dhaka District"
"pF3sVE7tZdk","Dhaka Division",2,"30",NA,"Dhaka Division",NA
"x6ljbkWSByL","Dhaka Medical College",3,"10000032",NA,"Dhaka Division","Dhaka Medical College"
"CjVYENQzcc8","Dhaka Medical College Hospital",3,"10000033",NA,"Dhaka Division","Dhaka Medical College Hospital"
"wkFPxX6l11i","Dinajpur District",3,"5527",NA,"Rangpur Division","Dinajpur District"
"Gl0i4WfYY4n","Faridpur District",3,"3029",NA,"Dhaka Division","Faridpur District"
"tvU7upQVfxZ","Feni District",3,"2030",NA,"Chattogram Division","Feni District"
"LQzQyYZs9bQ","Gaibandha District",3,"5532",NA,"Rangpur Division","Gaibandha District"
"HgO6ATQG60V","Gazipur District",3,"3033",NA,"Dhaka Division","Gazipur District"
"wrWeJ5hrTtt","Gopalganj District",3,"3035",NA,"Dhaka Division","Gopalganj District"
"uUiWLZJ0KzP","Habiganj District",3,"6036",NA,"Sylhet Division","Habiganj District"
