"admin_area_1","admin_area_2","admin_area_3"
NA,"Barishal Division","Barguna District"
NA,"Barishal Division","Barishal District"
NA,"Barishal Division","Bhola District"
NA,"Barishal Division","Jhalokati District"
NA,"Barishal Division","Patuakhali District"
NA,"Barishal Division","Pirojpur District"
NA,"Chattogram Division","Bandarban District"
NA,"Chattogram Division","Brahmanbaria District"
NA,"Chattogram Division","Chandpur District"
NA,"Chattogram Division","Chattogram District"
NA,"Chattogram Division","Coxs Bazar District"
NA,"Chattogram Division","Cumilla District"
NA,"Chattogram Division","Feni District"
NA,"Chattogram Division","Khagrachhari District"
NA,"Chattogram Division","Laksmipur District"
NA,"Chattogram Division","Noakhali District"
NA,"Chattogram Division","Rangamati District"
NA,"Dhaka Division","Dhaka District"
NA,"Dhaka Division","Faridpur District"
NA,"Dhaka Division","Gazipur District"
NA,"Dhaka Division","Gopalganj District"
NA,"Dhaka Division","Kishoreganj District"
NA,"Dhaka Division","Madaripur District"
NA,"Dhaka Division","Manikganj District"
NA,"Dhaka Division","Munshiganj District"
NA,"Dhaka Division","Narayanganj District"
NA,"Dhaka Division","Narshingdi District"
NA,"Dhaka Division","Rajbari District"
NA,"Dhaka Division","Shariatpur District"
NA,"Dhaka Division","Tangail District"
NA,"Khulna Division","Bagerhat District"
NA,"Khulna Division","Chuadanga District"
NA,"Khulna Division","Jashore District"
NA,"Khulna Division","Jhenaidaha District"
NA,"Khulna Division","Khulna District"
NA,"Khulna Division","Kustia District"
NA,"Khulna Division","Magura District"
NA,"Khulna Division","Meherpur District"
NA,"Khulna Division","Narail District"
NA,"Khulna Division","Satkhira District"
NA,"Rajshahi Division","Bogura District"
NA,"Rajshahi Division","Chapai Nababganj District"
NA,"Rajshahi Division","Joypurhat District"
NA,"Rajshahi Division","Naogaon District"
NA,"Rajshahi Division","Natore District"
NA,"Rajshahi Division","Pabna District"
NA,"Rajshahi Division","Rajshahi District"
NA,"Rajshahi Division","Sirajganj District"
NA,"Rangpur Division","Dinajpur District"
NA,"Rangpur Division","Gaibandha District"
NA,"Rangpur Division","Kurigram District"
NA,"Rangpur Division","Lalmonirhat District"
NA,"Rangpur Division","Nilphamari District"
NA,"Rangpur Division","Panchagarh District"
NA,"Rangpur Division","Rangpur District"
NA,"Rangpur Division","Thakurgaon District"
NA,"Sylhet Division","Habiganj District"
NA,"Sylhet Division","Maulavi Bazar District"
NA,"Sylhet Division","Sunamganj District"
NA,"Sylhet Division","Sylhet District"
