"id","name","level","code","admin_area_1","admin_area_2","admin_area_3"
"CUwhKVRXCNB","District Abo",3,NA,"Ministere de la Sante Publique","Region Littoral","District Abo"
"BXecuo0LGjt","District Abong Mbang",3,NA,"Ministere de la Sante Publique","Region Est","District Abong Mbang"
"K5SNSG3jYJf","District Ako",3,NA,"Ministere de la Sante Publique","Region Nord-Ouest","District Ako"
"KhxybRbKa89","District Akonolinga",3,NA,"Ministere de la Sante Publique","Region Centre","District Akonolinga"
"wec45Tzg84H","District Akwaya",3,NA,"Ministere de la Sante Publique","Region Sud-Ouest","District Akwaya"
"dCTKxnT61c8","District Ambam",3,NA,"Ministere de la Sante Publique","Region Sud","District Ambam"
"orPEzQ5K0XK","District Awae",3,NA,"Ministere de la Sante Publique","Region Centre","District Awae"
"Z7JdkSa4yO2","District Ayos",3,NA,"Ministere de la Sante Publique","Region Centre","District Ayos"
"tRrKpvpYrGu","District Bafang",3,NA,"Ministere de la Sante Publique","Region Ouest","District Bafang"
"oqHeeom53Hv","District Bafia",3,NA,"Ministere de la Sante Publique","Region Centre","District Bafia"
"XulNkyjwHeT","District Bafut",3,NA,"Ministere de la Sante Publique","Region Nord-Ouest","District Bafut"
"T1obXcgEKXq","District Baham",3,NA,"Ministere de la Sante Publique","Region Ouest","District Baham"
"R0givPhK79s","District Bakassi",3,NA,"Ministere de la Sante Publique","Region Sud-Ouest","District Bakassi"
"dR45cOpbyDE","District Bali",3,NA,"Ministere de la Sante Publique","Region Nord-Ouest","District Bali"
"OFBx14lqOi2","District Bamenda",3,NA,"Ministere de la Sante Publique","Region Nord-Ouest","District Bamenda"
"w8q9WhnGfNh","District Bamenda 3",3,NA,"Ministere de la Sante Publique","Region Nord-Ouest","District Bamenda 3"
"gbs7vqcB7f3","District Bamendjou",3,NA,"Ministere de la Sante Publique","Region Ouest","District Bamendjou"
"yZogx0YhPqV","District Bandja",3,NA,"Ministere de la Sante Publique","Region Ouest","District Bandja"
"uvwLeXvQtON","District Bandjoun",3,NA,"Ministere de la Sante Publique","Region Ouest","District Bandjoun"
"LCwbtZfIv6r","District Bangangte",3,NA,"Ministere de la Sante Publique","Region Ouest","District Bangangte"
"LSd14FIORWE","District Bangem",3,NA,"Ministere de la Sante Publique","Region Sud-Ouest","District Bangem"
"yOqRgg7hMRH","District Bangourain",3,NA,"Ministere de la Sante Publique","Region Ouest","District Bangourain"
"poX7OeIv0Kj","District Bangue",3,NA,"Ministere de la Sante Publique","Region Littoral","District Bangue"
"aohhv0FSzXx","District Bankim",3,NA,"Ministere de la Sante Publique","Region Adamaoua","District Bankim"
"h0CkVP62cbR","District Banyo",3,NA,"Ministere de la Sante Publique","Region Adamaoua","District Banyo"
"U3DW7aVZd3k","District Batcham",3,NA,"Ministere de la Sante Publique","Region Ouest","District Batcham"
"y6q6X5UqaCa","District Batibo",3,NA,"Ministere de la Sante Publique","Region Nord-Ouest","District Batibo"
"AeHFq12B9mO","District Batouri",3,NA,"Ministere de la Sante Publique","Region Est","District Batouri"
"vxAvVkB5pFF","District Belabo",3,NA,"Ministere de la Sante Publique","Region Est","District Belabo"
"gziYJtW0Qj7","District Belel",3,NA,"Ministere de la Sante Publique","Region Adamaoua","District Belel"
"QsHMfaWcZuR","District Benakuma",3,NA,"Ministere de la Sante Publique","Region Nord-Ouest","District Benakuma"
"PluhLfcpScb","District Bertoua",3,NA,"Ministere de la Sante Publique","Region Est","District Bertoua"
"mX6sWyHlrZy","District Betare Oya",3,NA,"Ministere de la Sante Publique","Region Est","District Betare Oya"
"EzvlBRsu9ed","District Bibemi",3,NA,"Ministere de la Sante Publique","Region Nord","District Bibemi"
"LslScPIVQsP","District Biyem Assi",3,NA,"Ministere de la Sante Publique","Region Centre","District Biyem Assi"
"Z4VBiryOwti","District Bogo",3,NA,"Ministere de la Sante Publique","Region Extreme-Nord","District Bogo"
"KwjGYEHFmvz","District Boko",3,NA,"Ministere de la Sante Publique","Region Littoral","District Boko"
"YsTZ2jJPWSs","District Bonassama",3,NA,"Ministere de la Sante Publique","Region Littoral","District Bonassama"
"vzNICB93Cd0","District Bourha",3,NA,"Ministere de la Sante Publique","Region Extreme-Nord","District Bourha"
"Kw84burI24i","District Buea",3,NA,"Ministere de la Sante Publique","Region Sud-Ouest","District Buea"
"j6kbb0PLK2K","District Cite Des Palmiers",3,NA,"Ministere de la Sante Publique","Region Littoral","District Cite Des Palmiers"
"opxQwtJQRHC","District Cite Verte",3,NA,"Ministere de la Sante Publique","Region Centre","District Cite Verte"
"Jcwui5cUBe6","District Dang",3,NA,"Ministere de la Sante Publique","Region Adamaoua","District Dang"
"OyWv4r2m1eB","District Deido",3,NA,"Ministere de la Sante Publique","Region Littoral","District Deido"
"t8WnQjis9hv","District Dibombari",3,NA,"Ministere de la Sante Publique","Region Littoral","District Dibombari"
"KDl6fs5ogeo","District Djohong",3,NA,"Ministere de la Sante Publique","Region Adamaoua","District Djohong"
"mq0PBsN4Mb9","District Djoum",3,NA,"Ministere de la Sante Publique","Region Sud","District Djoum"
"wdOevcUfOFS","District Djoungolo",3,NA,"Ministere de la Sante Publique","Region Centre","District Djoungolo"
"Hhs4LEjpZCt","District Doume",3,NA,"Ministere de la Sante Publique","Region Est","District Doume"
"mln4gxKeLm9","District Dschang",3,NA,"Ministere de la Sante Publique","Region Ouest","District Dschang"
"k26wZzs6fYn","District Ebebda",3,NA,"Ministere de la Sante Publique","Region Centre","District Ebebda"
"tAJLD2AOrF2","District Ebolowa",3,NA,"Ministere de la Sante Publique","Region Sud","District Ebolowa"
"DR7SGrP9U5p","District Edea",3,NA,"Ministere de la Sante Publique","Region Littoral","District Edea"
"oqLHsSVXdzk","District Efoulan",3,NA,"Ministere de la Sante Publique","Region Centre","District Efoulan"
"E6DvKKKUpma","District Ekondo Titi",3,NA,"Ministere de la Sante Publique","Region Sud-Ouest","District Ekondo Titi"
"jG4nvj2DZJS","District Elig Mfomo",3,NA,"Ministere de la Sante Publique","Region Centre","District Elig Mfomo"
"Odf40VHD7Bd","District Eseka",3,NA,"Ministere de la Sante Publique","Region Centre","District Eseka"
"sf0lRw9EaP9","District Esse",3,NA,"Ministere de la Sante Publique","Region Centre","District Esse"
"bVqbHso7zuG","District Evodoula",3,NA,"Ministere de la Sante Publique","Region Centre","District Evodoula"
"O9ZIyhPGz0F","District Eyumodjock",3,NA,"Ministere de la Sante Publique","Region Sud-Ouest","District Eyumodjock"
"P0H2BH0AlAZ","District Figuil",3,NA,"Ministere de la Sante Publique","Region Nord","District Figuil"
"DCwtTpA51HU","District Fontem",3,NA,"Ministere de la Sante Publique","Region Sud-Ouest","District Fontem"
"NeWKPjoXqlm","District Fotokol",3,NA,"Ministere de la Sante Publique","Region Extreme-Nord","District Fotokol"
"Si4uqnQ1wzg","District Foumban",3,NA,"Ministere de la Sante Publique","Region Ouest","District Foumban"
"XfeBgl7MKXx","District Foumbot",3,NA,"Ministere de la Sante Publique","Region Ouest","District Foumbot"
"Q6iGAn8nYyz","District Fundong",3,NA,"Ministere de la Sante Publique","Region Nord-Ouest","District Fundong"
"kSTqkEs9QyP","District Galim",3,NA,"Ministere de la Sante Publique","Region Ouest","District Galim"
"abs2eeOWU7R","District Garoua 1",3,NA,"Ministere de la Sante Publique","Region Nord","District Garoua 1"
"pczitgt2mrj","District Garoua 2",3,NA,"Ministere de la Sante Publique","Region Nord","District Garoua 2"
"sGr5Eze9Wxv","District Garoua Boulai",3,NA,"Ministere de la Sante Publique","Region Est","District Garoua Boulai"
"OkuB2eqd9Wc","District Gaschiga",3,NA,"Ministere de la Sante Publique","Region Nord","District Gaschiga"
"ZLn6EZV52q0","District Gazawa",3,NA,"Ministere de la Sante Publique","Region Extreme-Nord","District Gazawa"
"wcv0Se1Rnp1","District Golombe",3,NA,"Ministere de la Sante Publique","Region Nord","District Golombe"
"gJuvWUODxkZ","District Goulfey",3,NA,"Ministere de la Sante Publique","Region Extreme-Nord","District Goulfey"
"WPfDfEZFqi4","District Guere",3,NA,"Ministere de la Sante Publique","Region Extreme-Nord","District Guere"
"LlCfNDZUQ1E","District Guider",3,NA,"Ministere de la Sante Publique","Region Nord","District Guider"
"BxwMfHS5L1w","District Guidiguis",3,NA,"Ministere de la Sante Publique","Region Extreme-Nord","District Guidiguis"
"pHIkYTQIa9E","District Hina",3,NA,"Ministere de la Sante Publique","Region Extreme-Nord","District Hina"
"QvNd1aTPwFA","District Japoma",3,NA,"Ministere de la Sante Publique","Region Littoral","District Japoma"
"RXydr31mZ15","District Kaele",3,NA,"Ministere de la Sante Publique","Region Extreme-Nord","District Kaele"
"ejbfEPoRXk2","District Kar Hay",3,NA,"Ministere de la Sante Publique","Region Extreme-Nord","District Kar Hay"
"atVRjdLlXkI","District Kekem",3,NA,"Ministere de la Sante Publique","Region Ouest","District Kekem"
"vKnHSw4VgSh","District Kette",3,NA,"Ministere de la Sante Publique","Region Est","District Kette"
"vDr68aRWI3B","District Kolofata",3,NA,"Ministere de la Sante Publique","Region Extreme-Nord","District Kolofata"
"tS4aOFtAXfw","District Konye",3,NA,"Ministere de la Sante Publique","Region Sud-Ouest","District Konye"
"Khczu4DE7Ia","District Kouoptamo",3,NA,"Ministere de la Sante Publique","Region Ouest","District Kouoptamo"
"QmLvRPryCBe","District Kousseri",3,NA,"Ministere de la Sante Publique","Region Extreme-Nord","District Kousseri"
