"admin_area_1","admin_area_2","admin_area_3"
"Ministere de la Sante Publique","Region Adamaoua","District Bankim"
"Ministere de la Sante Publique","Region Adamaoua","District Banyo"
"Ministere de la Sante Publique","Region Adamaoua","District Belel"
"Ministere de la Sante Publique","Region Adamaoua","District Dang"
"Ministere de la Sante Publique","Region Adamaoua","District Djohong"
"Ministere de la Sante Publique","Region Adamaoua","District Meiganga"
"Ministere de la Sante Publique","Region Adamaoua","District Ngaoundal"
"Ministere de la Sante Publique","Region Adamaoua","District Ngaoundere Rural"
"Ministere de la Sante Publique","Region Adamaoua","District Ngaoundere Urbain"
"Ministere de la Sante Publique","Region Adamaoua","District Tibati"
"Ministere de la Sante Publique","Region Adamaoua","District Tignere"
"Ministere de la Sante Publique","Region Centre","District Akonolinga"
"Ministere de la Sante Publique","Region Centre","District Awae"
"Ministere de la Sante Publique","Region Centre","District Ayos"
"Ministere de la Sante Publique","Region Centre","District Bafia"
"Ministere de la Sante Publique","Region Centre","District Biyem Assi"
"Ministere de la Sante Publique","Region Centre","District Cite Verte"
"Ministere de la Sante Publique","Region Centre","District Djoungolo"
"Ministere de la Sante Publique","Region Centre","District Ebebda"
"Ministere de la Sante Publique","Region Centre","District Efoulan"
"Ministere de la Sante Publique","Region Centre","District Elig Mfomo"
"Ministere de la Sante Publique","Region Centre","District Eseka"
"Ministere de la Sante Publique","Region Centre","District Esse"
"Ministere de la Sante Publique","Region Centre","District Evodoula"
"Ministere de la Sante Publique","Region Centre","District Mbalmayo"
"Ministere de la Sante Publique","Region Centre","District Mbandjock"
"Ministere de la Sante Publique","Region Centre","District Mbankomo"
"Ministere de la Sante Publique","Region Centre","District Mfou"
"Ministere de la Sante Publique","Region Centre","District Monatele"
"Ministere de la Sante Publique","Region Centre","District Mvog-Ada"
"Ministere de la Sante Publique","Region Centre","District Nanga Eboko"
"Ministere de la Sante Publique","Region Centre","District Ndikinimeki"
"Ministere de la Sante Publique","Region Centre","District Ngog Mapubi"
"Ministere de la Sante Publique","Region Centre","District Ngoumou"
"Ministere de la Sante Publique","Region Centre","District Nkolbisson"
"Ministere de la Sante Publique","Region Centre","District Nkolndongo"
"Ministere de la Sante Publique","Region Centre","District Ntui"
"Ministere de la Sante Publique","Region Centre","District Obala"
"Ministere de la Sante Publique","Region Centre","District Odza"
"Ministere de la Sante Publique","Region Centre","District Okola"
"Ministere de la Sante Publique","Region Centre","District Sa'a"
"Ministere de la Sante Publique","Region Centre","District Soa"
"Ministere de la Sante Publique","Region Centre","District Yoko"
"Ministere de la Sante Publique","Region Est","District Abong Mbang"
"Ministere de la Sante Publique","Region Est","District Batouri"
"Ministere de la Sante Publique","Region Est","District Belabo"
"Ministere de la Sante Publique","Region Est","District Bertoua"
"Ministere de la Sante Publique","Region Est","District Betare Oya"
"Ministere de la Sante Publique","Region Est","District Doume"
"Ministere de la Sante Publique","Region Est","District Garoua Boulai"
"Ministere de la Sante Publique","Region Est","District Kette"
"Ministere de la Sante Publique","Region Est","District Lomie"
"Ministere de la Sante Publique","Region Est","District Mbang"
"Ministere de la Sante Publique","Region Est","District Messamena"
"Ministere de la Sante Publique","Region Est","District Moloundou"
"Ministere de la Sante Publique","Region Est","District Ndelele"
"Ministere de la Sante Publique","Region Est","District Nguelemendouka"
"Ministere de la Sante Publique","Region Est","District Yokadouma"
"Ministere de la Sante Publique","Region Extreme-Nord","District Bogo"
"Ministere de la Sante Publique","Region Extreme-Nord","District Bourha"
"Ministere de la Sante Publique","Region Extreme-Nord","District Fotokol"
"Ministere de la Sante Publique","Region Extreme-Nord","District Gazawa"
"Ministere de la Sante Publique","Region Extreme-Nord","District Goulfey"
"Ministere de la Sante Publique","Region Extreme-Nord","District Guere"
"Ministere de la Sante Publique","Region Extreme-Nord","District Guidiguis"
"Ministere de la Sante Publique","Region Extreme-Nord","District Hina"
"Ministere de la Sante Publique","Region Extreme-Nord","District Kaele"
