"id","name","level","code","admin_area_1","admin_area_2","admin_area_3"
"uULc3FNaYAe","","4","","TCHAD","BAHR EL GHAZAL","CHADRA"
"dEuujZg4wJD","","4","","TCHAD","BAHR EL GHAZAL","CHADRA"
"QS0unXzNmrd","","4","","TCHAD","BAHR EL GHAZAL","CHADRA"
"iAu97NljUTQ","","4","","TCHAD","BAHR EL GHAZAL","CHADRA"
"Abu9flDK724","","4","","TCHAD","BAHR EL GHAZAL","CHADRA"
"GaYqdy2yWjT","","4","","TCHAD","BAHR EL GHAZAL","CHADRA"
"pBqgwkqUedu","","4","","TCHAD","BAHR EL GHAZAL","CHADRA"
"B64HawDjisk","","4","","TCHAD","BAHR EL GHAZAL","CHADRA"
"Dmm4A2zehRJ","","4","","TCHAD","BAHR EL GHAZAL","CHADRA"
"S4C9jL2OvO8","","4","","TCHAD","BAHR EL GHAZAL","CHADRA"
"U1O1FUhf6p3","","4","","TCHAD","BAHR EL GHAZAL","CHADRA"
"GgVRbnANYv7","","4","","TCHAD","BAHR EL GHAZAL","CHADRA"
"qZnqxXttD3s","","4","","TCHAD","BAHR EL GHAZAL","CHADRA"
"wEBC8lcevaA","","4","","TCHAD","BAHR EL GHAZAL","CHADRA"
"WE8XHHrpyxc","","4","","TCHAD","BAHR EL GHAZAL","CHADRA"
"tqOGL2ooi4Z","","4","","TCHAD","BAHR EL GHAZAL","CHADRA"
"XTT4x9atTPt","","4","","TCHAD","BAHR EL GHAZAL","CHADRA"
"jud3s67WgIF","","4","","TCHAD","BAHR EL GHAZAL","CHADRA"
"bObVl3QcvUn","","4","","TCHAD","BAHR EL GHAZAL","CHADRA"
"wP1JqbzxMKO","","4","","TCHAD","BAHR EL GHAZAL","CHADRA"
"mt4DEQRfRO6","","4","","TCHAD","BAHR EL GHAZAL","CHADRA"
"WmdzdOxTWeD","","4","","TCHAD","BAHR EL GHAZAL","CHADRA"
"Qh6A5HCrb8D","","4","","TCHAD","BAHR EL GHAZAL","CHADRA"
"TNnV2XPRZXJ","","4","","TCHAD","BAHR EL GHAZAL","MICHEMERE"
"d1lq1oTC4wz","","4","","TCHAD","BAHR EL GHAZAL","MICHEMERE"
"vTxeVKd483X","","4","","TCHAD","BAHR EL GHAZAL","MICHEMERE"
"O7gZdrjSOZe","","4","","TCHAD","BAHR EL GHAZAL","MICHEMERE"
"coDHzH8x6G4","","4","","TCHAD","BAHR EL GHAZAL","MICHEMERE"
"tbJeR1nxUvy","","4","","TCHAD","BAHR EL GHAZAL","MICHEMERE"
"mLejHvnPVtX","","4","","TCHAD","BAHR EL GHAZAL","MICHEMERE"
"Ih9pdEwuhHz","","4","","TCHAD","BAHR EL GHAZAL","MICHEMERE"
"Nf6BMDD2VeI","","4","","TCHAD","BAHR EL GHAZAL","MICHEMERE"
"n0zo0YGkoT9","","4","","TCHAD","BAHR EL GHAZAL","MICHEMERE"
"wQ8Bvi6ovV7","","4","","TCHAD","BAHR EL GHAZAL","MICHEMERE"
"SVMASIlbqdb","","4","","TCHAD","BAHR EL GHAZAL","MICHEMERE"
"rWXyPFUzDN9","","4","","TCHAD","BAHR EL GHAZAL","MICHEMERE"
"D7jrslSlEbp","","4","","TCHAD","BAHR EL GHAZAL","MICHEMERE"
"SmBfyV1NX3i","","4","","TCHAD","BAHR EL GHAZAL","MICHEMERE"
"FVjDpfT2atF","","4","","TCHAD","BAHR EL GHAZAL","MICHEMERE"
"rATPJAsFtJm","","4","","TCHAD","BAHR EL GHAZAL","MICHEMERE"
"msRb4NLEN3Z","","4","","TCHAD","BAHR EL GHAZAL","MOUSSORO"
"a3efbyebave","","4","","TCHAD","BAHR EL GHAZAL","MOUSSORO"
"zrXi6fv0GTG","","4","","TCHAD","BAHR EL GHAZAL","MOUSSORO"
"EqzIQNfw3MU","","4","","TCHAD","BAHR EL GHAZAL","MOUSSORO"
"RiW1zcqdNIk","","4","","TCHAD","BAHR EL GHAZAL","MOUSSORO"
"JTwhaydsAB9","","4","","TCHAD","BAHR EL GHAZAL","MOUSSORO"
"bZEoNUaRh7O","","4","","TCHAD","BAHR EL GHAZAL","MOUSSORO"
"w1hRgXR6ZOr","","4","","TCHAD","BAHR EL GHAZAL","MOUSSORO"
