"admin_area_1","admin_area_2","admin_area_3"
"TCHAD","BAHR EL GHAZAL","CHADRA"
"TCHAD","BAHR EL GHAZAL","MICHEMERE"
"TCHAD","BAHR EL GHAZAL","MOUSSORO"
"TCHAD","BAHR EL GHAZAL","SALAL"
"TCHAD","BATHA","ALIFA"
"TCHAD","BATHA","ASSINET"
"TCHAD","BATHA","ATI"
"TCHAD","BATHA","DJEDDA"
"TCHAD","BATHA","HARAZE DJOMBO"
"TCHAD","BATHA","KOUNDJOUROU"
"TCHAD","BATHA","NDJAMMENA BILALA"
"TCHAD","BATHA","OUM HADJER"
"TCHAD","BATHA","YAO"
"TCHAD","BORKOU","FAYA"
"TCHAD","BORKOU","KIRDJIMI"
"TCHAD","BORKOU","KOUBA OLANGA"
"TCHAD","CHARI BAGUIRMI","BA-ILLI"
"TCHAD","CHARI BAGUIRMI","BOUSSO"
"TCHAD","CHARI BAGUIRMI","DOURBALI"
"TCHAD","CHARI BAGUIRMI","KOUNO"
"TCHAD","CHARI BAGUIRMI","MANDELIA"
"TCHAD","CHARI BAGUIRMI","MASSENYA"
"TCHAD","ENNEDI EST","AMDJARASS"
"TCHAD","ENNEDI EST","BAHAI"
"TCHAD","ENNEDI EST","ITOU"
"TCHAD","ENNEDI EST","KAOURA"
"TCHAD","ENNEDI EST","MOURDI"
"TCHAD","ENNEDI OUEST","FADA"
"TCHAD","ENNEDI OUEST","GOURO"
"TCHAD","ENNEDI OUEST","KALAIT"
"TCHAD","ENNEDI OUEST","OUNIANGA KEBBIR"
"TCHAD","GUERA","BARO"
"TCHAD","GUERA","BITKINE"
"TCHAD","GUERA","CHINGUIL"
"TCHAD","GUERA","MANGALME"
"TCHAD","GUERA","MELFI"
"TCHAD","GUERA","MONGO"
"TCHAD","GUERA","NIERGUI"
"TCHAD","HADJER LAMIS","BOKORO"
"TCHAD","HADJER LAMIS","GAMA"
"TCHAD","HADJER LAMIS","KARAL"
"TCHAD","HADJER LAMIS","MANI"
"TCHAD","HADJER LAMIS","MASSAGUET"
"TCHAD","HADJER LAMIS","MASSAKORY"
"TCHAD","HADJER LAMIS","MOITO"
"TCHAD","KANEM","AMDOBACK"
"TCHAD","KANEM","DJARA"
"TCHAD","KANEM","KEKEDINA"
"TCHAD","KANEM","MAO"
"TCHAD","KANEM","MELLEAH"
"TCHAD","KANEM","MONDO"
"TCHAD","KANEM","NOKOU"
"TCHAD","KANEM","N’TIONA"
"TCHAD","KANEM","RIG-RIG"
"TCHAD","KANEM","ZIGUEY"
"TCHAD","LAC","BAGA SOLA"
"TCHAD","LAC","BOL"
"TCHAD","LAC","DIBININTCHI"
"TCHAD","LAC","DJIGDADA"
"TCHAD","LAC","ISSEIROM"
"TCHAD","LAC","KOULOUDIA"
"TCHAD","LAC","LIWA"
"TCHAD","LAC","NGOURI"
"TCHAD","LOGONE OCCIDENTAL","BEBALEM"
"TCHAD","LOGONE OCCIDENTAL","BEINAMAR"
"TCHAD","LOGONE OCCIDENTAL","BENOYE"
"TCHAD","LOGONE OCCIDENTAL","KRIM KRIM"
"TCHAD","LOGONE OCCIDENTAL","LAOKASSY"
"TCHAD","LOGONE OCCIDENTAL","MOUNDOU CENTRE"
"TCHAD","LOGONE OCCIDENTAL","MOUNDOU EST"
"TCHAD","LOGONE OCCIDENTAL","MOUNDOU OUEST"
"TCHAD","LOGONE ORIENTAL","BAIBOKOUM"
"TCHAD","LOGONE ORIENTAL","BEBIDJA"
"TCHAD","LOGONE ORIENTAL","BEBOTO"
"TCHAD","LOGONE ORIENTAL","BESSAO"
"TCHAD","LOGONE ORIENTAL","BODO"
"TCHAD","LOGONE ORIENTAL","DOBA"
"TCHAD","LOGONE ORIENTAL","DONIA"
"TCHAD","LOGONE ORIENTAL","GORE"
"TCHAD","LOGONE ORIENTAL","KARA"
"TCHAD","LOGONE ORIENTAL","LARMANAYE"
"TCHAD","LOGONE ORIENTAL","YAMODO"
"TCHAD","MANDOUL","BEDAYA"
"TCHAD","MANDOUL","BEDJONDO"
"TCHAD","MANDOUL","BEKOUROU"
"TCHAD","MANDOUL","BOUNA"
"TCHAD","MANDOUL","GOUNDI"
"TCHAD","MANDOUL","KOUMRA"
"TCHAD","MANDOUL","MOISSALA"
"TCHAD","MANDOUL","MOUROUM GOULAYE"
"TCHAD","MANDOUL","PENI"
"TCHAD","MAYO KEBBI EST","BILIAM OURSI"
"TCHAD","MAYO KEBBI EST","BONGOR"
"TCHAD","MAYO KEBBI EST","DJODO GASSA"
"TCHAD","MAYO KEBBI EST","FIANGA"
"TCHAD","MAYO KEBBI EST","GAM"
"TCHAD","MAYO KEBBI EST","GOUNOUGAYA"
"TCHAD","MAYO KEBBI EST","GUELENDENG"
"TCHAD","MAYO KEBBI EST","GUENE"
"TCHAD","MAYO KEBBI EST","KATOA"
"TCHAD","MAYO KEBBI EST","KIM"
"TCHAD","MAYO KEBBI EST","KOUPOR"
"TCHAD","MAYO KEBBI EST","KOYOM"
"TCHAD","MAYO KEBBI EST","MOULKOU"
"TCHAD","MAYO KEBBI EST","PONT CAROL"
"TCHAD","MAYO KEBBI EST","YOUE"
"TCHAD","MAYO KEBBI OUEST","BINDER"
"TCHAD","MAYO KEBBI OUEST","GAGAL"
"TCHAD","MAYO KEBBI OUEST","GUEGOU"
"TCHAD","MAYO KEBBI OUEST","GUELO"
"TCHAD","MAYO KEBBI OUEST","LAGON"
"TCHAD","MAYO KEBBI OUEST","LAME"
"TCHAD","MAYO KEBBI OUEST","LERE"
"TCHAD","MAYO KEBBI OUEST","PALA"
"TCHAD","MAYO KEBBI OUEST","TORROCK"
"TCHAD","MOYEN CHARI","BALIMBA"
"TCHAD","MOYEN CHARI","BIOBE"
"TCHAD","MOYEN CHARI","DANAMADJI"
"TCHAD","MOYEN CHARI","DEMBO"
"TCHAD","MOYEN CHARI","KORBOL"
"TCHAD","MOYEN CHARI","KOUMOGO"
"TCHAD","MOYEN CHARI","KYABE"
"TCHAD","MOYEN CHARI","MARO"
"TCHAD","MOYEN CHARI","SARH"
"TCHAD","NDJAMENA","10è ARRONDISSEMENT"
"TCHAD","NDJAMENA","1er ARRONDISSEMENT"
"TCHAD","NDJAMENA","2è ARRONDISSEMENT"
"TCHAD","NDJAMENA","3è ARRONDISSEMENT"
"TCHAD","NDJAMENA","4è ARRONDISSEMENT"
"TCHAD","NDJAMENA","5è ARRONDISSEMENT"
"TCHAD","NDJAMENA","6è ARRONDISSEMENT"
"TCHAD","NDJAMENA","7è ARRONDISSEMENT"
"TCHAD","NDJAMENA","8è ARRONDISSEMENT"
"TCHAD","NDJAMENA","9e ARRONDISSEMENT"
"TCHAD","OUADDAÏ","ABECHE"
"TCHAD","OUADDAÏ","ABOUGOUDAM"
"TCHAD","OUADDAÏ","ADRE"
"TCHAD","OUADDAÏ","AM DAM"
"TCHAD","OUADDAÏ","AMHITANE"
"TCHAD","OUADDAÏ","AMLEYOUNA"
"TCHAD","OUADDAÏ","CHOKOYANE"
"TCHAD","OUADDAÏ","FARCHANA"
"TCHAD","OUADDAÏ","HADJER-HADID"
"TCHAD","OUADDAÏ","MALANGA"
"TCHAD","OUADDAÏ","MARFA"
"TCHAD","SALAMAT","ABOUDEIA"
"TCHAD","SALAMAT","AM-TIMAN"
"TCHAD","SALAMAT","AMHABILE"
"TCHAD","SALAMAT","DJOUNA"
"TCHAD","SALAMAT","HARAZE MANGUEIGNE"
"TCHAD","SALAMAT","MANGUEIGNE"
"TCHAD","SALAMAT","MOURAYE"
"TCHAD","SILA","ABDI"
"TCHAD","SILA","GOZ BEIDA"
"TCHAD","SILA","KOUKOU ANGARANA"
"TCHAD","SILA","TISSI"
"TCHAD","TANDJILÉ","BAHTCHORO"
"TCHAD","TANDJILÉ","BERE"
"TCHAD","TANDJILÉ","BOLOGO"
"TCHAD","TANDJILÉ","DAFRA"
"TCHAD","TANDJILÉ","DERESSIA"
"TCHAD","TANDJILÉ","DOGOU"
"TCHAD","TANDJILÉ","DONOMANGA"
"TCHAD","TANDJILÉ","GUIDARI"
"TCHAD","TANDJILÉ","KELO"
"TCHAD","TANDJILÉ","KOLON"
"TCHAD","TANDJILÉ","LAI"
"TCHAD","TANDJILÉ","NDAM"
"TCHAD","TIBESTI","BARDAÏ"
"TCHAD","TIBESTI","ZOUAR"
"TCHAD","WADI FIRA","AMZOER"
"TCHAD","WADI FIRA","ARADA"
"TCHAD","WADI FIRA","BILTINE"
