facility_id,admin_area_1,admin_area_2,admin_area_3,admin_area_4
A0HKWFS2bXq,Côte d'Ivoire,MARAHOUE,SINFRA,FACILITY AT LEVEL 4: SINFRA
a0MqrrOwWiu,Côte d'Ivoire,GÔH,OUME,FACILITY AT LEVEL 4: OUME
a0tmpQV068q,Côte d'Ivoire,IFFOU,DAOUKRO,FACILITY AT LEVEL 4: DAOUKRO
a0WmIND03j1,Côte d'Ivoire,ABIDJAN 2,ADJAME-PLATEAU-ATTECOUBE,FACILITY AT LEVEL 4: ADJAME-PLATEAU-ATTECOUBE
a0XCAVyWAVi,Côte d'Ivoire,INDENIE-DUABLIN,ABENGOUROU,FACILITY AT LEVEL 4: ABENGOUROU
a1JeE2czB2f,Côte d'Ivoire,ABIDJAN 2,COCODY BINGERVILLE,FACILITY AT LEVEL 4: COCODY BINGERVILLE
A1VVFDJWmMr,Côte d'Ivoire,N'ZI,BOCANDA,FACILITY AT LEVEL 4: BOCANDA
a29woOvBRyS,Côte d'Ivoire,PORO,KORHOGO 2,FACILITY AT LEVEL 4: KORHOGO 2
a2CrEOAsZwS,Côte d'Ivoire,ABIDJAN 2,COCODY BINGERVILLE,FACILITY AT LEVEL 4: COCODY BINGERVILLE
a2e6rVkoGRj,Côte d'Ivoire,IFFOU,PRIKRO,FACILITY AT LEVEL 4: PRIKRO
a2heT3GaE9H,Côte d'Ivoire,GBEKE,BOUAKE NORD-EST,FACILITY AT LEVEL 4: BOUAKE NORD-EST
a2sxLQlFhTN,Côte d'Ivoire,TCHOLOGO,KONG,FACILITY AT LEVEL 4: KONG
a4BeuPBNXnG,Côte d'Ivoire,ABIDJAN 2,COCODY BINGERVILLE,FACILITY AT LEVEL 4: COCODY BINGERVILLE
A4nMoLOGfBM,Côte d'Ivoire,PORO,KORHOGO 1,FACILITY AT LEVEL 4: KORHOGO 1
A4pWXWF7eK8,Côte d'Ivoire,SUD-COMOE,ABOISSO,FACILITY AT LEVEL 4: ABOISSO
a4t05hAKzPW,Côte d'Ivoire,GUEMON,BANGOLO,FACILITY AT LEVEL 4: BANGOLO
A5Cb4E3bwzS,Côte d'Ivoire,GBOKLE,FRESCO,FACILITY AT LEVEL 4: FRESCO
A5gTawRhFE2,Côte d'Ivoire,PORO,KORHOGO 1,FACILITY AT LEVEL 4: KORHOGO 1
a5Lj4386btN,Côte d'Ivoire,GBOKLE,SASSANDRA,FACILITY AT LEVEL 4: SASSANDRA
a5m636NAHhd,Côte d'Ivoire,ABIDJAN 2,COCODY BINGERVILLE,FACILITY AT LEVEL 4: COCODY BINGERVILLE
a5pYBBYuBV2,Côte d'Ivoire,LÔH-DJIBOUA,DIVO,FACILITY AT LEVEL 4: DIVO
A6BVmKnCG9z,Côte d'Ivoire,SAN PEDRO,SAN-PEDRO,FACILITY AT LEVEL 4: SAN-PEDRO
A6GTmXMdS8x,Côte d'Ivoire,LÔH-DJIBOUA,LAKOTA,FACILITY AT LEVEL 4: LAKOTA
A6IiuJvGxcH,Côte d'Ivoire,WORODOUGOU,SEGUELA,FACILITY AT LEVEL 4: SEGUELA
A6MsIjsPGv3,Côte d'Ivoire,BOUNKANI,NASSIAN,FACILITY AT LEVEL 4: NASSIAN
a6oBDolElj8,Côte d'Ivoire,GBEKE,BOUAKE NORD-OUEST,FACILITY AT LEVEL 4: BOUAKE NORD-OUEST
a6qzvruj6Yo,Côte d'Ivoire,HAUT SASSANDRA,VAVOUA,FACILITY AT LEVEL 4: VAVOUA
A73D1JnclDd,Côte d'Ivoire,GÔH,GAGNOA 1,FACILITY AT LEVEL 4: GAGNOA 1
a7doBBQzhJO,Côte d'Ivoire,HAUT SASSANDRA,DALOA,FACILITY AT LEVEL 4: DALOA
a7i7UlS9t1D,Côte d'Ivoire,BOUNKANI,BOUNA,FACILITY AT LEVEL 4: BOUNA
A8gckO5eBrf,Côte d'Ivoire,ABIDJAN 2,TREICHVILLE-MARCORY,FACILITY AT LEVEL 4: TREICHVILLE-MARCORY
A8ItyYuNFMB,Côte d'Ivoire,BERE,MANKONO,FACILITY AT LEVEL 4: MANKONO
a8Vpk8kN25K,Côte d'Ivoire,GBEKE,BEOUMI,FACILITY AT LEVEL 4: BEOUMI
a8VQqV4ZaQO,Côte d'Ivoire,AGNEBY-TIASSA,AGBOVILLE,FACILITY AT LEVEL 4: AGBOVILLE
a9cMctKVQ3M,Côte d'Ivoire,LÔH-DJIBOUA,DIVO,FACILITY AT LEVEL 4: DIVO
a9H3qO0WLFF,Côte d'Ivoire,TONKPI,BIANKOUMA,FACILITY AT LEVEL 4: BIANKOUMA
a9kwuVFl3qX,Côte d'Ivoire,NAWA,SOUBRE,FACILITY AT LEVEL 4: SOUBRE
AAGsliLEzJX,Côte d'Ivoire,BAGOUE,TENGRELA,FACILITY AT LEVEL 4: TENGRELA
AasyucqGitO,Côte d'Ivoire,TCHOLOGO,FERKESSEDOUGOU,FACILITY AT LEVEL 4: FERKESSEDOUGOU
AAwPuBgINt5,Côte d'Ivoire,GÔH,OUME,FACILITY AT LEVEL 4: OUME
ab53HkvVXeV,Côte d'Ivoire,ABIDJAN 2,COCODY BINGERVILLE,FACILITY AT LEVEL 4: COCODY BINGERVILLE
AB6uIPosqgo,Côte d'Ivoire,TONKPI,MAN,FACILITY AT LEVEL 4: MAN
aB6yL6byRgU,Côte d'Ivoire,ABIDJAN 2,PORT-BOUET-VRIDI,FACILITY AT LEVEL 4: PORT-BOUET-VRIDI
AB92erHutCs,Côte d'Ivoire,ABIDJAN 2,PORT-BOUET-VRIDI,FACILITY AT LEVEL 4: PORT-BOUET-VRIDI
ABEKZr3QWov,Côte d'Ivoire,MARAHOUE,SINFRA,FACILITY AT LEVEL 4: SINFRA
