"id","name","level","code","admin_area_1","admin_area_2","admin_area_3"
"ymGeqzoPhN3","République Démocratique du Congo",1,"COD","République Démocratique du Congo",NA,NA
"LOm8B3vy1qR","bu Aketi Zone de Santé",3,"523201","République Démocratique du Congo","bu Bas Uele Province","bu Aketi Zone de Santé"
"rLPkZegjzaS","bu Ango Zone de Santé",3,"523401","République Démocratique du Congo","bu Bas Uele Province","bu Ango Zone de Santé"
"rWrCdr321Qu","bu Bas Uele Province",2,"52","République Démocratique du Congo","bu Bas Uele Province",NA
"CO06cO2i4Nm","bu Bili Zone de Santé",3,"525402","République Démocratique du Congo","bu Bas Uele Province","bu Bili Zone de Santé"
"ebKZ38Ejpb5","bu Bondo Zone de Santé",3,"523301","République Démocratique du Congo","bu Bas Uele Province","bu Bondo Zone de Santé"
"pggZxV6O3iF","bu Buta Zone de Santé",3,"523101","République Démocratique du Congo","bu Bas Uele Province","bu Buta Zone de Santé"
"QU7amTjhWlQ","bu Ganga Zone de Santé",3,"523501","République Démocratique du Congo","bu Bas Uele Province","bu Ganga Zone de Santé"
"wqWNVs3uxpv","bu Likati Zone de Santé",3,"523202","République Démocratique du Congo","bu Bas Uele Province","bu Likati Zone de Santé"
"jFTjaBOa844","bu Monga Zone de Santé",3,"523303","République Démocratique du Congo","bu Bas Uele Province","bu Monga Zone de Santé"
"iqV2dwy0B1b","bu Poko Zone de Santé",3,"523601","République Démocratique du Congo","bu Bas Uele Province","bu Poko Zone de Santé"
"EgtXyZdGsLP","bu Titule Zone de Santé",3,"523102","République Démocratique du Congo","bu Bas Uele Province","bu Titule Zone de Santé"
"joxrJQ6anPt","bu Viadana Zone de Santé",3,"523602","République Démocratique du Congo","bu Bas Uele Province","bu Viadana Zone de Santé"
"rxk1YvYKi7j","eq Basankusu Zone de Santé",3,"412101","République Démocratique du Congo","eq Equateur Province","eq Basankusu Zone de Santé"
"NMRFBOfk41A","eq Bikoro Zone de Santé",3,"412401","République Démocratique du Congo","eq Equateur Province","eq Bikoro Zone de Santé"
"MMnBp2lllhf","eq Bolenge Zone de Santé",3,"411102","République Démocratique du Congo","eq Equateur Province","eq Bolenge Zone de Santé"
"lW6uPgrLYfi","eq Bolomba Zone de Santé",3,"412201","République Démocratique du Congo","eq Equateur Province","eq Bolomba Zone de Santé"
"dseqqnd0Nuw","eq Bomongo Zone de Santé",3,"412701","République Démocratique du Congo","eq Equateur Province","eq Bomongo Zone de Santé"
