"admin_area_1","admin_area_2","admin_area_3"
"République Démocratique du Congo","bu Bas Uele Province","bu Aketi Zone de Santé"
"République Démocratique du Congo","bu Bas Uele Province","bu Ango Zone de Santé"
"République Démocratique du Congo","bu Bas Uele Province","bu Bili Zone de Santé"
"République Démocratique du Congo","bu Bas Uele Province","bu Bondo Zone de Santé"
"République Démocratique du Congo","bu Bas Uele Province","bu Buta Zone de Santé"
"République Démocratique du Congo","bu Bas Uele Province","bu Ganga Zone de Santé"
"République Démocratique du Congo","bu Bas Uele Province","bu Likati Zone de Santé"
"République Démocratique du Congo","bu Bas Uele Province","bu Monga Zone de Santé"
"République Démocratique du Congo","bu Bas Uele Province","bu Poko Zone de Santé"
"République Démocratique du Congo","bu Bas Uele Province","bu Titule Zone de Santé"
"République Démocratique du Congo","bu Bas Uele Province","bu Viadana Zone de Santé"
"République Démocratique du Congo","eq Equateur Province","eq Basankusu Zone de Santé"
"République Démocratique du Congo","eq Equateur Province","eq Bikoro Zone de Santé"
"République Démocratique du Congo","eq Equateur Province","eq Bolenge Zone de Santé"
"République Démocratique du Congo","eq Equateur Province","eq Bolomba Zone de Santé"
"République Démocratique du Congo","eq Equateur Province","eq Bomongo Zone de Santé"
"République Démocratique du Congo","eq Equateur Province","eq Djombo Zone de Santé"
"République Démocratique du Congo","eq Equateur Province","eq Iboko Zone de Santé"
"République Démocratique du Congo","eq Equateur Province","eq Ingende Zone de Santé"
"République Démocratique du Congo","eq Equateur Province","eq Irebu Zone de Santé"
"République Démocratique du Congo","eq Equateur Province","eq Lilanga Bobangi Zone de Santé"
"République Démocratique du Congo","eq Equateur Province","eq Lotumbe Zone de Santé"
"République Démocratique du Congo","eq Equateur Province","eq Lukolela Zone de Santé"
"République Démocratique du Congo","eq Equateur Province","eq Makanza Zone de Santé"
"République Démocratique du Congo","eq Equateur Province","eq Mampoko Zone de Santé"
"République Démocratique du Congo","eq Equateur Province","eq Mbandaka Zone de Santé"
"République Démocratique du Congo","eq Equateur Province","eq Monieka Zone de Santé"
"République Démocratique du Congo","eq Equateur Province","eq Ntondo Zone de Santé"
"République Démocratique du Congo","eq Equateur Province","eq Wangata Zone de Santé"
"République Démocratique du Congo","hk Haut Katanga Province","hk Kafubu Zone de Santé"
"République Démocratique du Congo","hk Haut Katanga Province","hk Kamalondo Zone de Santé"
"République Démocratique du Congo","hk Haut Katanga Province","hk Kambove Zone de Santé"
"République Démocratique du Congo","hk Haut Katanga Province","hk Kampemba Zone de Santé"
"République Démocratique du Congo","hk Haut Katanga Province","hk Kapolowe Zone de Santé"
"République Démocratique du Congo","hk Haut Katanga Province","hk Kasenga Zone de Santé"
"République Démocratique du Congo","hk Haut Katanga Province","hk Kashobwe Zone de Santé"
"République Démocratique du Congo","hk Haut Katanga Province","hk Katuba Zone de Santé"
"République Démocratique du Congo","hk Haut Katanga Province","hk Kenya Zone de Santé"
"République Démocratique du Congo","hk Haut Katanga Province","hk Kikula Zone de Santé"
"République Démocratique du Congo","hk Haut Katanga Province","hk Kilela Balanda Zone de Santé"
"République Démocratique du Congo","hk Haut Katanga Province","hk Kilwa Zone de Santé"
"République Démocratique du Congo","hk Haut Katanga Province","hk Kipushi Zone de Santé"
"République Démocratique du Congo","hk Haut Katanga Province","hk Kisanga Zone de Santé"
"République Démocratique du Congo","hk Haut Katanga Province","hk Kowe Zone de Santé"
"République Démocratique du Congo","hk Haut Katanga Province","hk Likasi Zone de Santé"
"République Démocratique du Congo","hk Haut Katanga Province","hk Lubumbashi Zone de Santé"
"République Démocratique du Congo","hk Haut Katanga Province","hk Lukafu Zone de Santé"
"République Démocratique du Congo","hk Haut Katanga Province","hk Mitwaba Zone de Santé"
"République Démocratique du Congo","hk Haut Katanga Province","hk Mufunga Sampwe Zone de Santé"
"République Démocratique du Congo","hk Haut Katanga Province","hk Mumbunda Zone de Santé"
"République Démocratique du Congo","hk Haut Katanga Province","hk Panda Zone de Santé"
