"id","name","level","code","admin_area_1","admin_area_2","admin_area_3"
"DUe9flf6UbD","Aari Zone ",3,"1084723",NA,"South Ethiopia Region ","Aari Zone "
"uPpuXFZRN3x","Abala Primary Hospital ",3,"1080790",NA,"Afar Region","Abala Primary Hospital "
"yY9BLUUegel","Addis Ababa City Administration ",2,"1056254",NA,"Addis Ababa City Administration ",NA
"JgBKioqJo5h","Addis Ketema Sub City",3,"1056268",NA,"Addis Ababa City Administration ","Addis Ketema Sub City"
"UFtGyqJMEZh","Afar Region",2,"1056255",NA,"Afar Region",NA
"lXx23AvfczW","Afder Zone",3,"1056357",NA,"Somali Region","Afder Zone"
"EQKmqr2D6OE","Agniwa Zone",3,"1056342",NA,"Gambella Region","Agniwa Zone"
"IRwFTUG9H8c","Akaki Kality Sub City",3,"1056285",NA,"Addis Ababa City Administration ","Akaki Kality Sub City"
"NEopQPE8Low","ALERT General Hospital",3,"1000932",NA,"Addis Ababa City Administration ","ALERT General Hospital"
"F6t8jiIrT2O","Ale Zone ",3,"1069198",NA,"South Ethiopia Region ","Ale Zone "
"zAq6X665PeH","Amanuel Referal Hospital",3,"141080012",NA,"Addis Ababa City Administration ","Amanuel Referal Hospital"
"WhPahkU8aYa","AmboTown",3,"1056283",NA,"Oromia Region","AmboTown"
"yb9NKGA8uqt","Amhara Region ",2,"1069284",NA,"Amhara Region ",NA
"QSKyxvhBqOc","Asela Town",3,"1056293",NA,"Oromia Region","Asela Town"
"lNdvRK5vV7T","Assayita Primary Hospital",3,"1036882",NA,"Afar Region","Assayita Primary Hospital"
"XE04hmJn5V8","Assosa Town ",3,"1063601",NA,"Benishangul Gumuz Regional Health Bureau","Assosa Town "
"MRZ6tna98i6","Awi Zone",3,"1069290",NA,"Amhara Region ","Awi Zone"
"g5XQo2fWMaF","Bahir Dar Town",3,"1069296",NA,"Amhara Region ","Bahir Dar Town"
"DeRcF32xDs2","Bale Zone",3,"1056329",NA,"Oromia Region","Bale Zone"
"ZfvhMccMq67","Basketo Zone ",3,"1056324",NA,"South Ethiopia Region ","Basketo Zone "
"xpaR6AFzALJ","Batu Town",3,"1056358",NA,"Oromia Region","Batu Town"
"KLn28g8EG5M","Bench Sheko Zone",3,"1067334",NA,NA,"Bench Sheko Zone"
"Fccw8uMlJHN","Benishangul Gumuz Regional Health Bureau",2,"6",NA,"Benishangul Gumuz Regional Health Bureau",NA
"lfU06BMyg7z","Berahale Primary Hospital",3,"1059014",NA,"Afar Region","Berahale Primary Hospital"
"Bqq3KNXFksZ","Bole Sub City",3,"1056305",NA,"Addis Ababa City Administration ","Bole Sub City"
"FAWNQbAjX60","Burji Zone ",3,"1057065",NA,"South Ethiopia Region ","Burji Zone "
"E7UCvNIiFg7","Central Sidama Zone",3,"1084791",NA,"Sidama Region","Central Sidama Zone"
"lFbvMMGoDSk","Central Zone",3,"1056322",NA,"Tigray Region","Central Zone"
"lfyIJG8VQAT","Dagmawi Minilik Comprehensive Specialized Hospital",3,"1062821",NA,"Addis Ababa City Administration ","Dagmawi Minilik Comprehensive Specialized Hospital"
"O6v9kIwUMBu","Dalifage Primary Hospital",3,"1043939",NA,"Afar Region","Dalifage Primary Hospital"
"lfTBaIBwiDL","Dawro Zone",3,"1056311",NA,NA,"Dawro Zone"
"ikdpY8Z3x6C","Dilchora General Hospital",3,"1030718",NA,"Dire Dawa City Administration","Dilchora General Hospital"
"G9hDiPNoB7d","Dire Dawa City Administration",2,"1056248",NA,"Dire Dawa City Administration",NA
"dMqvmbrO29v","Dollo Zone",3,"1056345",NA,"Somali Region","Dollo Zone"
"JtJpEvHfb2N","Dubti General Hospital",3,"1036929",NA,"Afar Region","Dubti General Hospital"
"jNuAckEhfXG","East Borena Zone ",3,"1082281",NA,"Oromia Region","East Borena Zone "
"Qqlg9Xanj7N","Eastern Sidama Zone ",3,"1084792",NA,"Sidama Region","Eastern Sidama Zone "
"kOtubDQr7gE","Eastern Zone",3,"1056352",NA,"Tigray Region","Eastern Zone"
"Rb15RthRp2J","East Gojjam Zone",3,"1069294",NA,"Amhara Region ","East Gojjam Zone"
"Olki2VTqlYo","Fafan Zone",3,"1056331",NA,"Somali Region","Fafan Zone"
"GZfzYxXRhWU","Gambella General Hospital",3,"1048704",NA,"Gambella Region","Gambella General Hospital"
"moBiwh9h5Ce","Gambella Region",2,"1056252",NA,"Gambella Region",NA
"se9JoDgoPGJ","Gandhi MCH Speciality Center",3,"1067825",NA,"Addis Ababa City Administration ","Gandhi MCH Speciality Center"
"oyl5aa5BEse","Gardula Zone ",3,"1084735",NA,"South Ethiopia Region ","Gardula Zone "
"ORllicI4Djm","Gedeo Zone",3,"1056343",NA,"South Ethiopia Region ","Gedeo Zone"
"jl0wgu7xWeM","Gewane Primary Hospital ",3,"1053139",NA,"Afar Region","Gewane Primary Hospital "
"Z64erTlWVQ0","Gilgelbeles Town ",3,"1063845",NA,"Benishangul Gumuz Regional Health Bureau","Gilgelbeles Town "
"fP7LbnZr3ef","Gulele Sub City",3,"1056302",NA,"Addis Ababa City Administration ","Gulele Sub City"
"TYR3aVSKY1Y","Haramaya University Hiwot Fana  Comprehensive Specialized Hospital",3,"1000939",NA,"Harari Region","Haramaya University Hiwot Fana  Comprehensive Specialized Hospital"
"b9nYedsL8te","Harari Region",2,"1056249",NA,"Harari Region",NA
"oCrBD2wWQ5X","Harar Police Primary Hospital",3,"1000908",NA,"Harari Region","Harar Police Primary Hospital"
"oF3UBEfqeSh","Hawassa City Administration",3,"1056275",NA,"Sidama Region","Hawassa City Administration"
"i9ejfKQ0slS","Itang Special Woreda",3,"1063624",NA,"Gambella Region","Itang Special Woreda"
"lZmcVkvBcRz","Jarar Zone",3,"1056328",NA,"Somali Region","Jarar Zone"
"HXgEDvYXyuC","Jimma Town ",3,"1056281",NA,"Oromia Region","Jimma Town "
"HSBYk4v8ITI","Jugel General Hospital",3,"1000911",NA,"Harari Region","Jugel General Hospital"
"JVDXHyY1fGt","Kamashi Zone",3,"1063827",NA,"Benishangul Gumuz Regional Health Bureau","Kamashi Zone"
"UdapVUqZX5c","Kebena Special ",3,"1056394",NA,NA,"Kebena Special "
"MxsObjvc3WV","Kelewan District  Hospital",3,"204050011",NA,"Afar Region","Kelewan District  Hospital"
"aeTzP0ST2hq","Kirkos Sub City",3,"1056365",NA,"Addis Ababa City Administration ","Kirkos Sub City"
"R6nsx1xB8wq","Kolfe Subcity",3,"1056364",NA,"Addis Ababa City Administration ","Kolfe Subcity"
"y8SN9S3PRMR","Konso Zone ",3,"1057063",NA,"South Ethiopia Region ","Konso Zone "
"zmsFgTAIHhp","Konta Zone ",3,"1085462",NA,NA,"Konta Zone "
"EsL3oY0kB99","Koore zone",3,"1084737",NA,"South Ethiopia Region ","Koore zone"
"N4fJZ3I3lcl","Korahay Zone",3,"1056332",NA,"Somali Region","Korahay Zone"
"j59J2d3Ym3C","Lemi Kura Sub City",3,"1079145",NA,"Addis Ababa City Administration ","Lemi Kura Sub City"
"rXEEpmCHza5","Liben Zone",3,"1056262",NA,"Somali Region","Liben Zone"
"veWjz5L6CYU","Lideta Sub City",3,"1056335",NA,"Addis Ababa City Administration ","Lideta Sub City"
