"admin_area_1","admin_area_2","admin_area_3"
NA,"Addis Ababa City Administration ","ALERT General Hospital"
NA,"Addis Ababa City Administration ","Addis Ketema Sub City"
NA,"Addis Ababa City Administration ","Akaki Kality Sub City"
NA,"Addis Ababa City Administration ","Amanuel Referal Hospital"
NA,"Addis Ababa City Administration ","Bole Sub City"
NA,"Addis Ababa City Administration ","Dagmawi Minilik Comprehensive Specialized Hospital"
NA,"Addis Ababa City Administration ","Gandhi MCH Speciality Center"
NA,"Addis Ababa City Administration ","Gulele Sub City"
NA,"Addis Ababa City Administration ","Kirkos Sub City"
NA,"Addis Ababa City Administration ","Kolfe Subcity"
NA,"Addis Ababa City Administration ","Lemi Kura Sub City"
NA,"Addis Ababa City Administration ","Lideta Sub City"
NA,"Addis Ababa City Administration ","Nifas Silk Lafto Sub City"
NA,"Addis Ababa City Administration ","Ras Desta Damitew General Hospital"
NA,"Addis Ababa City Administration ","St Paulo's  Comprehensive Specialized Hospital"
NA,"Addis Ababa City Administration ","St. Peter General Hospital"
NA,"Addis Ababa City Administration ","Tikur Anbessa Comprehensive Specialized Hospital "
NA,"Addis Ababa City Administration ","Yeka Sub City"
NA,"Addis Ababa City Administration ","Yekatit 12 General Hospital Medical College"
NA,"Addis Ababa City Administration ","Zewditu Memorial General Hospital"
NA,"Afar Region","Abala Primary Hospital "
NA,"Afar Region","Assayita Primary Hospital"
NA,"Afar Region","Berahale Primary Hospital"
NA,"Afar Region","Dalifage Primary Hospital"
NA,"Afar Region","Dubti General Hospital"
NA,"Afar Region","Gewane Primary Hospital "
NA,"Afar Region","Kelewan District  Hospital"
NA,"Afar Region","Logia Primary Hospital"
NA,"Afar Region","Mohammed Akle Memorial General Hospital"
NA,"Afar Region","Pawlos Primary Hospital"
NA,"Afar Region","Zone 1 Zone"
NA,"Afar Region","Zone 2 Zone"
NA,"Afar Region","Zone 3 Zone"
NA,"Afar Region","Zone 4 Zone"
NA,"Afar Region","Zone 5 Zone"
NA,"Afar Region","Zone 6 Zone"
NA,"Amhara Region ","Awi Zone"
NA,"Amhara Region ","Bahir Dar Town"
NA,"Amhara Region ","East Gojjam Zone"
NA,"Amhara Region ","North Wollo Zone"
NA,"Amhara Region ","Oromia Special Zone"
NA,"Amhara Region ","South Gondar Zone"
NA,"Amhara Region ","South Wollo Zone"
NA,"Amhara Region ","Waghimera Zone"
NA,"Amhara Region ","West Gojjam Zone"
NA,"Benishangul Gumuz Regional Health Bureau","Assosa Town "
NA,"Benishangul Gumuz Regional Health Bureau","Gilgelbeles Town "
NA,"Benishangul Gumuz Regional Health Bureau","Kamashi Zone"
NA,"Benishangul Gumuz Regional Health Bureau","Mao Komo Zone"
NA,"Benishangul Gumuz Regional Health Bureau","Metekel Zone"
NA,"Dire Dawa City Administration","Dilchora General Hospital"
NA,"Dire Dawa City Administration","Sabiyan General Hospital"
NA,"Gambella Region","Agniwa Zone"
NA,"Gambella Region","Gambella General Hospital"
NA,"Gambella Region","Itang Special Woreda"
NA,"Gambella Region","Majang Zone"
NA,"Gambella Region","Nuer Zone"
NA,"Harari Region","Haramaya University Hiwot Fana  Comprehensive Specialized Hospital"
NA,"Harari Region","Harar Police Primary Hospital"
NA,"Harari Region","Jugel General Hospital"
NA,"Oromia Region","AmboTown"
NA,"Oromia Region","Asela Town"
NA,"Oromia Region","Bale Zone"
NA,"Oromia Region","Batu Town"
NA,"Oromia Region","East Borena Zone "
NA,"Oromia Region","Jimma Town "
NA,"Oromia Region","Maya Town"
NA,"Oromia Region","Modjo Town Health Office"
NA,"Oromia Region","Sheno Town "
NA,"Oromia Region","West Hararge Zone"
NA,"Sidama Region","Central Sidama Zone"
NA,"Sidama Region","Eastern Sidama Zone "
NA,"Sidama Region","Hawassa City Administration"
NA,"Sidama Region","Northern Sidama Zone"
NA,"Sidama Region","Southern Sidama Zone"
NA,"Somali Region","Afder Zone"
NA,"Somali Region","Dollo Zone"
NA,"Somali Region","Fafan Zone"
NA,"Somali Region","Jarar Zone"
NA,"Somali Region","Korahay Zone"
NA,"Somali Region","Liben Zone"
NA,"Somali Region","Nogob Zone"
NA,"Somali Region","Shebelle Zone"
NA,"Somali Region","Sitti Zone"
NA,"South Ethiopia Region ","Aari Zone "
NA,"South Ethiopia Region ","Ale Zone "
NA,"South Ethiopia Region ","Basketo Zone "
NA,"South Ethiopia Region ","Burji Zone "
NA,"South Ethiopia Region ","Gardula Zone "
NA,"South Ethiopia Region ","Gedeo Zone"
NA,"South Ethiopia Region ","Konso Zone "
NA,"South Ethiopia Region ","Koore zone"
NA,"South Ethiopia Region ","South Omo Zone "
NA,"South Ethiopia Region ","Wolaita Zone"
NA,"Tigray Region","Central Zone"
NA,"Tigray Region","Eastern Zone"
NA,"Tigray Region","North Western Zone"
NA,"Tigray Region","South Eastern Zone"
NA,"Tigray Region","Southern Zone"
NA,"Tigray Region","Western Zone"
