"id","name","level","code","admin_area_1","admin_area_2","admin_area_3"
"oxLYzlUIfQI","Ablekuma Central",3,"AA0001",NA,"Greater Accra","Ablekuma Central"
"I3RDO8hTPuw","Ablekuma North",3,"AA0002",NA,"Greater Accra","Ablekuma North"
"VHancZPmjWO","Ablekuma West",3,"AA0003",NA,"Greater Accra","Ablekuma West"
"AgQEDAPH3No","Abuakwa North",3,"EP0001",NA,"Eastern","Abuakwa North"
"mkwRPKmRhvE","Abuakwa South",3,"EP0002",NA,"Eastern","Abuakwa South"
"ThuTYLuqZU2","Abura-Asebu-Kwamankese",3,"CP0001",NA,"Central","Abura-Asebu-Kwamankese"
"o5CcqN7jgAl","Accra Metro",3,"AA0004",NA,"Greater Accra","Accra Metro"
"PTX5k38ewZc","Achiase",3,"EP0003",NA,"Eastern","Achiase"
"qGRap2lIS5B","Ada East",3,"AA0005",NA,"Greater Accra","Ada East"
"Qh8j39WXt9y","Ada West",3,"AA0006",NA,"Greater Accra","Ada West"
"GWemHApvW5D","Adaklu",3,"TV0001",NA,"Volta","Adaklu"
"E6uATsJ7uih","Adansi Akrofuom",3,"AH0001",NA,"Ashanti","Adansi Akrofuom"
"pUxfn3smHc0","Adansi Asokwa",3,"AH0002",NA,"Ashanti","Adansi Asokwa"
"plCNNZjV0tO","Adansi North",3,"AH0003",NA,"Ashanti","Adansi North"
"h0z3pWkAuLn","Adansi South",3,"AH0004",NA,"Ashanti","Adansi South"
"bhWBWwoC0zf","Adentan",3,"AA0007",NA,"Greater Accra","Adentan"
"YGd0BKo3zfG","Afadjato South",3,"TV0002",NA,"Volta","Afadjato South"
"y7Cxcod07qM","Afigya Kwabre North",3,"AH0005",NA,"Ashanti","Afigya Kwabre North"
"e1zOknes0QT","Afigya Kwabre South",3,"AH0006",NA,"Ashanti","Afigya Kwabre South"
"HIovFM7InTH","Agona East",3,"CP0002",NA,"Central","Agona East"
"z8InKJW47SB","Agona West",3,"CP0003",NA,"Central","Agona West"
"RKQ9fHxlm2w","Agortime-Ziope",3,"TV0003",NA,"Volta","Agortime-Ziope"
"RnDSNvg7zR2","Ahafo",2,"AF",NA,"Ahafo",NA
"lGSYibHL2f3","Ahafo Ano North",3,"AH0007",NA,"Ashanti","Ahafo Ano North"
"g3wlgU0mOE4","Ahafo Ano South East",3,"AH0008",NA,"Ashanti","Ahafo Ano South East"
"vMzAEe0r8Za","Ahafo Ano South West",3,"AH0009",NA,"Ashanti","Ahafo Ano South West"
"wXk4f9HwSrT","Ahanta West",3,"WP0001",NA,"Western","Ahanta West"
"Y2myUHMRTfx","Ajumako-Enyan-Essiam",3,"CP0004",NA,"Central","Ajumako-Enyan-Essiam"
"IVrls6Kl7f3","Akatsi North",3,"TV0004",NA,"Volta","Akatsi North"
"n5iQVvnkiOx","Akatsi South",3,"TV0005",NA,"Volta","Akatsi South"
"oRXOoTERnZr","Akwapim North",3,"EP0004",NA,"Eastern","Akwapim North"
"TNtf4d51syL","Akwapim South",3,"EP0005",NA,"Eastern","Akwapim South"
"oulfuHVJjz7","Akyemansa",3,"EP0006",NA,"Eastern","Akyemansa"
"sRElOpyr8Tx","Amansie Central",3,"AH0010",NA,"Ashanti","Amansie Central"
"swovhnHcdOg","Amansie South",3,"AH0011",NA,"Ashanti","Amansie South"
"bICMYUfxaXQ","Amansie West",3,"AH0012",NA,"Ashanti","Amansie West"
"GVOX2YiSOvS","Anloga",3,"TV0006",NA,"Volta","Anloga"
"weN3pYNdlK5","Aowin",3,"WN0001",NA,"Western North","Aowin"
"A01d94vjEfc","Asante Akim Central",3,"AH0013",NA,"Ashanti","Asante Akim Central"
"UIHL4x0zq3E","Asante Akim North",3,"AH0014",NA,"Ashanti","Asante Akim North"
