"admin_area_1","admin_area_2","admin_area_3"
NA,"Ahafo","Asunafo North"
NA,"Ahafo","Asunafo South"
NA,"Ahafo","Asutifi North"
NA,"Ahafo","Asutifi South"
NA,"Ahafo","Tano North"
NA,"Ahafo","Tano South"
NA,"Ashanti","Adansi Akrofuom"
NA,"Ashanti","Adansi Asokwa"
NA,"Ashanti","Adansi North"
NA,"Ashanti","Adansi South"
NA,"Ashanti","Afigya Kwabre North"
NA,"Ashanti","Afigya Kwabre South"
NA,"Ashanti","Ahafo Ano North"
NA,"Ashanti","Ahafo Ano South East"
NA,"Ashanti","Ahafo Ano South West"
NA,"Ashanti","Amansie Central"
NA,"Ashanti","Amansie South"
NA,"Ashanti","Amansie West"
NA,"Ashanti","Asante Akim Central"
NA,"Ashanti","Asante Akim North"
NA,"Ashanti","Asante Akim South"
NA,"Ashanti","Asante Mampong"
NA,"Ashanti","Asokore Mampong"
NA,"Ashanti","Asokwa"
NA,"Ashanti","Atwima Kwanwoma"
NA,"Ashanti","Atwima Mponua"
NA,"Ashanti","Atwima Nwabiagya"
NA,"Ashanti","Atwima Nwabiagya North"
NA,"Ashanti","Bekwai"
NA,"Ashanti","Bosome Freho"
NA,"Ashanti","Bosomtwe"
NA,"Ashanti","Ejisu"
NA,"Ashanti","Ejura-Sekyedumase"
NA,"Ashanti","Juaben"
NA,"Ashanti","Kumasi"
NA,"Ashanti","Kwabre East"
NA,"Ashanti","Kwadaso"
NA,"Ashanti","Obuasi"
NA,"Ashanti","Obuasi East"
NA,"Ashanti","Offinso"
NA,"Ashanti","Offinso North"
NA,"Ashanti","Oforikrom"
NA,"Ashanti","Old Tafo"
NA,"Ashanti","Sekyere Afram Plains"
NA,"Ashanti","Sekyere Central"
NA,"Ashanti","Sekyere East"
NA,"Ashanti","Sekyere Kumawu"
NA,"Ashanti","Sekyere South"
NA,"Ashanti","Suame"
NA,"Bono","Banda"
NA,"Bono","Berekum"
NA,"Bono","Berekum West"
NA,"Bono","Dormaa East"
NA,"Bono","Dormaa Municipal"
NA,"Bono","Dormaa West"
NA,"Bono","Jaman North"
NA,"Bono","Jaman South"
NA,"Bono","Sunyani Municipal"
NA,"Bono","Sunyani West"
NA,"Bono","Tain"
NA,"Bono","Wenchi"
NA,"Bono East","Atebubu-Amanten"
