"id","name","level","code","admin_area_1","admin_area_2","admin_area_3"
"gHO8qPxfLdl","DCS Dixinn",3,"DIX","Guinée","DSV Conakry","DCS Dixinn"
"cbst9kz3DHp","DCS Kaloum",3,"KAL","Guinée","DSV Conakry","DCS Kaloum"
"CoKlGkkiN4a","DCS Matam",3,"MATA","Guinée","DSV Conakry","DCS Matam"
"jIFb011EBWB","DCS Matoto",3,"MATO","Guinée","DSV Conakry","DCS Matoto"
"D5WJbugzg9L","DCS Ratoma",3,"RATO","Guinée","DSV Conakry","DCS Ratoma"
"q1zvw5TOnZF","DPS Beyla",3,"BEY","Guinée","IRS N'zérékoré","DPS Beyla"
"L1Gr2bAsR4T","DPS Boffa",3,"BOF","Guinée","IRS Boké","DPS Boffa"
"THgRhO9eF0I","DPS Boké",3,"BOP","Guinée","IRS Boké","DPS Boké"
"KnR8IiGoSxQ","DPS Coyah",3,"COY","Guinée","IRS Kindia","DPS Coyah"
"GUSZlo8f9t8","DPS Dabola",3,"DAB","Guinée","IRS Faranah","DPS Dabola"
"mqBP8r7CwKc","DPS Dalaba",3,"DAL","Guinée","IRS Mamou","DPS Dalaba"
"IPv04VSahDi","DPS Dinguiraye",3,"DIN","Guinée","IRS Faranah","DPS Dinguiraye"
"VyZGMioVY5z","DPS Dubréka",3,"DUB","Guinée","IRS Kindia","DPS Dubréka"
"qmVkCsfziWM","DPS Faranah",3,"FAP","Guinée","IRS Faranah","DPS Faranah"
"CXHCAlP68L5","DPS Forécariah",3,"FOR","Guinée","IRS Kindia","DPS Forécariah"
"jiGkwTWpBeq","DPS Fria",3,"Fri","Guinée","IRS Boké","DPS Fria"
"Motdz3Bql7L","DPS Gaoual",3,"GAO","Guinée","IRS Boké","DPS Gaoual"
"khK0Ewyw0vV","DPS Guéckédou",3,"GUE","Guinée","IRS N'zérékoré","DPS Guéckédou"
"Z71gNmPnc22","DPS Kankan",3,"KAP","Guinée","IRS Kankan","DPS Kankan"
"zmSjEUspuVL","DPS Kindia",3,"KIP","Guinée","IRS Kindia","DPS Kindia"
"VUj3PJpzty8","DPS Kissidougou",3,"KIS","Guinée","IRS Faranah","DPS Kissidougou"
"HC3N6HbSdfg","DPS Koubia",3,"KOB","Guinée","IRS Labé","DPS Koubia"
"pChTVBEAPJJ","DPS Koundara",3,"KOU","Guinée","IRS Boké","DPS Koundara"
"kVULorkd7Vt","DPS Kouroussa",3,"KOR","Guinée","IRS Kankan","DPS Kouroussa"
"dkWnjo1bSrU","DPS Kérouané",3,"KER","Guinée","IRS Kankan","DPS Kérouané"
"E1AAcXV9PxL","DPS Labé",3,"LAP","Guinée","IRS Labé","DPS Labé"
"QL7gnB6sSLA","DPS Lola",3,"LOL","Guinée","IRS N'zérékoré","DPS Lola"
"GuePjEvd6OH","DPS Lélouma",3,"LEL","Guinée","IRS Labé","DPS Lélouma"
"TEjr8hbfz9a","DPS Macenta",3,"MAC","Guinée","IRS N'zérékoré","DPS Macenta"
"zJZspSfD06r","DPS Mali",3,"MAL","Guinée","IRS Labé","DPS Mali"
"LyGsnnzEabg","DPS Mamou",3,"MAP","Guinée","IRS Mamou","DPS Mamou"
"ISZZ5m7PYAC","DPS Mandiana",3,"MAN","Guinée","IRS Kankan","DPS Mandiana"
"yvJVq1GjI2A","DPS N'zérékoré",3,"NZP","Guinée","IRS N'zérékoré","DPS N'zérékoré"
"ASu054HjT5Y","DPS Pita",3,"PIT","Guinée","IRS Mamou","DPS Pita"
"QZJuFnb2WZ6","DPS Siguiri",3,"SIG","Guinée","IRS Kankan","DPS Siguiri"
"XraGmJ5tF7e","DPS Tougué",3,"TOU","Guinée","IRS Labé","DPS Tougué"
"C4dKrWoT5au","DPS Télimélé",3,"TEL","Guinée","IRS Kindia","DPS Télimélé"
"PCa6e3khx5E","DPS Yomou",3,"YOM","Guinée","IRS N'zérékoré","DPS Yomou"
"odY5MzWb1jc","DSV Conakry",2,"CO","Guinée","DSV Conakry",NA
"Ky2CzFdfBuO","Guinée",1,"GN","Guinée",NA,NA
"fxtOlL8b8mb","IRS Boké",2,"BO","Guinée","IRS Boké",NA
"QrHKMLcRSCA","IRS Faranah",2,"FA","Guinée","IRS Faranah",NA
"D1rT7FToSE4","IRS Kankan",2,"KA","Guinée","IRS Kankan",NA
"yTNEihLzQwC","IRS Kindia",2,"KI","Guinée","IRS Kindia",NA
"zy5MQM2PlKb","IRS Labé",2,"LA","Guinée","IRS Labé",NA
"ZSEW310Xy6l","IRS Mamou",2,"MA","Guinée","IRS Mamou",NA
"ysKioL4gVnV","IRS N'zérékoré",2,"NZ","Guinée","IRS N'zérékoré",NA
