"admin_area_1","admin_area_2","admin_area_3"
"Guinée","DSV Conakry","DCS Dixinn"
"Guinée","DSV Conakry","DCS Kaloum"
"Guinée","DSV Conakry","DCS Matam"
"Guinée","DSV Conakry","DCS Matoto"
"Guinée","DSV Conakry","DCS Ratoma"
"Guinée","IRS Boké","DPS Boffa"
"Guinée","IRS Boké","DPS Boké"
"Guinée","IRS Boké","DPS Fria"
"Guinée","IRS Boké","DPS Gaoual"
"Guinée","IRS Boké","DPS Koundara"
"Guinée","IRS Faranah","DPS Dabola"
"Guinée","IRS Faranah","DPS Dinguiraye"
"Guinée","IRS Faranah","DPS Faranah"
"Guinée","IRS Faranah","DPS Kissidougou"
"Guinée","IRS Kankan","DPS Kankan"
"Guinée","IRS Kankan","DPS Kouroussa"
"Guinée","IRS Kankan","DPS Kérouané"
"Guinée","IRS Kankan","DPS Mandiana"
"Guinée","IRS Kankan","DPS Siguiri"
"Guinée","IRS Kindia","DPS Coyah"
"Guinée","IRS Kindia","DPS Dubréka"
"Guinée","IRS Kindia","DPS Forécariah"
"Guinée","IRS Kindia","DPS Kindia"
"Guinée","IRS Kindia","DPS Télimélé"
"Guinée","IRS Labé","DPS Koubia"
"Guinée","IRS Labé","DPS Labé"
"Guinée","IRS Labé","DPS Lélouma"
"Guinée","IRS Labé","DPS Mali"
"Guinée","IRS Labé","DPS Tougué"
"Guinée","IRS Mamou","DPS Dalaba"
"Guinée","IRS Mamou","DPS Mamou"
"Guinée","IRS Mamou","DPS Pita"
"Guinée","IRS N'zérékoré","DPS Beyla"
"Guinée","IRS N'zérékoré","DPS Guéckédou"
"Guinée","IRS N'zérékoré","DPS Lola"
"Guinée","IRS N'zérékoré","DPS Macenta"
"Guinée","IRS N'zérékoré","DPS N'zérékoré"
"Guinée","IRS N'zérékoré","DPS Yomou"
