"id","name","level","code","admin_area_1","admin_area_2","admin_area_3"
"q1zvw5TOnZF","Beyla",3,"BEY","Guinée","Nzérékoré","Beyla"
"L1Gr2bAsR4T","Boffa",3,"BOF","Guinée","Boké","Boffa"
"fxtOlL8b8mb","Boké",2,"BO","Guinée","Boké",NA
"THgRhO9eF0I","Boké Prefecture",3,"BOP","Guinée","Boké","Boké Prefecture"
"odY5MzWb1jc","Conakry",2,"CO","Guinée","Conakry",NA
"KnR8IiGoSxQ","Coyah",3,"COY","Guinée","Kindia","Coyah"
"GUSZlo8f9t8","Dabola",3,"DAB","Guinée","Faranah","Dabola"
"mqBP8r7CwKc","Dalaba",3,"DAL","Guinée","Mamou","Dalaba"
"IPv04VSahDi","Dinguiraye",3,"DIN","Guinée","Faranah","Dinguiraye"
"gHO8qPxfLdl","Dixinn",3,"DIX","Guinée","Conakry","Dixinn"
"VyZGMioVY5z","Dubréka",3,"DUB","Guinée","Kindia","Dubréka"
"QrHKMLcRSCA","Faranah",2,"FA","Guinée","Faranah",NA
"qmVkCsfziWM","Faranah Prefecture",3,"FAP","Guinée","Faranah","Faranah Prefecture"
"CXHCAlP68L5","Forécariah",3,"FOR","Guinée","Kindia","Forécariah"
"jiGkwTWpBeq","Fria",3,"Fri","Guinée","Boké","Fria"
"Motdz3Bql7L","Gaoual",3,"GAO","Guinée","Boké","Gaoual"
"Ky2CzFdfBuO","Guinée",1,"GN","Guinée",NA,NA
"khK0Ewyw0vV","Guéckédou",3,"GUE","Guinée","Nzérékoré","Guéckédou"
"cbst9kz3DHp","Kaloum",3,"KAL","Guinée","Conakry","Kaloum"
"D1rT7FToSE4","Kankan",2,"KA","Guinée","Kankan",NA
"Z71gNmPnc22","Kankan Prefecture",3,"KAP","Guinée","Kankan","Kankan Prefecture"
"yTNEihLzQwC","Kindia",2,"KI","Guinée","Kindia",NA
"zmSjEUspuVL","Kindia Prefecture",3,"KIP","Guinée","Kindia","Kindia Prefecture"
"VUj3PJpzty8","Kissidougou",3,"KIS","Guinée","Faranah","Kissidougou"
"HC3N6HbSdfg","Koubia",3,"KOB","Guinée","Labé","Koubia"
"pChTVBEAPJJ","Koundara",3,"KOU","Guinée","Boké","Koundara"
"kVULorkd7Vt","Kouroussa",3,"KOR","Guinée","Kankan","Kouroussa"
"dkWnjo1bSrU","Kérouané",3,"KER","Guinée","Kankan","Kérouané"
"zy5MQM2PlKb","Labé",2,"LA","Guinée","Labé",NA
"E1AAcXV9PxL","Labé Prefecture",3,"LAP","Guinée","Labé","Labé Prefecture"
"QL7gnB6sSLA","Lola",3,"LOL","Guinée","Nzérékoré","Lola"
"GuePjEvd6OH","Lélouma",3,"LEL","Guinée","Labé","Lélouma"
"TEjr8hbfz9a","Macenta",3,"MAC","Guinée","Nzérékoré","Macenta"
"zJZspSfD06r","Mali",3,"MAL","Guinée","Labé","Mali"
"ZSEW310Xy6l","Mamou",2,"MA","Guinée","Mamou",NA
"LyGsnnzEabg","Mamou Prefecture",3,"MAP","Guinée","Mamou","Mamou Prefecture"
"ISZZ5m7PYAC","Mandiana",3,"MAN","Guinée","Kankan","Mandiana"
"CoKlGkkiN4a","Matam",3,"MATA","Guinée","Conakry","Matam"
"jIFb011EBWB","Matoto",3,"MATO","Guinée","Conakry","Matoto"
"ysKioL4gVnV","Nzérékoré",2,"NZ","Guinée","Nzérékoré",NA
"yvJVq1GjI2A","Nzérékoré Prefecture",3,"NZP","Guinée","Nzérékoré","Nzérékoré Prefecture"
"ASu054HjT5Y","Pita",3,"PIT","Guinée","Mamou","Pita"
"D5WJbugzg9L","Ratoma",3,"RATO","Guinée","Conakry","Ratoma"
"QZJuFnb2WZ6","Siguiri",3,"SIG","Guinée","Kankan","Siguiri"
"XraGmJ5tF7e","Tougué",3,"TOU","Guinée","Labé","Tougué"
"C4dKrWoT5au","Télimélé",3,"TEL","Guinée","Kindia","Télimélé"
"PCa6e3khx5E","Yomou",3,"YOM","Guinée","Nzérékoré","Yomou"
