"admin_area_1","admin_area_2","admin_area_3"
"Guinée","Boké","Boffa"
"Guinée","Boké","Boké Prefecture"
"Guinée","Boké","Fria"
"Guinée","Boké","Gaoual"
"Guinée","Boké","Koundara"
"Guinée","Conakry","Dixinn"
"Guinée","Conakry","Kaloum"
"Guinée","Conakry","Matam"
"Guinée","Conakry","Matoto"
"Guinée","Conakry","Ratoma"
"Guinée","Faranah","Dabola"
"Guinée","Faranah","Dinguiraye"
"Guinée","Faranah","Faranah Prefecture"
"Guinée","Faranah","Kissidougou"
"Guinée","Kankan","Kankan Prefecture"
"Guinée","Kankan","Kouroussa"
"Guinée","Kankan","Kérouané"
"Guinée","Kankan","Mandiana"
"Guinée","Kankan","Siguiri"
"Guinée","Kindia","Coyah"
"Guinée","Kindia","Dubréka"
"Guinée","Kindia","Forécariah"
"Guinée","Kindia","Kindia Prefecture"
"Guinée","Kindia","Télimélé"
"Guinée","Labé","Koubia"
"Guinée","Labé","Labé Prefecture"
"Guinée","Labé","Lélouma"
"Guinée","Labé","Mali"
"Guinée","Labé","Tougué"
"Guinée","Mamou","Dalaba"
"Guinée","Mamou","Mamou Prefecture"
"Guinée","Mamou","Pita"
"Guinée","Nzérékoré","Beyla"
"Guinée","Nzérékoré","Guéckédou"
"Guinée","Nzérékoré","Lola"
"Guinée","Nzérékoré","Macenta"
"Guinée","Nzérékoré","Nzérékoré Prefecture"
"Guinée","Nzérékoré","Yomou"
