"id","name","level","code","admin_area_1","admin_area_2","admin_area_3"
"rScdW2dC0YN","Artibonite",2,"OU-5",NA,"Artibonite",NA
"X4PkNMID48R","Centre",2,"OU-6",NA,"Centre",NA
"MV8caSkOVn5","Grande-Anse",2,"OU-8",NA,"Grande-Anse",NA
"UPT2FeDBD5M","Nippes",2,"OU-10",NA,"Nippes",NA
"MGlhC30xSjm","Nord",2,"OU-3",NA,"Nord",NA
"ryhbYPgsNHj","Nord-Est",2,"OU-4",NA,"Nord-Est",NA
"Jd4btscLVuq","Nord-Ouest",2,"OU-9",NA,"Nord-Ouest",NA
"Vh5zMiODBfK","Ouest",2,"OU-1",NA,"Ouest",NA
"AlGfuLmLck6","Sud",2,"OU-7",NA,"Sud",NA
"CbjaRmaoCg4","Sud-Est",2,"OU-2",NA,"Sud-Est",NA
"VfgLANDgBJ2","UAS-Acul-du-Nord",3,NA,NA,"Nord","UAS-Acul-du-Nord"
"D1aH94HzVPl","UAS-Anse-a-Veau",3,NA,NA,"Nippes","UAS-Anse-a-Veau"
"tETgkG7ZwKv","UAS-Anse-d'Hainault",3,NA,NA,"Grande-Anse","UAS-Anse-d'Hainault"
"oZKO0I2Tnyn","UAS-Aquin",3,NA,NA,"Sud","UAS-Aquin"
"Bo2dyjMwl6c","UAS-Arcahaie",3,NA,NA,"Ouest","UAS-Arcahaie"
"eWbzvvbOqCP","UAS-Bainet",3,NA,NA,"Sud-Est","UAS-Bainet"
"IolgigU2L85","UAS-Belle-Anse",3,NA,NA,"Sud-Est","UAS-Belle-Anse"
"YRO9w6WO4Xs","UAS-Borgne",3,NA,NA,"Nord","UAS-Borgne"
"vPWduLaIygh","UAS-Cap-Haitien",3,NA,NA,"Nord","UAS-Cap-Haitien"
"y3e9Ipbjj4g","UAS-Cerca-La-Source",3,NA,NA,"Centre","UAS-Cerca-La-Source"
"uaSr5W4gtHf","UAS-Chardonnieres",3,NA,NA,"Sud","UAS-Chardonnieres"
"MpN6yM4aPmt","UAS-Corail",3,NA,NA,"Grande-Anse","UAS-Corail"
"X0ikEbfMGnk","UAS-Coteaux",3,NA,NA,"Sud","UAS-Coteaux"
"jdfVTC6lBBy","UAS-Croix-des-Bouquets",3,NA,NA,"Ouest","UAS-Croix-des-Bouquets"
"IC0ze3UjtWF","UAS-Dessalines",3,NA,NA,"Artibonite","UAS-Dessalines"
"u10xW6rVzlg","UAS-Fort-Liberte",3,NA,NA,"Nord-Est","UAS-Fort-Liberte"
"GOzUlRGnFgA","UAS-Gonaives",3,NA,NA,"Artibonite","UAS-Gonaives"
"E2HtGRegpOB","UAS-Grande-Riviere",3,NA,NA,"Nord","UAS-Grande-Riviere"
"c1YJALazSgr","UAS-Gros-Morne",3,NA,NA,"Artibonite","UAS-Gros-Morne"
"iSRUYsjGhTd","UAS-Hinche",3,NA,NA,"Centre","UAS-Hinche"
"ZjbzQoWLpIK","UAS-Jacmel",3,NA,NA,"Sud-Est","UAS-Jacmel"
"ZuIgeTPvytH","UAS-Jeremie",3,NA,NA,"Grande-Anse","UAS-Jeremie"
"MxwhMbBcs5m","UAS-La Gonave",3,NA,NA,"Ouest","UAS-La Gonave"
"LOpPDZzMx0N","UAS-Lascahobas",3,NA,NA,"Centre","UAS-Lascahobas"
"hqMtRPRQjwr","UAS-Leogane",3,NA,NA,"Ouest","UAS-Leogane"
"eZi9sKEFxR9","UAS-Les-Cayes",3,NA,NA,"Sud","UAS-Les-Cayes"
"A6tQZOPyhBl","UAS-Limbe",3,NA,NA,"Nord","UAS-Limbe"
"SSSjWdvrlvO","UAS-Marmelade",3,NA,NA,"Artibonite","UAS-Marmelade"
"iDGJ5OYav42","UAS-Miragoane",3,NA,NA,"Nippes","UAS-Miragoane"
"zod345eK4g4","UAS-Mirebalais",3,NA,NA,"Centre","UAS-Mirebalais"
"Bi48iSDwyIY","UAS-Mole-Saint-Nicolas",3,NA,NA,"Nord-Ouest","UAS-Mole-Saint-Nicolas"
"u53vDri5n8l","UAS-Ouanaminthe",3,NA,NA,"Nord-Est","UAS-Ouanaminthe"
"HOqfgHhGqx2","UAS-Plaisance",3,NA,NA,"Nord","UAS-Plaisance"
"i44nvwWMDsk","UAS-Port-Salut",3,NA,NA,"Sud","UAS-Port-Salut"
"jZznkXqjme8","UAS-Port-au-Prince",3,NA,NA,"Ouest","UAS-Port-au-Prince"
"cFkHQoEBDwC","UAS-Port-de-Paix",3,NA,NA,"Nord-Ouest","UAS-Port-de-Paix"
"RgLL8T4tesW","UAS-Saint-Louis-du-Nord",3,NA,NA,"Nord-Ouest","UAS-Saint-Louis-du-Nord"
"UbZW4i9deVj","UAS-Saint-Marc",3,NA,NA,"Artibonite","UAS-Saint-Marc"
"tdnZC6LbXmb","UAS-Saint-Raphael",3,NA,NA,"Nord","UAS-Saint-Raphael"
"LUiS9gJ30jY","UAS-Trou-du-Nord",3,NA,NA,"Nord-Est","UAS-Trou-du-Nord"
"MVPFYWOwFsP","UAS-Vallieres",3,NA,NA,"Nord-Est","UAS-Vallieres"
"GmA5Jycmr6y","Water body",1,NA,"Water body",NA,NA
