"admin_area_1","admin_area_2","admin_area_3"
NA,"Artibonite","UAS-Dessalines"
NA,"Artibonite","UAS-Gonaives"
NA,"Artibonite","UAS-Gros-Morne"
NA,"Artibonite","UAS-Marmelade"
NA,"Artibonite","UAS-Saint-Marc"
NA,"Centre","UAS-Cerca-La-Source"
NA,"Centre","UAS-Hinche"
NA,"Centre","UAS-Lascahobas"
NA,"Centre","UAS-Mirebalais"
NA,"Grande-Anse","UAS-Anse-d'Hainault"
NA,"Grande-Anse","UAS-Corail"
NA,"Grande-Anse","UAS-Jeremie"
NA,"Nippes","UAS-Anse-a-Veau"
NA,"Nippes","UAS-Miragoane"
NA,"Nord","UAS-Acul-du-Nord"
NA,"Nord","UAS-Borgne"
NA,"Nord","UAS-Cap-Haitien"
NA,"Nord","UAS-Grande-Riviere"
NA,"Nord","UAS-Limbe"
NA,"Nord","UAS-Plaisance"
NA,"Nord","UAS-Saint-Raphael"
NA,"Nord-Est","UAS-Fort-Liberte"
NA,"Nord-Est","UAS-Ouanaminthe"
NA,"Nord-Est","UAS-Trou-du-Nord"
NA,"Nord-Est","UAS-Vallieres"
NA,"Nord-Ouest","UAS-Mole-Saint-Nicolas"
NA,"Nord-Ouest","UAS-Port-de-Paix"
NA,"Nord-Ouest","UAS-Saint-Louis-du-Nord"
NA,"Ouest","UAS-Arcahaie"
NA,"Ouest","UAS-Croix-des-Bouquets"
NA,"Ouest","UAS-La Gonave"
NA,"Ouest","UAS-Leogane"
NA,"Ouest","UAS-Port-au-Prince"
NA,"Sud","UAS-Aquin"
NA,"Sud","UAS-Chardonnieres"
NA,"Sud","UAS-Coteaux"
NA,"Sud","UAS-Les-Cayes"
NA,"Sud","UAS-Port-Salut"
NA,"Sud-Est","UAS-Bainet"
NA,"Sud-Est","UAS-Belle-Anse"
NA,"Sud-Est","UAS-Jacmel"
