"id","name","level","code","admin_area_1","admin_area_2","admin_area_3"
"mYlMs4xTj82","Ainabkoi Sub County",3,"KE_SubCounty_3229","Kenya","Uasin Gishu County","Ainabkoi Sub County"
"GshNTMZJ5r1","Ainamoi Sub County",3,"KE_SubCounty_3026","Kenya","Kericho County","Ainamoi Sub County"
"Sq2fLWnOCGg","Aldai Sub County",3,"KE_SubCounty_3171","Kenya","Nandi County","Aldai Sub County"
"Cu46otDi1RO","Alego Usonga Sub County",3,"KE_SubCounty_3203","Kenya","Siaya County","Alego Usonga Sub County"
"QiXBA5Ji7dA","Arabia Sub County",3,"KE_SubCounty_3272","Kenya","Mandera County","Arabia Sub County"
"FKt9UVErwh3","Aroo Sub County",3,NA,"Kenya","Turkana County","Aroo Sub County"
"BxfsSc6Svrc","Athi River Sub County",3,"KE_SubCounty_3093","Kenya","Machakos County","Athi River Sub County"
"ka9Uv3Ckcbd","Awendo Sub County",3,"KE_SubCounty_3125","Kenya","Migori County","Awendo Sub County"
"FGBNPr91pXH","Balambala Sub County",3,"KE_SubCounty_2993","Kenya","Garissa County","Balambala Sub County"
"hCvlJNjyZna","Banissa Sub County",3,"KE_SubCounty_3104","Kenya","Mandera County","Banissa Sub County"
"k7Rj54u6dMx","Baringo Central Sub County",3,"KE_SubCounty_2956","Kenya","Baringo County","Baringo Central Sub County"
"vvOK1BxTbet","Baringo County",2,"KE_County_30","Kenya","Baringo County",NA
"bqtTmWcikTN","Baringo North Sub County",3,"KE_SubCounty_2957","Kenya","Baringo County","Baringo North Sub County"
"YnIAWg1T4AY","Belgut Sub County",3,"KE_SubCounty_3024","Kenya","Kericho County","Belgut Sub County"
"cooDDG3Lh3A","Bobasi Sub County",3,"KE_SubCounty_3058","Kenya","Kisii County","Bobasi Sub County"
"ntRK47D5dYL","Bomachoge Borabu Sub County",3,"KE_SubCounty_3059","Kenya","Kisii County","Bomachoge Borabu Sub County"
"YqYSkwmOtiR","Bomachoge Chache Sub County",3,"KE_SubCounty_3057","Kenya","Kisii County","Bomachoge Chache Sub County"
"m9gdonbVXjZ","Bomet Central Sub County",3,"KE_SubCounty_2960","Kenya","Bomet County","Bomet Central Sub County"
"HMNARUV2CW4","Bomet County",2,"KE_County_36","Kenya","Bomet County",NA
"OZNRpww2TUK","Bomet East Sub County",3,"KE_SubCounty_2961","Kenya","Bomet County","Bomet East Sub County"
"zCCIu1Vi3Wh","Bonchari Sub County",3,"KE_SubCounty_3061","Kenya","Kisii County","Bonchari Sub County"
"JNvqpOnKfGR","Bondo Sub County",3,"KE_SubCounty_3201","Kenya","Siaya County","Bondo Sub County"
"ABuzigW8Lzw","Borabu Sub County",3,"KE_SubCounty_3179","Kenya","Nyamira County","Borabu Sub County"
"jkQZEow83MX","Bumula Sub County",3,"KE_SubCounty_2969","Kenya","Bungoma County","Bumula Sub County"
"KGHhQ5GLd4k","Bungoma County",2,"KE_County_39","Kenya","Bungoma County",NA
"zI6vnsXresW","Bunyala Sub County",3,"KE_SubCounty_2973","Kenya","Busia County","Bunyala Sub County"
"yWPcTwGwQ2B","Bura Sub County",3,"KE_SubCounty_3249","Kenya","Tana River County","Bura Sub County"
"wt8cPHWfkfu","Bureti Sub County",3,"KE_SubCounty_3025","Kenya","Kericho County","Bureti Sub County"
"Tvf1zgVZ0K4","Busia County",2,"KE_County_40","Kenya","Busia County",NA
"K7mZpm8COh7","Butere Sub County",3,"KE_SubCounty_3014","Kenya","Kakamega County","Butere Sub County"
"RIBiZFJxB1K","Butula Sub County",3,"KE_SubCounty_2975","Kenya","Busia County","Butula Sub County"
"xN5aPo4ZOIt","Buuri East Sub County",3,"KE_SubCounty_3111","Kenya","Meru County","Buuri East Sub County"
"XlYC8FMUgxi","Buuri West Sub County",3,"KE_SubCounty_3260","Kenya","Meru County","Buuri West Sub County"
"OvI6w06DhPJ","Changamwe Sub County",3,"KE_SubCounty_3132","Kenya","Mombasa County","Changamwe Sub County"
"PUhMyfDD2xp","Chepalungu Sub County",3,"KE_SubCounty_2962","Kenya","Bomet County","Chepalungu Sub County"
"NZphHeczehh","Cheptais Sub County",3,"KE_SubCounty_1289","Kenya","Bungoma County","Cheptais Sub County"
"aSfw29y9P0v","Cherab Sub County",3,"KE_SubCounty_3299","Kenya","Isiolo County","Cherab Sub County"
"f18kGo9yXWo","Cherangany Sub County",3,"KE_SubCounty_3215","Kenya","Trans Nzoia County","Cherangany Sub County"
"xLWuQq3DjOR","Chesumei Sub County",3,"KE_SubCounty_3169","Kenya","Nandi County","Chesumei Sub County"
"JmE1qRVQD4F","Chuka Sub County",3,"KE_SubCounty_3213","Kenya","Tharaka Nithi County","Chuka Sub County"
"wYTqff68aVM","Dadaab Refugee Camp Sub County",3,NA,"Kenya","Garissa County","Dadaab Refugee Camp Sub County"
"EW4Jw4dVWBt","Dadaab Sub County",3,"KE_SubCounty_2991","Kenya","Garissa County","Dadaab Sub County"
"CcTr4bcVGAG","Dagoretti North Sub County",3,"KE_SubCounty_3154","Kenya","Nairobi County","Dagoretti North Sub County"
"sqNWYDHZZ6W","Dagoretti South Sub County",3,"KE_SubCounty_3153","Kenya","Nairobi County","Dagoretti South Sub County"
"x6Z1sBeiyqQ","Eldas Sub County",3,"KE_SubCounty_3239","Kenya","Wajir County","Eldas Sub County"
"MqnLxQBigG0","Elgeyo Marakwet County",2,"KE_County_28","Kenya","Elgeyo Marakwet County",NA
"XvpLXU47BKs","Embakasi Central Sub County",3,"KE_SubCounty_3145","Kenya","Nairobi County","Embakasi Central Sub County"
"gD4xxgDGJ4Y","Embakasi East Sub County",3,"KE_SubCounty_3144","Kenya","Nairobi County","Embakasi East Sub County"
"SSz1iOv28Jk","Embakasi North Sub County",3,"KE_SubCounty_3146","Kenya","Nairobi County","Embakasi North Sub County"
"aDp1odOWYC1","Embakasi South Sub County",3,"KE_SubCounty_3147","Kenya","Nairobi County","Embakasi South Sub County"
"aCwUX5V42Zz","Embakasi West Sub County",3,"KE_SubCounty_3143","Kenya","Nairobi County","Embakasi West Sub County"
"PFu8alU2KWG","Embu County",2,"KE_County_14","Kenya","Embu County",NA
"SLPIfy5xLqW","Embu North Sub County",3,"KE_SubCounty_3296","Kenya","Embu County","Embu North Sub County"
"IPOMRXiYjxr","Embu west (Manyatta) Sub County",3,"KE_SubCounty_2987","Kenya","Embu County","Embu west (Manyatta) Sub County"
"Njv37QXxNy2","Emgwen Sub County",3,"KE_SubCounty_3168","Kenya","Nandi County","Emgwen Sub County"
"Lpy789vqRC6","Emuhaya Sub County",3,"KE_SubCounty_3233","Kenya","Vihiga County","Emuhaya Sub County"
"PsjxYLsJSIp","Endebess Sub County",3,"KE_SubCounty_3218","Kenya","Trans Nzoia County","Endebess Sub County"
"RScEHA3V38d","Fafi Sub County",3,"KE_SubCounty_2990","Kenya","Garissa County","Fafi Sub County"
"A4SNYCxrrnv","Galole Sub County",3,"KE_SubCounty_3248","Kenya","Tana River County","Galole Sub County"
"x7qUMtZZvo9","Ganze Sub County",3,"KE_SubCounty_3043","Kenya","Kilifi County","Ganze Sub County"
"ecl4YnDebUi","Garbatulla Sub County",3,"KE_SubCounty_3003","Kenya","Isiolo County","Garbatulla Sub County"
"uyOrcHZBpW0","Garissa County",2,"KE_County_7","Kenya","Garissa County",NA
"lQkHbTC1iRg","Garissa Sub County",3,"KE_SubCounty_2994","Kenya","Garissa County","Garissa Sub County"
"Lj0mu9j58Ss","Garsen Sub County",3,"KE_SubCounty_3250","Kenya","Tana River County","Garsen Sub County"
"Z7ALMtFNfeZ","Gatanga Sub County",3,"KE_SubCounty_3133","Kenya","Muranga County","Gatanga Sub County"
"HEsM6W2ImQR","Gatundu North Sub County",3,"KE_SubCounty_3039","Kenya","Kiambu County","Gatundu North Sub County"
"EcRytSSIkUq","Gatundu South Sub County",3,"KE_SubCounty_3040","Kenya","Kiambu County","Gatundu South Sub County"
"PKeFksHlJkB","Gem Sub County",3,"KE_SubCounty_3202","Kenya","Siaya County","Gem Sub County"
"hBU8B1KI12P","Gilgil Sub County",3,"KE_SubCounty_3163","Kenya","Nakuru County","Gilgil Sub County"
"E7tkGikenbD","Githunguri Sub County",3,"KE_SubCounty_3035","Kenya","Kiambu County","Githunguri Sub County"
"O0xCBkXfQfe","Githurai Sub County",3,"3297","Kenya","Kiambu County","Githurai Sub County"
"BXaq5PxSfz2","Hamisi Sub County",3,"KE_SubCounty_3235","Kenya","Vihiga County","Hamisi Sub County"
"nK0A12Q7MvS","Homa Bay County",2,"KE_County_43","Kenya","Homa Bay County",NA
"Ur2xRBDtazT","Homa Bay Town Sub County",3,"KE_SubCounty_2998","Kenya","Homa Bay County","Homa Bay Town Sub County"
"uyeif4CPqHt","Hulugho Sub County",3,"KE_SubCounty_2989","Kenya","Garissa County","Hulugho Sub County"
"yXwsnpFBIPW","Igambangombe Sub County",3,"KE_SubCounty_3256","Kenya","Tharaka Nithi County","Igambangombe Sub County"
"TPfcUHno8oP","Igembe Central Sub County",3,"KE_SubCounty_3117","Kenya","Meru County","Igembe Central Sub County"
"G9DoZvSdGLx","Igembe North Sub County",3,"KE_SubCounty_3116","Kenya","Meru County","Igembe North Sub County"
"wtuGWT7KjVm","Igembe South Sub County",3,"KE_SubCounty_3118","Kenya","Meru County","Igembe South Sub County"
"l5E6PiIUs1J","Ijara Sub County",3,"KE_SubCounty_2988","Kenya","Garissa County","Ijara Sub County"
"BE6HMtlHyl1","Ikolomani Sub County",3,"KE_SubCounty_3011","Kenya","Kakamega County","Ikolomani Sub County"
"OnNcTsJgfvL","Imenti Central Sub County",3,"KE_SubCounty_3112","Kenya","Meru County","Imenti Central Sub County"
"BDxUGx86itV","Imenti North Sub County",3,"KE_SubCounty_3113","Kenya","Meru County","Imenti North Sub County"
"AFIlzKNxXST","Imenti South Sub County",3,"KE_SubCounty_3110","Kenya","Meru County","Imenti South Sub County"
"bzOfj0iwfDH","Isiolo County",2,"KE_County_11","Kenya","Isiolo County",NA
"I2LYLqKU6AW","Isiolo Sub County",3,"KE_SubCounty_3004","Kenya","Isiolo County","Isiolo Sub County"
"ETGSIeGBsqt","Ithanga Sub County",3,NA,"Kenya","Muranga County","Ithanga Sub County"
"vSISrsNNHwq","Jomvu Sub County",3,"KE_SubCounty_3131","Kenya","Mombasa County","Jomvu Sub County"
"aiqi2bz0IMI","Juja Sub County",3,"KE_SubCounty_3038","Kenya","Kiambu County","Juja Sub County"
"lb5LzWiUX8Y","Kabete Sub County",3,"KE_SubCounty_3032","Kenya","Kiambu County","Kabete Sub County"
"k1mze33jOs0","Kabuchai Sub County",3,"KE_SubCounty_2970","Kenya","Bungoma County","Kabuchai Sub County"
"wwDtq26ddp6","Kacheliba Sub County",3,"KE_SubCounty_3264","Kenya","West Pokot County","Kacheliba Sub County"
"YzB2ZBCwKLa","Kadibo Sub County",3,"KE_SubCounty_3298","Kenya","Kisumu County","Kadibo Sub County"
"s2jeo1C9aM8","Kahuro Sub County",3,NA,"Kenya","Muranga County","Kahuro Sub County"
"pKJ4NZGPzTA","Kaiti Sub County",3,"KE_SubCounty_3251","Kenya","Makueni County","Kaiti Sub County"
"SZapM1R0Kti","Kajiado Central Sub County",3,"KE_SubCounty_3009","Kenya","Kajiado County","Kajiado Central Sub County"
"Hsk1YV8kHkT","Kajiado County",2,"KE_County_34","Kenya","Kajiado County",NA
"g6gTzQ5nfYq","Kajiado East Sub County",3,"KE_SubCounty_3008","Kenya","Kajiado County","Kajiado East Sub County"
"BLz1HkvvMkA","Kajiado North Sub County",3,"KE_SubCounty_3010","Kenya","Kajiado County","Kajiado North Sub County"
"wYsCfCAUWNB","Kajiado West Sub County",3,"KE_SubCounty_3007","Kenya","Kajiado County","Kajiado West Sub County"
"BjC1xL40gHo","Kakamega County",2,"KE_County_37","Kenya","Kakamega County",NA
"pJDgmrxMQTn","Kalama Sub County",3,"KE_SubCounty_3254","Kenya","Machakos County","Kalama Sub County"
"tSKDWoVKiPo","Kaloleni Sub County",3,"KE_SubCounty_3045","Kenya","Kilifi County","Kaloleni Sub County"
"qoLIT7y5f5c","Kamukunji Sub County",3,"KE_SubCounty_3141","Kenya","Nairobi County","Kamukunji Sub County"
"gwYTo0wITYX","Kandara Sub County",3,"KE_SubCounty_3134","Kenya","Muranga County","Kandara Sub County"
"CUjthlounWV","Kanduyi Sub County",3,"KE_SubCounty_2968","Kenya","Bungoma County","Kanduyi Sub County"
"U9CLTNIwehR","Kangema Sub County",3,"KE_SubCounty_3252","Kenya","Muranga County","Kangema Sub County"
"vMPhBuymSKt","Kangundo Sub County",3,"KE_SubCounty_3096","Kenya","Machakos County","Kangundo Sub County"
"u9yagZzK49q","Kapseret Sub County",3,"KE_SubCounty_3228","Kenya","Uasin Gishu County","Kapseret Sub County"
"FoqzDgIByL6","Kasarani Sub County",3,"KE_SubCounty_3149","Kenya","Nairobi County","Kasarani Sub County"
"iCey76HYgLP","Kathiani Sub County",3,"KE_SubCounty_3094","Kenya","Machakos County","Kathiani Sub County"
"rlWH0Ac9vjc","Keiyo North Sub County",3,"KE_SubCounty_2981","Kenya","Elgeyo Marakwet County","Keiyo North Sub County"
"SOEG546PqbA","Keiyo South Sub County",3,"KE_SubCounty_2980","Kenya","Elgeyo Marakwet County","Keiyo South Sub County"
"HfVjCurKxh2","Kenya",1,"KE","Kenya",NA,NA
"ihZsJ8alvtb","Kericho County",2,"KE_County_35","Kenya","Kericho County",NA
"dKHnvt7gleN","Kesses Sub County",3,"KE_SubCounty_3227","Kenya","Uasin Gishu County","Kesses Sub County"
"UhQS2Mv0PCK","Khwisero Sub County",3,"KE_SubCounty_3013","Kenya","Kakamega County","Khwisero Sub County"
"oMaQgNIs85x","Kiambaa Sub County",3,"KE_SubCounty_3033","Kenya","Kiambu County","Kiambaa Sub County"
"qKzosKQPl6G","Kiambu County",2,"KE_County_22","Kenya","Kiambu County",NA
"SBz4c48i24Y","Kiambu Town Sub County",3,"KE_SubCounty_3034","Kenya","Kiambu County","Kiambu Town Sub County"
"AXNntZ7T30a","Kibish Sub County",3,"KE_SubCounty_3226","Kenya","Turkana County","Kibish Sub County"
"LO5he3DtiFG","Kibra Sub County",3,"KE_SubCounty_3151","Kenya","Nairobi County","Kibra Sub County"
"ZhhyithPNoI","Kibwezi East Sub County",3,"KE_SubCounty_3099","Kenya","Makueni County","Kibwezi East Sub County"
"toa2Hl7iVQI","Kibwezi West Sub County",3,"KE_SubCounty_3081","Kenya","Makueni County","Kibwezi West Sub County"
"YXt5ETQPRlB","Kieni East Sub County",3,"KE_SubCounty_3194","Kenya","Nyeri County","Kieni East Sub County"
"odOtfcaMg4p","Kieni West Sub County",3,"KE_SubCounty_3195","Kenya","Nyeri County","Kieni West Sub County"
"tyfDsdZ1h3R","Kigumo Sub County",3,"KE_SubCounty_3136","Kenya","Muranga County","Kigumo Sub County"
"VDlzh6w4LKv","Kiharu Sub County",3,"KE_SubCounty_3137","Kenya","Muranga County","Kiharu Sub County"
"jOVcLeZQSsS","Kikuyu Sub County",3,"KE_SubCounty_3031","Kenya","Kiambu County","Kikuyu Sub County"
"nrI2khZx3d0","Kilifi County",2,"KE_County_3","Kenya","Kilifi County",NA
"MEkEH8ZmcOU","Kilifi North Sub County",3,"KE_SubCounty_3047","Kenya","Kilifi County","Kilifi North Sub County"
"xWAZBULwGxp","Kilifi South Sub County",3,"KE_SubCounty_3046","Kenya","Kilifi County","Kilifi South Sub County"
"iGkXVHBAqXX","Kiliwehiri Sub County",3,"KE_SubCounty_3273","Kenya","Mandera County","Kiliwehiri Sub County"
"XAy1bjurhLU","Kilome Sub County",3,"KE_SubCounty_3083","Kenya","Makueni County","Kilome Sub County"
"AphsS3lJwKU","Kimilili Sub County",3,"KE_SubCounty_2965","Kenya","Bungoma County","Kimilili Sub County"
"pzZHpL2ueIn","Kiminini Sub County",3,"KE_SubCounty_3216","Kenya","Trans Nzoia County","Kiminini Sub County"
"RAnL5kBKMIt","Kinangop Sub County",3,"KE_SubCounty_3188","Kenya","Nyandarua County","Kinangop Sub County"
"LOgbecTRkbp","Kinango Sub County",3,"KE_SubCounty_3077","Kenya","Kwale County","Kinango Sub County"
"KlVgeHmvG6n","Kipipiri Sub County",3,"KE_SubCounty_3187","Kenya","Nyandarua County","Kipipiri Sub County"
"gU0Cz7Qlfss","Kipkelion East Sub County",3,"KE_SubCounty_3028","Kenya","Kericho County","Kipkelion East Sub County"
"Taw0Zg7nArd","Kipkelion West Sub County",3,"KE_SubCounty_3027","Kenya","Kericho County","Kipkelion West Sub County"
"LpwqSz9xMIj","Kipkomo Sub County",3,"KE_SubCounty_3263","Kenya","West Pokot County","Kipkomo Sub County"
"JKNaaTjVapG","Kirinyaga Central Sub County",3,"KE_SubCounty_3048","Kenya","Kirinyaga County","Kirinyaga Central Sub County"
"Ulj33KBau7V","Kirinyaga County",2,"KE_County_20","Kenya","Kirinyaga County",NA
"yOaHQLOLd1H","Kirinyaga East Sub County",3,"KE_SubCounty_3050","Kenya","Kirinyaga County","Kirinyaga East Sub County"
"f6EOn3xI9YH","Kirinyaga North/Mwea West Sub County",3,"KE_SubCounty_3052","Kenya","Kirinyaga County","Kirinyaga North/Mwea West Sub County"
"jHmpQUlnkQk","Kirinyaga South Sub County",3,"KE_SubCounty_3051","Kenya","Kirinyaga County","Kirinyaga South Sub County"
"A34NiI4rgnf","Kirinyaga West Sub County",3,"KE_SubCounty_3049","Kenya","Kirinyaga County","Kirinyaga West Sub County"
"C1hO6wNOgrH","Kisauni Sub County",3,"KE_SubCounty_3130","Kenya","Mombasa County","Kisauni Sub County"
"sPkRcDvhGWA","Kisii County",2,"KE_County_45","Kenya","Kisii County",NA
"OpLt8IgyHop","Kisumu Central Sub County",3,"KE_SubCounty_3066","Kenya","Kisumu County","Kisumu Central Sub County"
"tAbBVBbueqD","Kisumu County",2,"KE_County_42","Kenya","Kisumu County",NA
"PRpKwAloU5b","Kisumu East Sub County",3,"KE_SubCounty_3068","Kenya","Kisumu County","Kisumu East Sub County"
"YzEDO9Mq4TR","Kisumu West Sub County",3,"KE_SubCounty_3067","Kenya","Kisumu County","Kisumu West Sub County"
"MWqQbxWqACn","Kitui Central Sub County",3,"KE_SubCounty_3071","Kenya","Kitui County","Kitui Central Sub County"
"j8o6iO4Njsi","Kitui County",2,"KE_County_15","Kenya","Kitui County",NA
"d0Gu8FrRM0Y","Kitui East Sub County",3,"KE_SubCounty_3070","Kenya","Kitui County","Kitui East Sub County"
"vbauk0RRq9N","Kitui Rural Sub County",3,"KE_SubCounty_3072","Kenya","Kitui County","Kitui Rural Sub County"
"d3hSQ3EtnPk","Kitui South Sub County",3,"KE_SubCounty_3069","Kenya","Kitui County","Kitui South Sub County"
"cmWAJB5kCDW","Kitui West Sub County",3,"KE_SubCounty_3073","Kenya","Kitui County","Kitui West Sub County"
"cQkF9l9wePP","Kitutu Chache North Sub County",3,"KE_SubCounty_3054","Kenya","Kisii County","Kitutu Chache North Sub County"
"gPR82w2xgJZ","Kitutu Chache South Sub County",3,"KE_SubCounty_3053","Kenya","Kisii County","Kitutu Chache South Sub County"
"Yl9UDBnDvvW","Koibatek Sub County",3,"KE_SubCounty_2953","Kenya","Baringo County","Koibatek Sub County"
"PLFoYJO8MVS","Konoin Sub County",3,"KE_SubCounty_2959","Kenya","Bomet County","Konoin Sub County"
"QBwORnYdu0e","Kuresoi North Sub County",3,"KE_SubCounty_3161","Kenya","Nakuru County","Kuresoi North Sub County"
"QwGkDS0DNls","Kuresoi South Sub County",3,"KE_SubCounty_3162","Kenya","Nakuru County","Kuresoi South Sub County"
"THm2tCJa2ZQ","Kuria East Sub County",3,"KE_SubCounty_3119","Kenya","Migori County","Kuria East Sub County"
"jtBjNpL9FXS","Kuria West Sub County",3,"KE_SubCounty_3120","Kenya","Migori County","Kuria West Sub County"
"iGFdm333PJ2","Kutulo Sub County",3,"KE_SubCounty_3258","Kenya","Mandera County","Kutulo Sub County"
"N7YETT3A9r1","Kwale County",2,"KE_County_2","Kenya","Kwale County",NA
"ABy8CNqf2e7","Kwanza Sub County",3,"KE_SubCounty_3219","Kenya","Trans Nzoia County","Kwanza Sub County"
"nsfbHBS9tMT","Lafey Sub County",3,"KE_SubCounty_3100","Kenya","Mandera County","Lafey Sub County"
"J69iWev2zwu","Lagdera Sub County",3,"KE_SubCounty_2992","Kenya","Garissa County","Lagdera Sub County"
"xuFdFy6t9AH","Laikipia County",2,"KE_County_31","Kenya","Laikipia County",NA
