"admin_area_1","admin_area_2","admin_area_3"
"Kenya","Baringo County","Baringo Central Sub County"
"Kenya","Baringo County","Baringo North Sub County"
"Kenya","Baringo County","Koibatek Sub County"
"Kenya","Baringo County","Marigat Sub County"
"Kenya","Baringo County","Mogotio Sub County"
"Kenya","Baringo County","Tiaty East Sub County"
"Kenya","Baringo County","Tiaty West Sub County"
"Kenya","Bomet County","Bomet Central Sub County"
"Kenya","Bomet County","Bomet East Sub County"
"Kenya","Bomet County","Chepalungu Sub County"
"Kenya","Bomet County","Konoin Sub County"
"Kenya","Bomet County","Sotik Sub County"
"Kenya","Bungoma County","Bumula Sub County"
"Kenya","Bungoma County","Cheptais Sub County"
"Kenya","Bungoma County","Kabuchai Sub County"
"Kenya","Bungoma County","Kanduyi Sub County"
"Kenya","Bungoma County","Kimilili Sub County"
"Kenya","Bungoma County","Mt Elgon Sub County"
"Kenya","Bungoma County","Sirisia Sub County"
"Kenya","Bungoma County","Tongaren Sub County"
"Kenya","Bungoma County","Webuye East Sub County"
"Kenya","Bungoma County","Webuye West Sub County"
"Kenya","Busia County","Bunyala Sub County"
"Kenya","Busia County","Butula Sub County"
"Kenya","Busia County","Matayos Sub County"
"Kenya","Busia County","Nambale Sub County"
"Kenya","Busia County","Samia Sub County"
"Kenya","Busia County","Teso Central Sub County"
"Kenya","Busia County","Teso North Sub County"
"Kenya","Busia County","Teso South Sub County"
"Kenya","Elgeyo Marakwet County","Keiyo North Sub County"
"Kenya","Elgeyo Marakwet County","Keiyo South Sub County"
"Kenya","Elgeyo Marakwet County","Marakwet East Sub County"
"Kenya","Elgeyo Marakwet County","Marakwet West Sub County"
"Kenya","Embu County","Embu North Sub County"
"Kenya","Embu County","Embu west (Manyatta) Sub County"
"Kenya","Embu County","Mbeere North Sub County"
"Kenya","Embu County","Mbeere South Sub County"
"Kenya","Embu County","Mwea Sub County"
"Kenya","Embu County","Runyenjes Sub County"
"Kenya","Garissa County","Balambala Sub County"
"Kenya","Garissa County","Dadaab Refugee Camp Sub County"
"Kenya","Garissa County","Dadaab Sub County"
"Kenya","Garissa County","Fafi Sub County"
"Kenya","Garissa County","Garissa Sub County"
"Kenya","Garissa County","Hulugho Sub County"
"Kenya","Garissa County","Ijara Sub County"
"Kenya","Garissa County","Lagdera Sub County"
"Kenya","Homa Bay County","Homa Bay Town Sub County"
"Kenya","Homa Bay County","Ndhiwa Sub County"
"Kenya","Homa Bay County","Rachuonyo East Sub County"
"Kenya","Homa Bay County","Rachuonyo North  Sub County"
"Kenya","Homa Bay County","Rachuonyo South Sub County"
"Kenya","Homa Bay County","Rangwe Sub County"
"Kenya","Homa Bay County","Suba North Sub County"
"Kenya","Homa Bay County","Suba South Sub County"
"Kenya","Homa Bay County","Suba West Sub County"
"Kenya","Isiolo County","Cherab Sub County"
"Kenya","Isiolo County","Garbatulla Sub County"
"Kenya","Isiolo County","Isiolo Sub County"
"Kenya","Isiolo County","Merti Sub County"
"Kenya","Isiolo County","Oldonyiro Sub County"
"Kenya","Kajiado County","Kajiado Central Sub County"
"Kenya","Kajiado County","Kajiado East Sub County"
"Kenya","Kajiado County","Kajiado North Sub County"
"Kenya","Kajiado County","Kajiado West Sub County"
"Kenya","Kajiado County","Loitokitok Sub County"
"Kenya","Kakamega County","Butere Sub County"
"Kenya","Kakamega County","Ikolomani Sub County"
"Kenya","Kakamega County","Khwisero Sub County"
"Kenya","Kakamega County","Likuyani Sub County"
"Kenya","Kakamega County","Lugari Sub County"
"Kenya","Kakamega County","Lurambi Sub County"
"Kenya","Kakamega County","Malava Sub County"
"Kenya","Kakamega County","Matungu Sub County"
"Kenya","Kakamega County","Mumias East Sub County"
"Kenya","Kakamega County","Mumias West Sub County"
"Kenya","Kakamega County","Navakholo Sub County"
"Kenya","Kakamega County","Shinyalu Sub County"
"Kenya","Kericho County","Ainamoi Sub County"
"Kenya","Kericho County","Belgut Sub County"
"Kenya","Kericho County","Bureti Sub County"
"Kenya","Kericho County","Kipkelion East Sub County"
"Kenya","Kericho County","Kipkelion West Sub County"
"Kenya","Kericho County","Sigowet/Soin Sub County"
"Kenya","Kiambu County","Gatundu North Sub County"
"Kenya","Kiambu County","Gatundu South Sub County"
"Kenya","Kiambu County","Githunguri Sub County"
"Kenya","Kiambu County","Githurai Sub County"
"Kenya","Kiambu County","Juja Sub County"
"Kenya","Kiambu County","Kabete Sub County"
"Kenya","Kiambu County","Kiambaa Sub County"
"Kenya","Kiambu County","Kiambu Town Sub County"
"Kenya","Kiambu County","Kikuyu Sub County"
"Kenya","Kiambu County","Lari Sub County"
"Kenya","Kiambu County","Limuru Sub County"
"Kenya","Kiambu County","Ruiru Sub County"
"Kenya","Kiambu County","Thika Town Sub County"
"Kenya","Kilifi County","Ganze Sub County"
"Kenya","Kilifi County","Kaloleni Sub County"
"Kenya","Kilifi County","Kilifi North Sub County"
"Kenya","Kilifi County","Kilifi South Sub County"
"Kenya","Kilifi County","Magarini Sub County"
"Kenya","Kilifi County","Malindi Sub County"
"Kenya","Kilifi County","Rabai Sub County"
"Kenya","Kirinyaga County","Kirinyaga Central Sub County"
"Kenya","Kirinyaga County","Kirinyaga East Sub County"
"Kenya","Kirinyaga County","Kirinyaga North/Mwea West Sub County"
"Kenya","Kirinyaga County","Kirinyaga South Sub County"
"Kenya","Kirinyaga County","Kirinyaga West Sub County"
"Kenya","Kisii County","Bobasi Sub County"
"Kenya","Kisii County","Bomachoge Borabu Sub County"
"Kenya","Kisii County","Bomachoge Chache Sub County"
"Kenya","Kisii County","Bonchari Sub County"
"Kenya","Kisii County","Kitutu Chache North Sub County"
"Kenya","Kisii County","Kitutu Chache South Sub County"
"Kenya","Kisii County","Nyaribari Chache Sub County"
"Kenya","Kisii County","Nyaribari Masaba Sub County"
"Kenya","Kisii County","South Mugirango Sub County"
"Kenya","Kisumu County","Kadibo Sub County"
"Kenya","Kisumu County","Kisumu Central Sub County"
"Kenya","Kisumu County","Kisumu East Sub County"
"Kenya","Kisumu County","Kisumu West Sub County"
"Kenya","Kisumu County","Muhoroni Sub County"
"Kenya","Kisumu County","Nyakach Sub County"
"Kenya","Kisumu County","Nyando Sub County"
"Kenya","Kisumu County","Seme Sub County"
"Kenya","Kitui County","Kitui Central Sub County"
"Kenya","Kitui County","Kitui East Sub County"
"Kenya","Kitui County","Kitui Rural Sub County"
"Kenya","Kitui County","Kitui South Sub County"
"Kenya","Kitui County","Kitui West Sub County"
"Kenya","Kitui County","Mwingi Central Sub County"
"Kenya","Kitui County","Mwingi North Sub County"
"Kenya","Kitui County","Mwingi West Sub County"
"Kenya","Kwale County","Kinango Sub County"
"Kenya","Kwale County","Lunga Lunga Sub County"
"Kenya","Kwale County","Matuga Sub County"
"Kenya","Kwale County","Msambweni Sub County"
"Kenya","Kwale County","Samburu Sub County"
"Kenya","Laikipia County","Laikipia East Sub County"
"Kenya","Laikipia County","Laikipia North Sub County"
"Kenya","Laikipia County","Laikipia West Sub County"
"Kenya","Lamu County","Lamu Central Sub County"
"Kenya","Lamu County","Lamu East Sub County"
"Kenya","Lamu County","Lamu West Sub County"
"Kenya","Machakos County","Athi River Sub County"
"Kenya","Machakos County","Kalama Sub County"
"Kenya","Machakos County","Kangundo Sub County"
"Kenya","Machakos County","Kathiani Sub County"
"Kenya","Machakos County","Machakos Sub County"
"Kenya","Machakos County","Masinga Sub County"
"Kenya","Machakos County","Matungulu Sub County"
"Kenya","Machakos County","Mwala Sub County"
"Kenya","Machakos County","Yatta Sub County"
"Kenya","Makueni County","Kaiti Sub County"
"Kenya","Makueni County","Kibwezi East Sub County"
"Kenya","Makueni County","Kibwezi West Sub County"
"Kenya","Makueni County","Kilome Sub County"
"Kenya","Makueni County","Makueni Sub County"
"Kenya","Makueni County","Mbooni Sub County"
"Kenya","Mandera County","Arabia Sub County"
"Kenya","Mandera County","Banissa Sub County"
"Kenya","Mandera County","Kiliwehiri Sub County"
"Kenya","Mandera County","Kutulo Sub County"
"Kenya","Mandera County","Lafey Sub County"
"Kenya","Mandera County","Mandera East Sub County"
"Kenya","Mandera County","Mandera North Sub County"
"Kenya","Mandera County","Mandera South Sub County"
"Kenya","Mandera County","Mandera West Sub County"
"Kenya","Marsabit County","Laisamis Sub County"
"Kenya","Marsabit County","Moyale Sub County"
"Kenya","Marsabit County","North Horr Sub County"
"Kenya","Marsabit County","Saku Sub County"
"Kenya","Meru County","Buuri East Sub County"
"Kenya","Meru County","Buuri West Sub County"
"Kenya","Meru County","Igembe Central Sub County"
"Kenya","Meru County","Igembe North Sub County"
"Kenya","Meru County","Igembe South Sub County"
"Kenya","Meru County","Imenti Central Sub County"
"Kenya","Meru County","Imenti North Sub County"
"Kenya","Meru County","Imenti South Sub County"
"Kenya","Meru County","Tigania Central Sub County"
"Kenya","Meru County","Tigania East Sub County"
"Kenya","Meru County","Tigania West Sub County"
"Kenya","Migori County","Awendo Sub County"
"Kenya","Migori County","Kuria East Sub County"
"Kenya","Migori County","Kuria West Sub County"
"Kenya","Migori County","Nyatike Sub County"
"Kenya","Migori County","Rongo Sub County"
"Kenya","Migori County","Suna East Sub County"
"Kenya","Migori County","Suna West Sub County"
"Kenya","Migori County","Uriri Sub County"
"Kenya","Mombasa County","Changamwe Sub County"
"Kenya","Mombasa County","Jomvu Sub County"
"Kenya","Mombasa County","Kisauni Sub County"
"Kenya","Mombasa County","Likoni Sub County"
"Kenya","Mombasa County","Mvita Sub County"
"Kenya","Mombasa County","Nyali Sub County"
"Kenya","Muranga County","Gatanga Sub County"
"Kenya","Muranga County","Ithanga Sub County"
"Kenya","Muranga County","Kahuro Sub County"
"Kenya","Muranga County","Kandara Sub County"
"Kenya","Muranga County","Kangema Sub County"
"Kenya","Muranga County","Kigumo Sub County"
"Kenya","Muranga County","Kiharu Sub County"
"Kenya","Muranga County","Mathioya Sub County"
"Kenya","Muranga County","Muranga South Sub County"
"Kenya","Nairobi County","Dagoretti North Sub County"
"Kenya","Nairobi County","Dagoretti South Sub County"
"Kenya","Nairobi County","Embakasi Central Sub County"
"Kenya","Nairobi County","Embakasi East Sub County"
"Kenya","Nairobi County","Embakasi North Sub County"
"Kenya","Nairobi County","Embakasi South Sub County"
"Kenya","Nairobi County","Embakasi West Sub County"
"Kenya","Nairobi County","Kamukunji Sub County"
"Kenya","Nairobi County","Kasarani Sub County"
"Kenya","Nairobi County","Kibra Sub County"
"Kenya","Nairobi County","Langata Sub County"
"Kenya","Nairobi County","Makadara Sub County"
"Kenya","Nairobi County","Mathare Sub County"
"Kenya","Nairobi County","Roysambu Sub County"
"Kenya","Nairobi County","Ruaraka Sub County"
"Kenya","Nairobi County","Starehe Sub County"
"Kenya","Nairobi County","Westlands Sub County"
"Kenya","Nakuru County","Gilgil Sub County"
"Kenya","Nakuru County","Kuresoi North Sub County"
"Kenya","Nakuru County","Kuresoi South Sub County"
"Kenya","Nakuru County","Molo Sub County"
"Kenya","Nakuru County","Naivasha Sub County"
"Kenya","Nakuru County","Nakuru East Sub County"
"Kenya","Nakuru County","Nakuru North Sub County"
"Kenya","Nakuru County","Nakuru West Sub County"
"Kenya","Nakuru County","Njoro Sub County"
"Kenya","Nakuru County","Rongai Sub County"
"Kenya","Nakuru County","Subukia Sub County"
"Kenya","Nandi County","Aldai Sub County"
"Kenya","Nandi County","Chesumei Sub County"
"Kenya","Nandi County","Emgwen Sub County"
"Kenya","Nandi County","Mosop Sub County"
"Kenya","Nandi County","Nandi Hills Sub County"
"Kenya","Nandi County","Tinderet Sub County"
"Kenya","Narok County","Narok Central Sub County"
"Kenya","Narok County","Narok East Sub County"
"Kenya","Narok County","Narok North Sub County"
"Kenya","Narok County","Narok South Sub County"
"Kenya","Narok County","Narok West Sub County"
"Kenya","Narok County","Transmara East Sub County"
"Kenya","Narok County","Transmara South Sub County"
"Kenya","Narok County","Transmara West Sub County"
"Kenya","Nyamira County","Borabu Sub County"
"Kenya","Nyamira County","Manga Sub County"
"Kenya","Nyamira County","Masaba North Sub County"
"Kenya","Nyamira County","Nyamira North Sub County"
"Kenya","Nyamira County","Nyamira Sub County"
"Kenya","Nyandarua County","Kinangop Sub County"
"Kenya","Nyandarua County","Kipipiri Sub County"
"Kenya","Nyandarua County","Ndaragwa Sub County"
"Kenya","Nyandarua County","Oljoroorok Sub County"
"Kenya","Nyandarua County","Olkalou Sub County"
"Kenya","Nyeri County","Kieni East Sub County"
"Kenya","Nyeri County","Kieni West Sub County"
"Kenya","Nyeri County","Mathira East Sub County"
"Kenya","Nyeri County","Mathira West Sub County"
