"id","name","level","code","admin_area_1","admin_area_2","admin_area_3"
"CEsxRl9pJRe"," NorweinTimbo District",3,"3606",NA,"Rivercess"," NorweinTimbo District"
"VSALxsP8Obp","B'Hai District",3,"1514",NA,"Grand Gedeh","B'Hai District"
"ohmgeFY51Jv","Barclayville District",3,"1828",NA,"Grand Kru","Barclayville District"
"fcZLhHGQXmk","Barrobo Farjah District",3,"2704",NA,"Maryland","Barrobo Farjah District"
"JCeVDvMOxQP","Barrobo Whojah District",3,"2702",NA,"Maryland","Barrobo Whojah District"
"e2rZxNX8hr6","Belleh District",3,"4504",NA,"Gbarpolu","Belleh District"
"QibHUncHO8p","Bokomu District",3,"4506",NA,"Gbarpolu","Bokomu District"
"xi0vLBN47Zw","Bomi",2,"03",NA,"Bomi",NA
"EriWrruEGwa","Bong",2,"06",NA,"Bong",NA
"aiYVxBA8wIv","Bopolu District",3,"4508",NA,"Gbarpolu","Bopolu District"
"d4XJ3f7ON6E","Buah District",3,"1822",NA,"Grand Kru","Buah District"
"AMnPojHOkMF","Buchanan District",3,"0912",NA,"Grand Bassa","Buchanan District"
"Aoq6H9sPvlW","Bushrod District",3,NA,NA,"Montserrado","Bushrod District"
"hXlPbC5imyC","Butaw District",3,"3904",NA,"Sinoe","Butaw District"
"USPHdfswOGm","Campwood District",3,"0908",NA,"Grand Bassa","Campwood District"
"rQkEaYe4NCq","Careysburg District",3,"3002",NA,"Montserrado","Careysburg District"
"SjEKr0oZduu","Cavalla District",3,"1516",NA,"Grand Gedeh","Cavalla District"
"VXewC2uAW2s","Central Monrovia district",3,"3003",NA,"Montserrado","Central Monrovia district"
"ejCzJj1dvEw","Central Rivercess District",3,"3608",NA,"Rivercess","Central Rivercess District"
"HINsZ6VuNvy","Chedepo District",3,"4202",NA,"River Gee","Chedepo District"
"XixRqZOBJrv","Commonwealth District",3,"3005",NA,"Montserrado","Commonwealth District"
"yxO6VnbVL5X","Commonwealth-C District",3,"1208",NA,"Grand Cape Mount","Commonwealth-C District"
"LXQHnOh8E5y","District # 1",3,"0904",NA,"Grand Bassa","District # 1"
"sVRpsRz4hSk","District # 2",3,"0906",NA,"Grand Bassa","District # 2"
"phwJULl2lk2","District # 3 A&B",3,"0914",NA,"Grand Bassa","District # 3 A&B"
"msiHXnJySIx","District # 4",3,"0916",NA,"Grand Bassa","District # 4"
"LW7XKIQyK6w","Doedian District",3,"3602",NA,"Rivercess","Doedian District"
"m7NFci3POWJ","Dorbor District",3,"1810",NA,"Grand Kru","Dorbor District"
"sFvLafsymvI","Dowein",3,"0308",NA,"Bomi","Dowein"
"TFcvODBC909","Dugbe River District",3,"3903",NA,"Sinoe","Dugbe River District"
"IF8yDYGH6cy","Firestone District",3,"2402",NA,"Margibi","Firestone District"
"efe5TjKBiYi","Foya District",3,"2102",NA,"Lofa","Foya District"
"eDCCmFPNWZo","Fuamah",3,"0602",NA,"Bong","Fuamah"
"QV40ieNPaP1","Garwula District",3,"1202",NA,"Grand Cape Mount","Garwula District"
"U4Aao6xAsKw","Gbao District",3,"1502",NA,"Grand Gedeh","Gbao District"
"fMRjTYfeiHr","Gbarma District",3,"4510",NA,"Gbarpolu","Gbarma District"
"a56EqbixvtB","Gbarpolu",2,"45",NA,"Gbarpolu",NA
"Pxk9xLQ7wdS","Gbeapo District",3,"4208",NA,"River Gee","Gbeapo District"
"EC6nCKNSRP7","Gbehlay-Geh District",3,"3308",NA,"Nimba","Gbehlay-Geh District"
"QDsNbYKj7No","Gblonee District",3,"3905",NA,"Sinoe","Gblonee District"
"gO4Mo7o5B0V","Gibi District",3,"2404",NA,"Margibi","Gibi District"
"bYk2O56OQ1A","Gola konneh District",3,"1204",NA,"Grand Cape Mount","Gola konneh District"
"ZBeTHi6DkSw","Grand Bassa",2,"09",NA,"Grand Bassa",NA
"zwimjIsMOfR","Grand Cape Mount",2,"12",NA,"Grand Cape Mount",NA
"EdrDFdjR6eb","Grand Gedeh",2,"15",NA,"Grand Gedeh",NA
"eU0nc6YzWIx","Grand Kru",2,"18",NA,"Grand Kru",NA
"zUleAigUye8","Greenville District",3,"3902",NA,"Sinoe","Greenville District"
"KPNHOjGpn7l","Harper District",3,"2714",NA,"Maryland","Harper District"
"NMnSxipL0Og","Jeade District",3,"3924",NA,"Sinoe","Jeade District"
"OBRdNXNETPF","Jedepo District",3,"3922",NA,"Sinoe","Jedepo District"
"DY7ARQVbPDt","Joe River District",3,"3614",NA,"Rivercess","Joe River District"
"KpWniP3AnkB","Jorquelleh",3,"0604",NA,"Bong","Jorquelleh"
"OprqYzGlBZd","Jowein District",3,"3605",NA,"Rivercess","Jowein District"
"hKLhCARDJYX","Kakata District",3,"2406",NA,"Margibi","Kakata District"
"WhudNwKXBeH","Karluway 1 District",3,"2728",NA,"Maryland","Karluway 1 District"
"kgIumCkoNJ5","Karluway 2 District",3,"2710",NA,"Maryland","Karluway 2 District"
"PCB73qtgvcx","Klay",3,"0302",NA,"Bomi","Klay"
"zS6vcRzSTbs","Kokoyah",3,"0618",NA,"Bong","Kokoyah"
"pNqICJ2IPxV","Kolahun District",3,"2104",NA,"Lofa","Kolahun District"
"OhSPqnYrEo9","Kongba District",3,"4507",NA,"Gbarpolu","Kongba District"
"sFNj3YAweU4","Konobo District",3,"1506",NA,"Grand Gedeh","Konobo District"
"TSrmxt9mnrS","Kpaai",3,"0624",NA,"Bong","Kpaai"
"KjyhsyyClTI","Kpanyan District",3,"3930",NA,"Sinoe","Kpanyan District"
"DQWc8ZocmE9","Lofa",2,"21",NA,"Lofa",NA
"YD5XXkOIRDc","Lower Jloh  District",3,"1802",NA,"Grand Kru","Lower Jloh  District"
"xf0eNpCr06L","Mambah-Kaba District",3,"2408",NA,"Margibi","Mambah-Kaba District"
"hjgpJnarSOS","Margibi",2,"24",NA,"Margibi",NA
"HKPRhSmsUEh","Maryland",2,"27",NA,"Maryland",NA
"pqX9sGzFbDV","Montserrado",2,"30",NA,"Montserrado",NA
"nzeQEGe77ff","Nimba",2,"33",NA,"Nimba",NA
"uaf2KLogKc8","Owensgrove District",3,"0902",NA,"Grand Bassa","Owensgrove District"
"Zj6TFQuGsSw","Panta",3,"0608",NA,"Bong","Panta"
"YMVpLwl3DLb","Pleebo Sodoken District",3,"2712",NA,"Maryland","Pleebo Sodoken District"
"BzbzKITPXBx","Porkpa District",3,"1206",NA,"Grand Cape Mount","Porkpa District"
"stsj3427Zjg","Potupo District",3,"4212",NA,"River Gee","Potupo District"
"bxOfRQBlozn","Putu District",3,"1512",NA,"Grand Gedeh","Putu District"
"QztK6ujP5T7","Pynes Town District",3,"3920",NA,"Sinoe","Pynes Town District"
"IGFHpFAKb7l","River Gee",2,"42",NA,"River Gee",NA
"I20dUi41cI6","Rivercess",2,"36",NA,"Rivercess",NA
"n8hlISAhMZd","Saclepea Mah District",3,"3332",NA,"Nimba","Saclepea Mah District"
"RsINmox6x1I","Salala",3,"0610",NA,"Bong","Salala"
"m6jpw7K7h3q","Salayea District",3,"2106",NA,"Lofa","Salayea District"
"WxwR53lvzTi","Sanniquelleh Mahn District",3,"3302",NA,"Nimba","Sanniquelleh Mahn District"
"lvGn7EUuN40","Sanoyea",3,"0612",NA,"Bong","Sanoyea"
"scvCaQVcH0E","Sarbo District",3,"4216",NA,"River Gee","Sarbo District"
"oNqDzYZZ9zl","Senjeh",3,"0306",NA,"Bomi","Senjeh"
"TirZneFdOzE","Sinoe",2,"39",NA,"Sinoe",NA
"E57DkQD0HC4","Somalia Drive District",3,"3007",NA,"Montserrado","Somalia Drive District"
"T87J7GYB6bM","St Paul River District",3,"3006",NA,"Montserrado","St Paul River District"
"PZkbPNiiL68","Suakoko",3,"0614",NA,"Bong","Suakoko"
"nJscIkgSsUl","Suehn Mecca",3,"0304",NA,"Bomi","Suehn Mecca"
"LNXFdvAIRfk","Tappita District",3,"3314",NA,"Nimba","Tappita District"
"IaxEHTYkybf","Tarjuwon District",3,"3907",NA,"Sinoe","Tarjuwon District"
"LK3O063zTTS","Tarsue District",3,"3909",NA,"Sinoe","Tarsue District"
"nAZZATFo3SZ","Tchien District",3,"1508",NA,"Grand Gedeh","Tchien District"
"LnijIjfC1xE","Tewor District",3,"1210",NA,"Grand Cape Mount","Tewor District"
"XhvKsXft5AQ","Tienpo District",3,"4205",NA,"River Gee","Tienpo District"
"rjFaykxY6F2","Todee District",3,"3008",NA,"Montserrado","Todee District"
"dn10auToIW6","Trehn District",3,"1805",NA,"Grand Kru","Trehn District"
"CTvqjiUDSMB","Vahun District",3,"2108",NA,"Lofa","Vahun District"
"IapQmUYT5YA","Voinjama District",3,"2110",NA,"Lofa","Voinjama District"
"dtchwMA3ePt","Webbo District",3,"4203",NA,"River Gee","Webbo District"
"w0UsHVNG7kj","Yarnee District",3,"3607",NA,"Rivercess","Yarnee District"
"JuLVZeAlQiL","Yarwein Mehnsohnneh District",3,"3326",NA,"Nimba","Yarwein Mehnsohnneh District"
"UUnwmJrXPet","Zoe-Geh District",3,"3324",NA,"Nimba","Zoe-Geh District"
"ZKNKCR8o4Lc","Zorzor District",3,"2112",NA,"Lofa","Zorzor District"
"Rab5yODQauk","Zota",3,"0616",NA,"Bong","Zota"
