"id","name","level","code","admin_area_1","admin_area_2","admin_area_3"
"MskGiUGbWJ8","Alaotra Mangoro",2,"33","MADAGASCAR","Alaotra Mangoro",NA
"SLCujLM3Qf5","Ambalavao",3,"205","MADAGASCAR","Haute Matsiatra","Ambalavao"
"Sc9CY4s8DWu","Ambanja",3,"719","MADAGASCAR","Diana","Ambanja"
"a0dxbfYOh2E","Ambato Boeni",3,"405","MADAGASCAR","Boeny","Ambato Boeni"
"obsFQeNciQM","Ambatofinandrahana",3,"202","MADAGASCAR","Amoron I Mania","Ambatofinandrahana"
"ZXSURViEsc8","Ambatolampy",3,"110","MADAGASCAR","Vakinankaratra","Ambatolampy"
"MSvQtBZCz2k","Ambatomainty",3,"417","MADAGASCAR","Melaky","Ambatomainty"
"lsCrRfgm2hS","Ambatondrazaka",3,"313","MADAGASCAR","Alaotra Mangoro","Ambatondrazaka"
"AdjFsUNV4Xg","Ambilobe",3,"717","MADAGASCAR","Diana","Ambilobe"
"LmT9KkUIixj","Amboasary-Atsimo",3,"519","MADAGASCAR","Anosy","Amboasary-Atsimo"
"ggEW9io9OxW","Ambohidratrimo",3,"103","MADAGASCAR","Analamanga","Ambohidratrimo"
"T134N4T4e5s","Ambohimahasoa",3,"208","MADAGASCAR","Haute Matsiatra","Ambohimahasoa"
"QYXSay8tVtX","Ambositra",3,"203","MADAGASCAR","Amoron I Mania","Ambositra"
"AS8mYWl1Ael","Ambovombe-Androy",3,"516","MADAGASCAR","Androy","Ambovombe-Androy"
"kPG7EKqojrg","Amoron I Mania",2,"22","MADAGASCAR","Amoron I Mania",NA
"evhrYdQYOhK","Ampanihy Ouest",3,"507","MADAGASCAR","Atsimo Andrefana","Ampanihy Ouest"
"IsROud9LtOF","Amparafaravola",3,"312","MADAGASCAR","Alaotra Mangoro","Amparafaravola"
"iMfNV2a3DF6","Analalava",3,"411","MADAGASCAR","Sofia","Analalava"
"I9lEj4mALls","Analamanga",2,"11","MADAGASCAR","Analamanga",NA
"l3DKJQGIOwr","Analanjirofo",2,"32","MADAGASCAR","Analanjirofo",NA
"R4b2zHKwMWZ","Andapa",3,"712","MADAGASCAR","Sava","Andapa"
"RGATf8waYNn","Andilamena",3,"316","MADAGASCAR","Alaotra Mangoro","Andilamena"
"dsDbxSkO1ST","Andramasina",3,"115","MADAGASCAR","Analamanga","Andramasina"
"M0U5qF1l1ew","Androy",2,"52","MADAGASCAR","Androy",NA
"O4fHBBYcppz","Anjozorobe",3,"107","MADAGASCAR","Analamanga","Anjozorobe"
"UfioceyRxa9","Ankazoabo",3,"505","MADAGASCAR","Atsimo Andrefana","Ankazoabo"
"ugusypQK3oV","Ankazobe",3,"104","MADAGASCAR","Analamanga","Ankazobe"
"JChr4ml1sQq","Anosibe-An'ala",3,"317","MADAGASCAR","Alaotra Mangoro","Anosibe-An'ala"
"PTqLWwjcAox","Anosy",2,"53","MADAGASCAR","Anosy",NA
"GfT85pagjDs","Antalaha",3,"710","MADAGASCAR","Sava","Antalaha"
"IzwpDjPR8jC","Antanambao Manampontsy",3,"311","MADAGASCAR","Atsinanana","Antanambao Manampontsy"
"TVIEjEecwXO","Antananarivo Atsimondrano",3,"117","MADAGASCAR","Analamanga","Antananarivo Atsimondrano"
"o2UdRXl7kjG","Antananarivo Avaradrano",3,"102","MADAGASCAR","Analamanga","Antananarivo Avaradrano"
"FAuW9yTuH1C","Antananarivo Renivohitra",3,"101","MADAGASCAR","Analamanga","Antananarivo Renivohitra"
"i9cs7xTUmQa","Antanifotsy",3,"114","MADAGASCAR","Vakinankaratra","Antanifotsy"
"Ih3ucV2Yvok","Antanimora Atsimo",3,NA,"MADAGASCAR","Androy","Antanimora Atsimo"
"qsoWFqtdF9j","Antsalova",3,"420","MADAGASCAR","Melaky","Antsalova"
"jexxZljmEU6","Antsirabe I",3,"108","MADAGASCAR","Vakinankaratra","Antsirabe I"
"WxDgNSFrAzU","Antsirabe II",3,"118","MADAGASCAR","Vakinankaratra","Antsirabe II"
"StRGYBbsLRy","Antsiranana I",3,"715","MADAGASCAR","Diana","Antsiranana I"
"s3HejcPkUeJ","Antsiranana II",3,"713","MADAGASCAR","Diana","Antsiranana II"
"dMfFYzKMRmg","Antsohihy",3,"413","MADAGASCAR","Sofia","Antsohihy"
"Ur9zMVj3DdJ","Arivonimamo",3,"105","MADAGASCAR","Itasy","Arivonimamo"
"EzHpSGmTzSB","Atsimo Andrefana",2,"51","MADAGASCAR","Atsimo Andrefana",NA
"HLuIxUgou3Z","Atsimo Atsinanana",2,"25","MADAGASCAR","Atsimo Atsinanana",NA
"wR0PL2iap0s","Atsinanana",2,"31","MADAGASCAR","Atsinanana",NA
"l6uPphUTDyo","Bealanana",3,"414","MADAGASCAR","Sofia","Bealanana"
"mIvN6dmW7eP","Befandriana Nord",3,"412","MADAGASCAR","Sofia","Befandriana Nord"
"VWqIMzSkNkh","Befotaka",3,"227","MADAGASCAR","Atsimo Atsinanana","Befotaka"
"rYaR81ZVhmJ","Bekily",3,"518","MADAGASCAR","Androy","Bekily"
