"admin_area_1","admin_area_2","admin_area_3"
"MADAGASCAR","Alaotra Mangoro","Ambatondrazaka"
"MADAGASCAR","Alaotra Mangoro","Amparafaravola"
"MADAGASCAR","Alaotra Mangoro","Andilamena"
"MADAGASCAR","Alaotra Mangoro","Anosibe-An'ala"
"MADAGASCAR","Alaotra Mangoro","Moramanga"
"MADAGASCAR","Amoron I Mania","Ambatofinandrahana"
"MADAGASCAR","Amoron I Mania","Ambositra"
"MADAGASCAR","Amoron I Mania","Fandriana"
"MADAGASCAR","Amoron I Mania","Manandriana"
"MADAGASCAR","Analamanga","Ambohidratrimo"
"MADAGASCAR","Analamanga","Andramasina"
"MADAGASCAR","Analamanga","Anjozorobe"
"MADAGASCAR","Analamanga","Ankazobe"
"MADAGASCAR","Analamanga","Antananarivo Atsimondrano"
"MADAGASCAR","Analamanga","Antananarivo Avaradrano"
"MADAGASCAR","Analamanga","Antananarivo Renivohitra"
"MADAGASCAR","Analamanga","Manjakandriana"
"MADAGASCAR","Analanjirofo","Fenerive Est"
"MADAGASCAR","Analanjirofo","Mananara-Avaratra"
"MADAGASCAR","Analanjirofo","Maroantsetra"
"MADAGASCAR","Analanjirofo","Sainte Marie"
"MADAGASCAR","Analanjirofo","Soanierana Ivongo"
"MADAGASCAR","Analanjirofo","Vavatenina"
"MADAGASCAR","Androy","Ambovombe-Androy"
"MADAGASCAR","Androy","Antanimora Atsimo"
"MADAGASCAR","Androy","Bekily"
"MADAGASCAR","Androy","Beloha"
"MADAGASCAR","Androy","Tsihombe"
"MADAGASCAR","Anosy","Amboasary-Atsimo"
"MADAGASCAR","Anosy","Betroka"
"MADAGASCAR","Anosy","Taolagnaro"
"MADAGASCAR","Atsimo Andrefana","Ampanihy Ouest"
"MADAGASCAR","Atsimo Andrefana","Ankazoabo"
"MADAGASCAR","Atsimo Andrefana","Benenitra"
"MADAGASCAR","Atsimo Andrefana","Beroroha"
"MADAGASCAR","Atsimo Andrefana","Betioky Atsimo"
"MADAGASCAR","Atsimo Andrefana","Morombe"
"MADAGASCAR","Atsimo Andrefana","Sakaraha"
"MADAGASCAR","Atsimo Andrefana","Toliary-I"
"MADAGASCAR","Atsimo Andrefana","Toliary-II"
"MADAGASCAR","Atsimo Atsinanana","Befotaka"
"MADAGASCAR","Atsimo Atsinanana","Farafangana"
"MADAGASCAR","Atsimo Atsinanana","Midongy-Atsimo"
"MADAGASCAR","Atsimo Atsinanana","Vangaindrano"
"MADAGASCAR","Atsimo Atsinanana","Vondrozo"
"MADAGASCAR","Atsinanana","Antanambao Manampontsy"
"MADAGASCAR","Atsinanana","Brickaville"
"MADAGASCAR","Atsinanana","Mahanoro"
"MADAGASCAR","Atsinanana","Marolambo"
"MADAGASCAR","Atsinanana","Toamasina I"
"MADAGASCAR","Atsinanana","Toamasina II"
"MADAGASCAR","Atsinanana","Vatomandry"
"MADAGASCAR","Betsiboka","Kandreho"
"MADAGASCAR","Betsiboka","Maevatanana"
"MADAGASCAR","Betsiboka","Tsaratanana"
"MADAGASCAR","Boeny","Ambato Boeni"
"MADAGASCAR","Boeny","Mahajanga I"
"MADAGASCAR","Boeny","Mahajanga II"
"MADAGASCAR","Boeny","Marovoay"
"MADAGASCAR","Boeny","Mitsinjo"
"MADAGASCAR","Boeny","Soalala"
"MADAGASCAR","Bongolava","Fenoarivobe"
"MADAGASCAR","Bongolava","Tsiroanomandidy"
"MADAGASCAR","Diana","Ambanja"
"MADAGASCAR","Diana","Ambilobe"
"MADAGASCAR","Diana","Antsiranana I"
"MADAGASCAR","Diana","Antsiranana II"
"MADAGASCAR","Diana","Nosy-Be"
"MADAGASCAR","Fitovinany","Ikongo"
"MADAGASCAR","Fitovinany","Manakara Atsimo"
"MADAGASCAR","Fitovinany","Vohipeno"
"MADAGASCAR","Haute Matsiatra","Ambalavao"
"MADAGASCAR","Haute Matsiatra","Ambohimahasoa"
"MADAGASCAR","Haute Matsiatra","Fianarantsoa I"
"MADAGASCAR","Haute Matsiatra","Ikalamavony"
"MADAGASCAR","Haute Matsiatra","Isandra"
"MADAGASCAR","Haute Matsiatra","Lalangina"
"MADAGASCAR","Haute Matsiatra","Vohibato"
"MADAGASCAR","Ihorombe","Iakora"
"MADAGASCAR","Ihorombe","Ihosy"
"MADAGASCAR","Ihorombe","Ivohibe"
"MADAGASCAR","Itasy","Arivonimamo"
"MADAGASCAR","Itasy","Miarinarivo"
"MADAGASCAR","Itasy","Soavinandriana"
"MADAGASCAR","Melaky","Ambatomainty"
"MADAGASCAR","Melaky","Antsalova"
"MADAGASCAR","Melaky","Besalampy"
"MADAGASCAR","Melaky","Maintirano"
"MADAGASCAR","Melaky","Morafenobe"
"MADAGASCAR","Menabe","Belo Sur Tsiribihina"
"MADAGASCAR","Menabe","Mahabo"
"MADAGASCAR","Menabe","Manja"
"MADAGASCAR","Menabe","Miandrivazo"
"MADAGASCAR","Menabe","Morondava"
"MADAGASCAR","Sava","Andapa"
"MADAGASCAR","Sava","Antalaha"
"MADAGASCAR","Sava","Sambava"
"MADAGASCAR","Sava","Vohemar"
"MADAGASCAR","Sofia","Analalava"
"MADAGASCAR","Sofia","Antsohihy"
"MADAGASCAR","Sofia","Bealanana"
"MADAGASCAR","Sofia","Befandriana Nord"
"MADAGASCAR","Sofia","Mampikony"
"MADAGASCAR","Sofia","Mandritsara"
"MADAGASCAR","Sofia","Port-Berge (Boriziny-Vaovao)"
"MADAGASCAR","Vakinankaratra","Ambatolampy"
"MADAGASCAR","Vakinankaratra","Antanifotsy"
"MADAGASCAR","Vakinankaratra","Antsirabe I"
"MADAGASCAR","Vakinankaratra","Antsirabe II"
"MADAGASCAR","Vakinankaratra","Betafo"
