"id","name","level","code","admin_area_1","admin_area_2","admin_area_3"
"qubeTudDNSC","Balaka-DHO",3,NA,"MOH MALAWI Govt","South East Zone","Balaka-DHO"
"FEGZA6BEAjj","Blantyre-DHO",3,NA,"MOH MALAWI Govt","South West Zone","Blantyre-DHO"
"iQx6Edf0Xib","Central East Zone",2,"Central East Zone","MOH MALAWI Govt","Central East Zone",NA
"tmIma8xiccz","Central West Zone",2,"Central West Zone","MOH MALAWI Govt","Central West Zone",NA
"GeGgihdOJ2p","Chikwawa-DHO",3,NA,"MOH MALAWI Govt","South West Zone","Chikwawa-DHO"
"CTdWtNCPRNh","Chiradzulu-DHO",3,NA,"MOH MALAWI Govt","South West Zone","Chiradzulu-DHO"
"cd0I6ndBMrT","Chitipa-DHO",3,NA,"MOH MALAWI Govt","North Zone","Chitipa-DHO"
"MHcRPWjeguM","Dedza-DHO",3,NA,"MOH MALAWI Govt","Central West Zone","Dedza-DHO"
"S4Lr8zJqfHx","Dowa-DHO",3,NA,"MOH MALAWI Govt","Central East Zone","Dowa-DHO"
"RY0I8Ha0azq","Kamuzu Central Hospital",3,"LL040529","MOH MALAWI Govt",NA,"Kamuzu Central Hospital"
"WVBSPqTMrPP","Karonga-DHO",3,NA,"MOH MALAWI Govt","North Zone","Karonga-DHO"
"QWwg51OvU0a","Kasungu-DHO",3,NA,"MOH MALAWI Govt","Central East Zone","Kasungu-DHO"
"F2sNoOfO4u3","Likoma-DHO",3,NA,"MOH MALAWI Govt","North Zone","Likoma-DHO"
"MDkBXGJ5CyR","Lilongwe-DHO",3,NA,"MOH MALAWI Govt","Central West Zone","Lilongwe-DHO"
"lZsCb6y0KDX","MOH MALAWI Govt",1,"MOH-MALAW GVT","MOH MALAWI Govt",NA,NA
"o7sh3DOqth2","Machinga-DHO",3,NA,"MOH MALAWI Govt","South East Zone","Machinga-DHO"
"RBK39eC5LuY","Mangochi-DHO",3,NA,"MOH MALAWI Govt","South East Zone","Mangochi-DHO"
"UeDRejssxJd","Mchinji-DHO",3,NA,"MOH MALAWI Govt","Central West Zone","Mchinji-DHO"
"rUBJcTYUnAE","Mulanje-DHO",3,NA,"MOH MALAWI Govt","South East Zone","Mulanje-DHO"
"VbGP71DRL3K","Mwanza-DHO",3,NA,"MOH MALAWI Govt","South West Zone","Mwanza-DHO"
"EQg6N2v2TXj","Mzuzu Central Hospital",3,"0538","MOH MALAWI Govt",NA,"Mzuzu Central Hospital"
"IQCeFVtGUtg","Neno-DHO",3,NA,"MOH MALAWI Govt","South West Zone","Neno-DHO"
"P1HnUkQDPw0","Nkhata-Bay-DHO",3,NA,"MOH MALAWI Govt","North Zone","Nkhata-Bay-DHO"
"HxjTgTNq2YD","Nkhotakota-DHO",3,NA,"MOH MALAWI Govt","Central East Zone","Nkhotakota-DHO"
"mPpiH4dNz9C","North Zone",2,"North Zone","MOH MALAWI Govt","North Zone",NA
"LswTbnG3C0c","Nsanje-DHO",3,NA,"MOH MALAWI Govt","South West Zone","Nsanje-DHO"
"ENQA7sOVrPw","Ntcheu-DHO",3,NA,"MOH MALAWI Govt","Central West Zone","Ntcheu-DHO"
"EbpvGZRGG04","Ntchisi-DHO",3,NA,"MOH MALAWI Govt","Central East Zone","Ntchisi-DHO"
"A2Kgu7zMgJr","Phalombe-DHO",3,NA,"MOH MALAWI Govt","South East Zone","Phalombe-DHO"
"aimBmvkBWy3","Queen Elizabeth Central Hospital",3,"BT241293","MOH MALAWI Govt",NA,"Queen Elizabeth Central Hospital"
"M8moEd4dNYo","Rumphi-DHO",3,NA,"MOH MALAWI Govt","North Zone","Rumphi-DHO"
"hQXbPPfQtLy","Salima-DHO",3,NA,"MOH MALAWI Govt","Central East Zone","Salima-DHO"
"yeGIr7J6nX7","South East Zone",2,"South East Zone","MOH MALAWI Govt","South East Zone",NA
"X10UsRjL1l0","South West Zone",2,"South West Zone","MOH MALAWI Govt","South West Zone",NA
"gd6cNp4HjsE","Thyolo-DHO",3,NA,"MOH MALAWI Govt","South West Zone","Thyolo-DHO"
"uJG4WFdUJSv","Zomba Central Hospital",3,"ZA231509","MOH MALAWI Govt",NA,"Zomba Central Hospital"
"S1l6Df6SvLL","Zomba Mental Hospital",3,NA,"MOH MALAWI Govt",NA,"Zomba Mental Hospital"
"hrbAl7aUBwV","Zomba-DHO",3,NA,"MOH MALAWI Govt","South East Zone","Zomba-DHO"
