"admin_area_1","admin_area_2","admin_area_3"
"MOH MALAWI Govt","Central East Zone","Dowa-DHO"
"MOH MALAWI Govt","Central East Zone","Kasungu-DHO"
"MOH MALAWI Govt","Central East Zone","Nkhotakota-DHO"
"MOH MALAWI Govt","Central East Zone","Ntchisi-DHO"
"MOH MALAWI Govt","Central East Zone","Salima-DHO"
"MOH MALAWI Govt","Central West Zone","Dedza-DHO"
"MOH MALAWI Govt","Central West Zone","Lilongwe-DHO"
"MOH MALAWI Govt","Central West Zone","Mchinji-DHO"
"MOH MALAWI Govt","Central West Zone","Ntcheu-DHO"
"MOH MALAWI Govt","North Zone","Chitipa-DHO"
"MOH MALAWI Govt","North Zone","Karonga-DHO"
"MOH MALAWI Govt","North Zone","Likoma-DHO"
"MOH MALAWI Govt","North Zone","Nkhata-Bay-DHO"
"MOH MALAWI Govt","North Zone","Rumphi-DHO"
"MOH MALAWI Govt","South East Zone","Balaka-DHO"
"MOH MALAWI Govt","South East Zone","Machinga-DHO"
"MOH MALAWI Govt","South East Zone","Mangochi-DHO"
"MOH MALAWI Govt","South East Zone","Mulanje-DHO"
"MOH MALAWI Govt","South East Zone","Phalombe-DHO"
"MOH MALAWI Govt","South East Zone","Zomba-DHO"
"MOH MALAWI Govt","South West Zone","Blantyre-DHO"
"MOH MALAWI Govt","South West Zone","Chikwawa-DHO"
"MOH MALAWI Govt","South West Zone","Chiradzulu-DHO"
"MOH MALAWI Govt","South West Zone","Mwanza-DHO"
"MOH MALAWI Govt","South West Zone","Neno-DHO"
"MOH MALAWI Govt","South West Zone","Nsanje-DHO"
"MOH MALAWI Govt","South West Zone","Thyolo-DHO"
