"id","name","level","code","admin_area_1","admin_area_2","admin_area_3"
"cItMOMbQ8Ns","1er arrondissement",3,NA,"Mali","Bamako","1er arrondissement"
"zj0QHmPcZbm","2ème arrondissement",3,NA,"Mali","Bamako","2ème arrondissement"
"AWWwI08gCzU","3ème arrondissement",3,NA,"Mali","Bamako","3ème arrondissement"
"LbfVbpR760L","4ème arrondissement",3,NA,"Mali","Bamako","4ème arrondissement"
"p5EcmhpQr2u","5ème arrondissement",3,NA,"Mali","Bamako","5ème arrondissement"
"gRIdpuHMlO7","6ème arrondissement",3,NA,"Mali","Bamako","6ème arrondissement"
"WF2kyHLuVxs","7ème arrondissement",3,NA,"Mali","Bamako","7ème arrondissement"
"OLb7dSPmFEB","Bamako",2,"Bko","Mali","Bamako",NA
"Nq7v9M90I5J","Bandiagara",2,NA,"Mali","Bandiagara",NA
"yZjacJelMsw","Bougouni",2,NA,"Mali","Bougouni",NA
"S2AUFxfLa6A","Dioila",2,NA,"Mali","Dioila",NA
"NxCk8BjbGLD","District Abeibara",3,NA,"Mali","Kidal","District Abeibara"
"t7J1HAjYG7k","District Ambidedi",3,NA,"Mali","Kayes","District Ambidedi"
"bzElG02ZdeC","District Anderamboukane",3,NA,"Mali","Menaka","District Anderamboukane"
"oQbUuw0dLiO","District Ansongo",3,NA,"Mali","Gao","District Ansongo"
"Kc8iMuvv6Ap","District Aourou",3,NA,"Mali","Kayes","District Aourou"
"frRUz6A3PoY","District Bafoulabe",3,NA,"Mali","Kayes","District Bafoulabe"
"Z2xvsAt2o5a","District Banamba",3,NA,"Mali","Koulikoro","District Banamba"
"ttG2x2sOEuw","District Bandiagara",3,NA,"Mali","Bandiagara","District Bandiagara"
"GUFCsWIfXBN","District Bankass",3,NA,"Mali","Bandiagara","District Bankass"
"lTZ4jOg22OM","District Baroueli",3,NA,"Mali","Ségou","District Baroueli"
"KDZpgkAAIdR","District Bla",3,NA,"Mali","Ségou","District Bla"
"Xpq1BTcQObK","District Boni",3,NA,"Mali","Douentza","District Boni"
"acLcU4QndWf","District Boré",3,NA,"Mali","Douentza","District Boré"
"yv9CIMQ1sY5","District Bougouni",3,NA,"Mali","Bougouni","District Bougouni"
"zxeLZVCzWLn","District Bourem",3,NA,"Mali","Gao","District Bourem"
"cR8vM4gVIBy","District Diamou",3,NA,"Mali","Kayes","District Diamou"
"UyyD8LAWMRr","District Diema",3,NA,"Mali","Nioro","District Diema"
"KC1X5O548TB","District Dioila",3,NA,"Mali","Dioila","District Dioila"
"bmoif0n6BVl","District Diré",3,NA,"Mali","Tombouctou","District Diré"
"O9tXjlPUnNE","District Djenné",3,NA,"Mali","Mopti","District Djenné"
"E62kOlA1JXK","District Douentza",3,NA,"Mali","Douentza","District Douentza"
"GL7sDu7i7bI","District Fana",3,NA,"Mali","Dioila","District Fana"
"sFOLjjb1rwR","District Gao",3,NA,"Mali","Gao","District Gao"
"WlHsVsS8QK2","District Goundam",3,NA,"Mali","Tombouctou","District Goundam"
"iwA9Z0V5reN","District Gourma-Rharous",3,NA,"Mali","Tombouctou","District Gourma-Rharous"
"QGg41UOfUOh","District Hombori",3,NA,"Mali","Douentza","District Hombori"
"yhyfRmQvX5N","District Inekar",3,NA,"Mali","Menaka","District Inekar"
"qVTisVWULds","District Kadiolo",3,NA,"Mali","Sikasso","District Kadiolo"
"deyCj055y0s","District Kangaba",3,NA,"Mali","Koulikoro","District Kangaba"
"cYHJvUpFpHm","District Kani-Gogouna",3,NA,"Mali","Bandiagara","District Kani-Gogouna"
"J6hTtlN58cJ","District Kati",3,NA,"Mali","Koulikoro","District Kati"
"ewVYh32nfrg","District Kayes",3,NA,"Mali","Kayes","District Kayes"
"GEckJrEevmh","District Kendie",3,NA,"Mali","Bandiagara","District Kendie"
"XSNsPNFAWxQ","District Kenieba",3,NA,"Mali","Kayes","District Kenieba"
"WoDNtGBc5aC","District Kidal",3,NA,"Mali","Kidal","District Kidal"
"zWgEf23jOKS","District Kignan",3,NA,"Mali","Sikasso","District Kignan"
"RktmZHLNKAO","District Kita",3,NA,"Mali","Kita","District Kita"
"WLZDFMYIAcQ","District Kolokani",3,NA,"Mali","Koulikoro","District Kolokani"
"CRQVMNajAKY","District Kolondieba",3,NA,"Mali","Bougouni","District Kolondieba"
"SozKhhduxgV","District Koro",3,NA,"Mali","Bandiagara","District Koro"
"MOdaTbZ5V1J","District Koulikoro",3,NA,"Mali","Koulikoro","District Koulikoro"
"r1DoFCB7Asf","District Macina",3,NA,"Mali","Ségou","District Macina"
"cQI1f7VjjqU","District Markala",3,NA,"Mali","Ségou","District Markala"
"y4cJ8A827xa","District Menaka",3,NA,"Mali","Menaka","District Menaka"
"lgepG4rIfLK","District Mondoro",3,NA,"Mali","Douentza","District Mondoro"
"on8EBjmC4bt","District Mopti",3,NA,"Mali","Mopti","District Mopti"
"wk2UGAPCbar","District N'Gouma",3,NA,"Mali","Douentza","District N'Gouma"
"xKHqI0GLQV0","District Nara",3,NA,"Mali","Nara","District Nara"
"V1Phbg4JpnJ","District Niafunké",3,NA,"Mali","Tombouctou","District Niafunké"
"RnafUacJP4d","District Niena",3,NA,"Mali","Sikasso","District Niena"
"kMSCx2kTtn4","District Ningari",3,NA,"Mali","Bandiagara","District Ningari"
"nk7s1fmEgm1","District Niono",3,NA,"Mali","Ségou","District Niono"
"FazDeCvYpVy","District Nioro",3,NA,"Mali","Nioro","District Nioro"
"pxhFqazkqJr","District Ouelessebougou",3,NA,"Mali","Bougouni","District Ouelessebougou"
"BYc8p4oXPS3","District Oussoubidiagna",3,NA,"Mali","Kayes","District Oussoubidiagna"
"iyrff2CsHGs","District Sadiola",3,NA,"Mali","Kayes","District Sadiola"
"O0dNwvJikKG","District Sagabari",3,NA,"Mali","Kita","District Sagabari"
"y1PVbdzmPfn","District San",3,NA,"Mali","San","District San"
"FOgsy8asB5o","District Sandaré",3,NA,"Mali","Nioro","District Sandaré"
"yI7GOq13XAJ","District Sangha",3,NA,"Mali","Bandiagara","District Sangha"
"RgOvQuppC3s","District Sebekoro",3,NA,"Mali","Kita","District Sebekoro"
"IKpDqqhEqiu","District Sefeto",3,NA,"Mali","Kita","District Sefeto"
"yzyt1KWu9em","District Selingue",3,NA,"Mali","Bougouni","District Selingue"
"ofh4ffMQKxA","District Sikasso",3,NA,"Mali","Sikasso","District Sikasso"
"e5Bzq49sFlY","District Sirakoro",3,NA,"Mali","Kita","District Sirakoro"
"g561kntKK4V","District Ségala",3,NA,"Mali","Kayes","District Ségala"
"drNjp3zwUsh","District Ségou",3,NA,"Mali","Ségou","District Ségou"
"Z25jUNO8dyq","District Tenenkou",3,NA,"Mali","Mopti","District Tenenkou"
"ZsDQprMZNrP","District Tessalit",3,NA,"Mali","Kidal","District Tessalit"
"aKZDVhBjuXD","District Tidermene",3,NA,"Mali","Menaka","District Tidermene"
"UzMyegEk4nu","District TinEssako",3,NA,"Mali","Kidal","District TinEssako"
"roYLMXLg9q3","District Tombouctou",3,NA,"Mali","Tombouctou","District Tombouctou"
"hZSnhDLDJfg","District Tominian",3,NA,"Mali","San","District Tominian"
"jUCzRr5IbsJ","District Toukoto",3,NA,"Mali","Kita","District Toukoto"
"oSjxANwbAuB","District Troungoumbé",3,NA,"Mali","Nioro","District Troungoumbé"
"cBGQNAoPtWQ","District Yanfolila",3,NA,"Mali","Bougouni","District Yanfolila"
"hq5rA2dAQKV","District Yelimane",3,NA,"Mali","Kayes","District Yelimane"
"Jm9oeVJLVOb","District Yorosso",3,NA,"Mali","Koutiala","District Yorosso"
"b8LhhXp1sQV","District Youwarou",3,NA,"Mali","Mopti","District Youwarou"
"z6vXZ3R6ML5","Douentza",2,NA,"Mali","Douentza",NA
"b8cPdByQrSG","Gao",2,NA,"Mali","Gao",NA
"n6SljOoDpTr","Kayes",2,NA,"Mali","Kayes",NA
"CIWkWrHzMpi","Kidal",2,NA,"Mali","Kidal",NA
"slMWYUCZXMA","Kita",2,NA,"Mali","Kita",NA
"GTkaSxaspwx","Koulikoro",2,NA,"Mali","Koulikoro",NA
"Iu0oPEvSuVx","Koutiala",2,NA,"Mali","Koutiala",NA
"cKcuEmNzNF2","Mali",1,"ML","Mali",NA,NA
"znoHlSTEiRW","Menaka",2,NA,"Mali","Menaka",NA
"clmk5ZDaCyP","Mopti",2,NA,"Mali","Mopti",NA
"WX35SOR5Aju","Nara",2,NA,"Mali","Nara",NA
"NSeyP5A4lpj","Nioro",2,NA,"Mali","Nioro",NA
"uBqDXxOfSdz","San",2,NA,"Mali","San",NA
"juGgAIcaH6G","Sikasso",2,NA,"Mali","Sikasso",NA
"w9OYIUXaZuO","Ségou",2,NA,"Mali","Ségou",NA
"i0eHXErts7M","Taoudenni",2,NA,"Mali","Taoudenni",NA
