"admin_area_1","admin_area_2","admin_area_3"
"Mali","Bamako","1er arrondissement"
"Mali","Bamako","2ème arrondissement"
"Mali","Bamako","3ème arrondissement"
"Mali","Bamako","4ème arrondissement"
"Mali","Bamako","5ème arrondissement"
"Mali","Bamako","6ème arrondissement"
"Mali","Bamako","7ème arrondissement"
"Mali","Bandiagara","District Bandiagara"
"Mali","Bandiagara","District Bankass"
"Mali","Bandiagara","District Kani-Gogouna"
"Mali","Bandiagara","District Kendie"
"Mali","Bandiagara","District Koro"
"Mali","Bandiagara","District Ningari"
"Mali","Bandiagara","District Sangha"
"Mali","Bougouni","District Bougouni"
"Mali","Bougouni","District Kolondieba"
"Mali","Bougouni","District Ouelessebougou"
"Mali","Bougouni","District Selingue"
"Mali","Bougouni","District Yanfolila"
"Mali","Dioila","District Dioila"
"Mali","Dioila","District Fana"
"Mali","Douentza","District Boni"
"Mali","Douentza","District Boré"
"Mali","Douentza","District Douentza"
"Mali","Douentza","District Hombori"
"Mali","Douentza","District Mondoro"
"Mali","Douentza","District N'Gouma"
"Mali","Gao","District Ansongo"
"Mali","Gao","District Bourem"
"Mali","Gao","District Gao"
"Mali","Kayes","District Ambidedi"
"Mali","Kayes","District Aourou"
"Mali","Kayes","District Bafoulabe"
"Mali","Kayes","District Diamou"
"Mali","Kayes","District Kayes"
"Mali","Kayes","District Kenieba"
"Mali","Kayes","District Oussoubidiagna"
"Mali","Kayes","District Sadiola"
"Mali","Kayes","District Ségala"
"Mali","Kayes","District Yelimane"
"Mali","Kidal","District Abeibara"
"Mali","Kidal","District Kidal"
"Mali","Kidal","District Tessalit"
"Mali","Kidal","District TinEssako"
"Mali","Kita","District Kita"
"Mali","Kita","District Sagabari"
"Mali","Kita","District Sebekoro"
"Mali","Kita","District Sefeto"
"Mali","Kita","District Sirakoro"
"Mali","Kita","District Toukoto"
"Mali","Koulikoro","District Banamba"
"Mali","Koulikoro","District Kangaba"
"Mali","Koulikoro","District Kati"
"Mali","Koulikoro","District Kolokani"
"Mali","Koulikoro","District Koulikoro"
"Mali","Koutiala","District Yorosso"
"Mali","Menaka","District Anderamboukane"
"Mali","Menaka","District Inekar"
"Mali","Menaka","District Menaka"
"Mali","Menaka","District Tidermene"
"Mali","Mopti","District Djenné"
"Mali","Mopti","District Mopti"
"Mali","Mopti","District Tenenkou"
"Mali","Mopti","District Youwarou"
"Mali","Nara","District Nara"
"Mali","Nioro","District Diema"
"Mali","Nioro","District Nioro"
"Mali","Nioro","District Sandaré"
"Mali","Nioro","District Troungoumbé"
"Mali","San","District San"
"Mali","San","District Tominian"
"Mali","Sikasso","District Kadiolo"
"Mali","Sikasso","District Kignan"
"Mali","Sikasso","District Niena"
"Mali","Sikasso","District Sikasso"
"Mali","Ségou","District Baroueli"
"Mali","Ségou","District Bla"
"Mali","Ségou","District Macina"
"Mali","Ségou","District Markala"
"Mali","Ségou","District Niono"
"Mali","Ségou","District Ségou"
"Mali","Tombouctou","District Diré"
"Mali","Tombouctou","District Goundam"
"Mali","Tombouctou","District Gourma-Rharous"
"Mali","Tombouctou","District Niafunké"
"Mali","Tombouctou","District Tombouctou"
