"id","name","level","code","admin_area_1","admin_area_2","admin_area_3"
"ppjp2pXMcnQ","","5","","Mauritanie","Adrar","Aoujeft (Moughataa)"
"rJqTVhl24N3","","5","","Mauritanie","Adrar","Aoujeft (Moughataa)"
"ORbuW7BoQS4","","5","","Mauritanie","Adrar","Aoujeft (Moughataa)"
"ZoJbz2M6KdF","","5","","Mauritanie","Adrar","Aoujeft (Moughataa)"
"jjvSfLANhSu","","5","","Mauritanie","Adrar","Aoujeft (Moughataa)"
"DhXnHuNruTE","","5","","Mauritanie","Adrar","Aoujeft (Moughataa)"
"t6VQlQJLcrB","","5","","Mauritanie","Adrar","Aoujeft (Moughataa)"
"XbXR6AB1vak","","5","","Mauritanie","Adrar","Aoujeft (Moughataa)"
"vfk5cGMezjY","","5","","Mauritanie","Adrar","Aoujeft (Moughataa)"
"fI0DHotsL3e","","5","","Mauritanie","Adrar","Aoujeft (Moughataa)"
"v0xPT89zfVR","","5","","Mauritanie","Adrar","Aoujeft (Moughataa)"
"Sn4aYngWzuJ","","5","","Mauritanie","Adrar","Aoujeft (Moughataa)"
"TppCr1lTsqU","","5","","Mauritanie","Adrar","Aoujeft (Moughataa)"
"vbCVKzU3Sox","","5","","Mauritanie","Adrar","Aoujeft (Moughataa)"
"jacglalkcu4","","5","","Mauritanie","Adrar","Aoujeft (Moughataa)"
"UcwGz1YMOwv","","5","","Mauritanie","Adrar","Atar (Moughataa)"
"UhzzJ2dXgFY","","5","","Mauritanie","Adrar","Atar (Moughataa)"
"zCn9sLuUGvE","","5","","Mauritanie","Adrar","Atar (Moughataa)"
"W2TQ1wnsnLM","","5","","Mauritanie","Adrar","Atar (Moughataa)"
"DEPbKv2Z2P1","","5","","Mauritanie","Adrar","Atar (Moughataa)"
"iUS8meZ8Yyu","","5","","Mauritanie","Adrar","Atar (Moughataa)"
"vFgAW5mXqPc","","5","","Mauritanie","Adrar","Atar (Moughataa)"
"Zdp2nByHxZH","","5","","Mauritanie","Adrar","Atar (Moughataa)"
"cMnjmpa4wiw","","5","","Mauritanie","Adrar","Atar (Moughataa)"
"LiLWh08km9U","","5","","Mauritanie","Adrar","Atar (Moughataa)"
"U9d5EF7XESJ","","5","","Mauritanie","Adrar","Atar (Moughataa)"
"rQDVkuejSNY","","5","","Mauritanie","Adrar","Atar (Moughataa)"
"Z8gDIo2vIKg","","5","","Mauritanie","Adrar","Atar (Moughataa)"
"toqtc4xFVHQ","","5","","Mauritanie","Adrar","Atar (Moughataa)"
"DWFrVUatmw3","","5","","Mauritanie","Adrar","Atar (Moughataa)"
"IDS89g3LXui","","5","","Mauritanie","Adrar","Atar (Moughataa)"
"VaY2pANfjLS","","5","","Mauritanie","Adrar","Atar (Moughataa)"
"y0GklYYQa4n","","5","","Mauritanie","Adrar","Atar (Moughataa)"
"eaM54fE28BN","","5","","Mauritanie","Adrar","Chinguitti (Moughataa)"
"vIcaAtnUHsP","","5","","Mauritanie","Adrar","Chinguitti (Moughataa)"
"NlOr2CcjvUQ","","5","","Mauritanie","Adrar","Chinguitti (Moughataa)"
"jZLLWO8MvXU","","5","","Mauritanie","Adrar","Chinguitti (Moughataa)"
"QlWOV6hPnrB","","5","","Mauritanie","Adrar","Chinguitti (Moughataa)"
"fg0YOR0Wlxy","","5","","Mauritanie","Adrar","Ouadane (Moughataa)"
"EhjW0tZlwYo","","5","","Mauritanie","Adrar","Ouadane (Moughataa)"
"cQwZYyMJFa6","","5","","Mauritanie","Adrar","Ouadane (Moughataa)"
"t47g7GkHVcT","","5","","Mauritanie","Adrar","Ouadane (Moughataa)"
"HH7XPJ9uVck","","5","","Mauritanie","Adrar","Ouadane (Moughataa)"
"WwZm5F6Sljc","","5","","Mauritanie","Assaba","Barkéol (Moughataa)"
"fFBVipOGWDr","","5","","Mauritanie","Assaba","Barkéol (Moughataa)"
"MGKdQEcWXss","","5","","Mauritanie","Assaba","Barkéol (Moughataa)"
"YzaeiLZUGHM","","5","","Mauritanie","Assaba","Barkéol (Moughataa)"
"sp11ueW40V1","","5","","Mauritanie","Assaba","Barkéol (Moughataa)"
"E4LoHiSYhYG","","5","","Mauritanie","Assaba","Barkéol (Moughataa)"
"nPodSbmLjV2","","5","","Mauritanie","Assaba","Barkéol (Moughataa)"
"YQ23BKv7Q5j","","5","","Mauritanie","Assaba","Barkéol (Moughataa)"
"aNFZNyLKRGo","","5","","Mauritanie","Assaba","Barkéol (Moughataa)"
"WSkoUP1LUXe","","5","","Mauritanie","Assaba","Barkéol (Moughataa)"
"swlRudGWw6G","","5","","Mauritanie","Assaba","Barkéol (Moughataa)"
"ZZD6Lg4tBt3","","5","","Mauritanie","Assaba","Barkéol (Moughataa)"
"f8yxDClqZY4","","5","","Mauritanie","Assaba","Barkéol (Moughataa)"
"oLPFGq0OoRj","","5","","Mauritanie","Assaba","Barkéol (Moughataa)"
"s8n5Hx3ywnX","","5","","Mauritanie","Assaba","Barkéol (Moughataa)"
"dSGKIU2aF3z","","5","","Mauritanie","Assaba","Barkéol (Moughataa)"
"xDlawAddaCv","","5","","Mauritanie","Assaba","Barkéol (Moughataa)"
"DgqaoFRJt0S","","5","","Mauritanie","Assaba","Barkéol (Moughataa)"
"ubCLcynjmow","","5","","Mauritanie","Assaba","Barkéol (Moughataa)"
"Y6o0Fvm1vg1","","5","","Mauritanie","Assaba","Barkéol (Moughataa)"
"zG5nlXmlqFS","","5","","Mauritanie","Assaba","Barkéol (Moughataa)"
"cVY1mrl6mNb","","5","","Mauritanie","Assaba","Barkéol (Moughataa)"
"mFjiaPoCeWU","","5","","Mauritanie","Assaba","Barkéol (Moughataa)"
"XirjCww0Evp","","5","","Mauritanie","Assaba","Barkéol (Moughataa)"
"ywIusN9QuO7","","5","","Mauritanie","Assaba","Barkéol (Moughataa)"
"VmrnKmzmrwV","","5","","Mauritanie","Assaba","Barkéol (Moughataa)"
"FlT65SemV41","","5","","Mauritanie","Assaba","Barkéol (Moughataa)"
"tToLPWIQJax","","5","","Mauritanie","Assaba","Barkéol (Moughataa)"
"PrVyrzMZPkm","","5","","Mauritanie","Assaba","Barkéol (Moughataa)"
