"admin_area_1","admin_area_2","admin_area_3"
NA,"Adrar","Aoujeft (Moughataa)"
NA,"Adrar","Atar (Moughataa)"
NA,"Adrar","Chinguitti (Moughataa)"
NA,"Adrar","Ouadane (Moughataa)"
NA,"Assaba","Barkéol (Moughataa)"
NA,"Assaba","Boumdeid (Moughataa)"
NA,"Assaba","Guerou (Moughataa)"
NA,"Assaba","Kankoussa (Moughataa)"
NA,"Assaba","Kiffa (Moughataa)"
NA,"Brakna","Aleg (Moughataa)"
NA,"Brakna","Bababé (Moughataa)"
NA,"Brakna","Boghé (Moughataa)"
NA,"Brakna","Magtalahjar (Moughataa)"
NA,"Brakna","M’Bagne (Moughataa)"
NA,"Dakhlet Nouadhibou","Chami (Moughataa)"
NA,"Dakhlet Nouadhibou","Nouadhibou (Moughataa)"
NA,"Gorgol","Kaedi (Moughataa)"
NA,"Gorgol","Maghama (Moughataa)"
NA,"Gorgol","Mounguel (Moughataa)"
NA,"Gorgol","M’Bout (Moughataa)"
NA,"Guidimagha","Ould Yenge (Moughataa)"
NA,"Hodh Chargui","Amourj (Moughataa)"
NA,"Hodh Chargui","Bassiknou (Moughataa)"
NA,"Hodh Chargui","D'Har (Moughataa)"
NA,"Hodh Chargui","Djiguenni (Moughataa)"
NA,"Hodh Chargui","Néma (Moughataa)"
NA,"Hodh Chargui","Oualata (Moughataa)"
NA,"Hodh Chargui","Timbédra (Moughataa)"
NA,"Hodh El Gharbi","Aioun"
NA,"Hodh El Gharbi","Kobeni"
NA,"Hodh El Gharbi","Tamchekett"
NA,"Inchiri","Akjoujt (Moughataa)"
NA,"Nouakchott  Nord","Dar Naïm (Moughataa)"
NA,"Nouakchott Ouest","Ksar (Moughataa)"
NA,"Nouakchott Sud","Arafat (Moughataa)"
NA,"Nouakchott Sud","El Mina (Moughataa)"
NA,"Tagant","Moudjeria (Moughataa)"
NA,"Tiris Zemmour","Bir Moughrein (Moughataa)"
NA,"Tiris Zemmour","F’Deirick (Moughataa)"
NA,"Trarza","Boutilimit (Moughataa)"
NA,"Trarza","Keur Macen (Moughataa)"
NA,"Trarza","Mederdra (Moughataa)"
NA,"Trarza","Ouad Naga (Moughataa)"
