facility_id,admin_area_1,admin_area_2,admin_area_3,admin_area_4
A0SSZxR8V5z,MOÇAMBIQUE,NAMPULA,MONAPO,FACILITY AT LEVEL 4: MONAPO
a1eoyaVa0ET,MOÇAMBIQUE,GAZA,CHIBUTO,FACILITY AT LEVEL 4: CHIBUTO
a1heQ4p4rvV,MOÇAMBIQUE,TETE,MARARA,FACILITY AT LEVEL 4: MARARA
a1izOXrOsNy,MOÇAMBIQUE,CABO DELGADO,MUIDUMBE,FACILITY AT LEVEL 4: MUIDUMBE
a1ymro2d2Mg,MOÇAMBIQUE,NAMPULA,MALEMA,FACILITY AT LEVEL 4: MALEMA
a2YasQD4kJk,MOÇAMBIQUE,TETE,MÁGOÈ,FACILITY AT LEVEL 4: MÁGOÈ
a32ZqD2E3Yx,MOÇAMBIQUE,MAPUTO CIDADE,KAMPFUMO,FACILITY AT LEVEL 4: KAMPFUMO
a33cvtuk1NA,MOÇAMBIQUE,MANICA,MACHAZE,FACILITY AT LEVEL 4: MACHAZE
A3PoJnxDNtG,MOÇAMBIQUE,TETE,DOA,FACILITY AT LEVEL 4: DOA
A46OcWC1yqL,MOÇAMBIQUE,MAPUTO CIDADE,NLHAMANKULU,FACILITY AT LEVEL 4: NLHAMANKULU
A53qiL4YX2Z,MOÇAMBIQUE,NIASSA,MECULA,FACILITY AT LEVEL 4: MECULA
a53u0Yd8O3F,MOÇAMBIQUE,ZAMBEZIA,PEBANE,FACILITY AT LEVEL 4: PEBANE
A5Gyo7yDaw1,MOÇAMBIQUE,MANICA,SUSSUNDENGA,FACILITY AT LEVEL 4: SUSSUNDENGA
A5LVALJosbY,MOÇAMBIQUE,INHAMBANE,INHARRIME,FACILITY AT LEVEL 4: INHARRIME
A66nql6zpW8,MOÇAMBIQUE,NIASSA,MARRUPA,FACILITY AT LEVEL 4: MARRUPA
a68GXh8WZrL,MOÇAMBIQUE,NAMPULA,MUECATE,FACILITY AT LEVEL 4: MUECATE
A7Ufxcr4R37,MOÇAMBIQUE,INHAMBANE,MAXIXE,FACILITY AT LEVEL 4: MAXIXE
A8IyTqWIP3L,MOÇAMBIQUE,GAZA,DISTRITO DE XAI-XAI (EXTINTO),FACILITY AT LEVEL 4: DISTRITO DE XAI-XAI (EXTINTO)
A90TdZN4Wqt,MOÇAMBIQUE,GAZA,GUIJÁ,FACILITY AT LEVEL 4: GUIJÁ
A94FoovvKnu,MOÇAMBIQUE,MANICA,SUSSUNDENGA,FACILITY AT LEVEL 4: SUSSUNDENGA
A9KLfTwW5Mn,MOÇAMBIQUE,SOFALA,CAIA,FACILITY AT LEVEL 4: CAIA
