facility_id,admin_area_1,admin_area_2,admin_area_3,admin_area_4
A0L1KvXYiSD,Niger,Zinder,DS Goure,Commune Goure
A0MFn6k91gn,Niger,Agadez,DS Ingall,Commune Ingall
A17GOu2SJ4V,Niger,Zinder,DS Damgaram Takaya,Commune Mazamni
A1eqUY0rFka,Niger,Diffa,DS Goudoumaria,Commune Goudoumaria
A1uHksfMI5v,Niger,Tahoua,DS Tahoua Commune,Commune Tahoua Ii
A1vtvoeWygG,Niger,Agadez,DS Bilma,HD Bilma
a1XEApjslyk,Niger,Zinder,DS Zinder Ville,Commune 3è Arrondissement
a3GPr50gayw,Niger,Maradi,DS Gazaoua,Commune Gazaoua
A3kL22ePL06,Niger,Maradi,DS Tessaoua,Commune Ourafane
A3twnEeyA2r,Niger,Zinder,DS Damgaram Takaya,Commune Moa
a4kqpMa0IMC,Niger,Tahoua,DS Keita,HD Keita
A4Lz5bmS8o2,Niger,Maradi,DS Madarounfa,Commune Dan Issa
a4tCJibeNiI,Niger,Tahoua,DS Tahoua,Commune Affala
A53CYTW43NY,Niger,Niamey,DS Niamey III,Commune 3ème Arrondissement
A5C5JKaqlwc,Niger,Maradi,DS Dakoro,Commune Adjekoria
A5lXG2ojhNU,Niger,Niamey,DS Niamey IV,Commune 4ème Arrondissement
a5mh80r1HDQ,Niger,Tillaberi,DS Ouallam,Commune Simiri
a5U2FQhLaTa,Niger,Dosso,DS Dosso,Commune Dosso
a63qKaedeuw,Niger,Zinder,DS Matamèye,Commune Kantché
a6hMpXiN3jA,Niger,Zinder,DS Mirriah,Commune Droum
A6TJ5mCxBUF,Niger,Zinder,DS Tanout,HD Tanout
A6WkgW2M1Yy,Niger,Maradi,DS Dakoro,Commune Birni Lalle
A72NMwf4Rye,Niger,Dosso,DS Gaya,Commune Yélou
a7B51t2PzbD,Niger,Diffa,DS Mainé Soroa,Commune Maïné Soroa
a7dLDtw0YUG,Niger,Maradi,DS Aguié,Commune Aguie
A7MhO5WSYRk,Niger,Zinder,DS Tanout,Commune Gangara Tanout
A83mHDk03JP,Niger,Tahoua,DS Illéla,Commune Illéla
A8yMZXZPfkt,Niger,Maradi,DS Tessaoua,Commune Korgom
A9GLCfKXXQV,Niger,Niamey,DS Niamey IV,Commune 4ème Arrondissement
a9lJHr2Bsdv,Niger,Tahoua,DS Birni Konni,Commune Tsernaoua
aa6OIEWJltW,Niger,Diffa,DS N'Guigmi,Commune N'Guigmi
AABRKKK0s5s,Niger,Dosso,DS Dogon Doutchi,Commune Matankari
Aadct6eFxoA,Niger,Zinder,DS Matamèye,Commune Dan Barto
AaKBzGyxZIR,Niger,Maradi,DS Guidan Roumdji,Commune Guidan Roumdji
aAyqC6hp5uF,Niger,Zinder,DS Zinder Ville,Commune 3è Arrondissement
AB9LlK7xuWP,Niger,Agadez,DS Tchirozérine,Commune Tchirozérine
aBHhDw4mJol,Niger,Tahoua,DS Madaoua,Commune Galma
ABOrU7hq6dC,Niger,Agadez,DS Ingall,Commune Ingall
aBvKrnvYoTu,Niger,Zinder,DS Tanout,Commune Tanout
ABVWcsy3dHz,Niger,Tillaberi,DS Tera,Commune Téra
ABVyDbQH0dc,Niger,Tillaberi,DS Torodi,Commune Torodi
aC8XduoYVFT,Niger,Maradi,DS Maradi Ville,Commune Maradi 3
ac9ww1FWAo4,Niger,Tahoua,DS Bagaroua,HD Bagaroua
aCEbEpurofx,Niger,Maradi,DS Guidan Roumdji,Commune Tibiri Maradi
acPDF5AFWj9,Niger,Maradi,DS Madarounfa,Commune Madarounfa
AdcVupWpGvX,Niger,Dosso,DS Gaya,Commune Tanda
AdhdW6am7UC,Niger,Diffa,DS N'Gourti,Commune N'Gourti
aDoJOFt9i4V,Niger,Niamey,DS Niamey III,Commune 3ème Arrondissement
adUXE5vEMCD,Niger,Diffa,DS N'Guigmi,Commune N'Guigmi
ADxgEFzk04G,Niger,Tillaberi,DS Tera,Commune Kokorou
AdZcH9TOgPC,Niger,Niamey,DS Niamey II,Commune 2ème Arrondissement
aE8dpi5bXv3,Niger,Niamey,DS Niamey V,Commune 5ème Arrondissement
AeFVOiL5ID0,Niger,Agadez,DS Iferouane,Commune Iférouane
AemghRU7LDe,Niger,Zinder,DS Damgaram Takaya,Commune Kagna Wamé
AENvWBwyDuW,Niger,Tahoua,DS Abalak,Commune Akoubounou
aeq1GqtWqyS,Niger,Diffa,DS Goudoumaria,Commune Goudoumaria
AfCbwqcqs1W,Niger,Diffa,DS Mainé Soroa,Commune N'Guel Beyli
AFQPo9hP1ok,Niger,Tahoua,DS Tchintabaraden,Commune Tchintabaraden
afW9jJAn37v,Niger,Dosso,DS Dogon Doutchi,Commune Soucoucoutane
AfycwlRdJ5m,Niger,Tahoua,DS Illéla,Commune Badaguichiri
AG6MC4V0Uby,Niger,Tahoua,DS Bouza,HD Bouza
AGB2eYEvubX,Niger,Maradi,DS Mayahi,Commune Mayahi
