"id","name","level","code","admin_area_1","admin_area_2","admin_area_3"
"NmLIx68MjRi","ab Aba North Local Government Area",3,NA,NA,"ab Abia State","ab Aba North Local Government Area"
"FQhClVW8Xg4","ab Aba South Local Government Area",3,NA,NA,"ab Abia State","ab Aba South Local Government Area"
"FHlOerryBjk","ab Abia State",2,NA,NA,"ab Abia State",NA
"YmDVu2Zobjx","ab Arochukwu Local Government Area",3,NA,NA,"ab Abia State","ab Arochukwu Local Government Area"
"mM1oE6m2BPZ","ab Bende Local Government Area",3,NA,NA,"ab Abia State","ab Bende Local Government Area"
"XrdEDixLBo6","ab Ikwuano Local Government Area",3,NA,NA,"ab Abia State","ab Ikwuano Local Government Area"
"noxZsS0SI3j","ab Isiala-Ngwa North Local Government Area",3,NA,NA,"ab Abia State","ab Isiala-Ngwa North Local Government Area"
"PvCx4O9hUyE","ab Isiala-Ngwa South Local Government Area",3,NA,NA,"ab Abia State","ab Isiala-Ngwa South Local Government Area"
"VVYnLplahao","ab Isuikwuato Local Government Area",3,NA,NA,"ab Abia State","ab Isuikwuato Local Government Area"
"CaNeJHeZmUR","ab Ohafia Local Government Area",3,NA,NA,"ab Abia State","ab Ohafia Local Government Area"
"R72wK9F1YKO","ab Osisioma Ngwa Local Government Area",3,NA,NA,"ab Abia State","ab Osisioma Ngwa Local Government Area"
"hbPiBm4baVQ","ab Ugwunagbo Local Government Area",3,NA,NA,"ab Abia State","ab Ugwunagbo Local Government Area"
"MOb01aK42zX","ab Ukwa East Local Government Area",3,NA,NA,"ab Abia State","ab Ukwa East Local Government Area"
"VIBkrLoSn6m","ab Ukwa West Local Government Area",3,NA,NA,"ab Abia State","ab Ukwa West Local Government Area"
"Nya0Lyr9MV5","ab Umuahia North Local Government Area",3,NA,NA,"ab Abia State","ab Umuahia North Local Government Area"
"gtiaV7dAXXP","ab Umuahia South Local Government Area",3,NA,NA,"ab Abia State","ab Umuahia South Local Government Area"
"OgjFloqKoqk","ad Adamawa State",2,NA,NA,"ad Adamawa State",NA
"agAcarLl8in","ad Demsa Local Government Area",3,NA,NA,"ad Adamawa State","ad Demsa Local Government Area"
"MTrbt9Enp9l","ad Fufore Local Government Area",3,NA,NA,"ad Adamawa State","ad Fufore Local Government Area"
"uH7aGHolUPO","ad Ganye Local Government Area",3,NA,NA,"ad Adamawa State","ad Ganye Local Government Area"
"gR02KHxwEkC","ad Gombi Local Government Area",3,NA,NA,"ad Adamawa State","ad Gombi Local Government Area"
"nTbVPkvXnYg","ad Guyuk Local Government Area",3,NA,NA,"ad Adamawa State","ad Guyuk Local Government Area"
