"admin_area_1","admin_area_2","admin_area_3"
NA,"ab Abia State","ab Aba North Local Government Area"
NA,"ab Abia State","ab Aba South Local Government Area"
NA,"ab Abia State","ab Arochukwu Local Government Area"
NA,"ab Abia State","ab Bende Local Government Area"
NA,"ab Abia State","ab Ikwuano Local Government Area"
NA,"ab Abia State","ab Isiala-Ngwa North Local Government Area"
NA,"ab Abia State","ab Isiala-Ngwa South Local Government Area"
NA,"ab Abia State","ab Isuikwuato Local Government Area"
NA,"ab Abia State","ab Ohafia Local Government Area"
NA,"ab Abia State","ab Osisioma Ngwa Local Government Area"
NA,"ab Abia State","ab Ugwunagbo Local Government Area"
NA,"ab Abia State","ab Ukwa East Local Government Area"
NA,"ab Abia State","ab Ukwa West Local Government Area"
NA,"ab Abia State","ab Umuahia North Local Government Area"
NA,"ab Abia State","ab Umuahia South Local Government Area"
NA,"ad Adamawa State","ad Demsa Local Government Area"
NA,"ad Adamawa State","ad Fufore Local Government Area"
NA,"ad Adamawa State","ad Ganye Local Government Area"
NA,"ad Adamawa State","ad Gombi Local Government Area"
NA,"ad Adamawa State","ad Guyuk Local Government Area"
NA,"ad Adamawa State","ad Hong Local Government Area"
NA,"ad Adamawa State","ad Jada Local Government Area"
NA,"ad Adamawa State","ad Lamurde Local Government Area"
NA,"ad Adamawa State","ad Madagali Local Government Area"
NA,"ad Adamawa State","ad Maiha Local Government Area"
NA,"ad Adamawa State","ad Mayo-Belwa Local Government Area"
NA,"ad Adamawa State","ad Michika Local Government Area"
NA,"ad Adamawa State","ad Mubi North Local Government Area"
NA,"ad Adamawa State","ad Mubi South Local Government Area"
NA,"ad Adamawa State","ad Numan Local Government Area"
NA,"ad Adamawa State","ad Shelleng Local Government Area"
NA,"ad Adamawa State","ad Song Local Government Area"
NA,"ad Adamawa State","ad Toungo Local Government Area"
NA,"ad Adamawa State","ad Yola North Local Government Area"
NA,"ad Adamawa State","ad Yola South Local Government Area"
NA,"ak Akwa-Ibom State","ak Abak Local Government Area"
NA,"ak Akwa-Ibom State","ak Eastern Obolo Local Government Area"
NA,"ak Akwa-Ibom State","ak Eket Local Government Area"
NA,"ak Akwa-Ibom State","ak Esit Eket Local Government Area"
NA,"ak Akwa-Ibom State","ak Essien Udim Local Government Area"
NA,"ak Akwa-Ibom State","ak Etim Ekpo Local Government Area"
NA,"ak Akwa-Ibom State","ak Etinan Local Government Area"
NA,"ak Akwa-Ibom State","ak Ibeno Local Government Area"
NA,"ak Akwa-Ibom State","ak Ibesikpo Asutan Local Government Area"
NA,"ak Akwa-Ibom State","ak Ibiono Ibom Local Government Area"
NA,"ak Akwa-Ibom State","ak Ika Local Government Area"
NA,"ak Akwa-Ibom State","ak Ikono Local Government Area"
NA,"ak Akwa-Ibom State","ak Ikot Abasi Local Government Area"
NA,"ak Akwa-Ibom State","ak Ikot Ekpene Local Government Area"
NA,"ak Akwa-Ibom State","ak Ini Local Government Area"
NA,"ak Akwa-Ibom State","ak Itu Local Government Area"
NA,"ak Akwa-Ibom State","ak Mbo Local Government Area"
NA,"ak Akwa-Ibom State","ak Mkpat Enin Local Government Area"
NA,"ak Akwa-Ibom State","ak Nsit Atai Local Government Area"
NA,"ak Akwa-Ibom State","ak Nsit Ibom Local Government Area"
