facility_id,admin_area_1,admin_area_2,admin_area_3,admin_area_4
a6016Pu6gyf,République centrafricaine,RS 7,Préfecture Bangui,District Bangui 3
A8j7cnbc7In,République centrafricaine,RS 3,Préfecture Ouham-Pende,District Paoua
a9IjgDUN4f9,République centrafricaine,RS 1,Préfecture Lobaye,District Mbaiki
A9uIIoe3gh4,République centrafricaine,RS 1,Préfecture Lobaye,District Boda
aau0Pm6Mumz,République centrafricaine,RS 1,Préfecture Ombella-Mpoko,District Bimbo
AbaOsGI3mvm,République centrafricaine,RS 2,Préfecture MambereKadei,District Carnot-Gadzi
Abcm0p4Vg2C,République centrafricaine,RS 2,Préfecture Nana-Mambere,District Bouar-Baoro
ac1C1dddlLw,République centrafricaine,RS 4,Préfecture Ouaka,District Bambari
ad053PB7CXB,République centrafricaine,RS 1,Préfecture Ombella-Mpoko,District Bimbo
AD6nJEcGXFB,République centrafricaine,RS 4,Préfecture Ouaka,District Bambari
aeYGdxaOuWH,République centrafricaine,RS 2,Préfecture Sangha-Mbaere,District Sangha-Mbaere
af2nu2MoF2x,République centrafricaine,RS 3,Préfecture Ouham-Pende,District Bozoum-Bossemptele
AFMQyP1xNPP,République centrafricaine,RS 2,Préfecture Nana-Mambere,District Baboua-Abba
AfsOdYeWzQU,République centrafricaine,RS 3,Préfecture Ouham-Pende,District Paoua
AhjvVb0DJih,République centrafricaine,RS 5,Préfecture Bamingui-Bangoran,District Bamingui-Bangoran
ai0CAfqcWoQ,République centrafricaine,RS 6,Préfecture Mbomou,District Ouango-Gambo
aiXYlsD4TiC,République centrafricaine,RS 2,Préfecture MambereKadei,District Berberati
ajI82Ojelov,République centrafricaine,RS 5,Préfecture Vakaga,District Vakaga
Ak6ThKXNLGH,République centrafricaine,RS 4,Préfecture Ouaka,District Kouango-Grimari
AKFMxOv5rvs,République centrafricaine,RS 3,Préfecture Ouham,District Nangha-Boguila
alRBUux4eO9,République centrafricaine,RS 4,Préfecture Ouaka,District Kouango-Grimari
