"id","name","level","code","admin_area_1","admin_area_2","admin_area_3"
"LJm8SDxBMyB","Bakel",3,NA,NA,"DRS Tambacounda","Bakel"
"lO4CwblYYVN","Bambey",3,NA,NA,"DRS Diourbel","Bambey"
"El1M3oIfYvP","Bignona",3,NA,NA,"DRS Ziguinchor","Bignona"
"CvM2Kfb2JLd","Birkelane",3,NA,NA,"DRS Kaffrine","Birkelane"
"V4m9mrEpzpc","Bounkiling",3,NA,NA,"DRS Sedhiou","Bounkiling"
"mkgsvc2a2Qc","Coki",3,NA,NA,"DRS Louga","Coki"
"S9nVJLlzYrK","DRS Dakar",2,NA,NA,"DRS Dakar",NA
"pEnWqa2pmQw","DRS Diourbel",2,NA,NA,"DRS Diourbel",NA
"lZTyT0gbMS6","DRS Fatick",2,NA,NA,"DRS Fatick",NA
"Z8YKBwWIsbt","DRS Kaffrine",2,NA,NA,"DRS Kaffrine",NA
"j38l70lG6M4","DRS Kaolack",2,NA,NA,"DRS Kaolack",NA
"XxcCqOYjAay","DRS Kedougou",2,NA,NA,"DRS Kedougou",NA
"Njkse7STdXr","DRS Kolda",2,NA,NA,"DRS Kolda",NA
"V7jN1cniq9e","DRS Louga",2,NA,NA,"DRS Louga",NA
"WsbbAqb9WHZ","DRS Matam",2,NA,NA,"DRS Matam",NA
"UVpppJCTjYX","DRS Saint-Louis",2,NA,NA,"DRS Saint-Louis",NA
"QbYFSeaWGLV","DRS Sedhiou",2,NA,NA,"DRS Sedhiou",NA
"vshv0AMks6w","DRS Tambacounda",2,NA,NA,"DRS Tambacounda",NA
"hSsOYZvmXjC","DRS Thies",2,NA,NA,"DRS Thies",NA
"mhdqUy2JSq0","DRS Ziguinchor",2,NA,NA,"DRS Ziguinchor",NA
"FgPPvHcpHJj","Dagana",3,NA,NA,"DRS Saint-Louis","Dagana"
"omgkhGU99k4","Dahra",3,NA,NA,"DRS Louga","Dahra"
"wtfYrXHHiL5","Dakar Centre",3,NA,NA,"DRS Dakar","Dakar Centre"
"pEapXtA3gsp","Dakar Nord",3,NA,NA,"DRS Dakar","Dakar Nord"
"N0Mj8kFkJrZ","Dakar Ouest",3,NA,NA,"DRS Dakar","Dakar Ouest"
"C45N74moRRQ","Dakar Sud",3,NA,NA,"DRS Dakar","Dakar Sud"
"L2Q8ufI7FSM","Darou-Mousty",3,NA,NA,"DRS Louga","Darou-Mousty"
"Ueuipf7CYwa","Diakhao",3,NA,NA,"DRS Fatick","Diakhao"
"Lf9Lz9VATXY","Diamniadio",3,NA,NA,"DRS Dakar","Diamniadio"
"ZkAwdyVQWvj","Diankhe Makhan",3,NA,NA,"DRS Tambacounda","Diankhe Makhan"
"DATpZ9Z8xlq","Dioffior",3,NA,NA,"DRS Fatick","Dioffior"
"acbdrWCpQwi","Diouloulou",3,NA,NA,"DRS Ziguinchor","Diouloulou"
"lLXaryLzxNG","Diourbel",3,NA,NA,"DRS Diourbel","Diourbel"
"KVSTi44pks9","Fatick",3,NA,NA,"DRS Fatick","Fatick"
"SCvkshZ55BD","Foundiougne",3,NA,NA,"DRS Fatick","Foundiougne"
"kuKm18r4bfg","Gossas",3,NA,NA,"DRS Fatick","Gossas"
"M2yWoYKnCaj","Goudiry",3,NA,NA,"DRS Tambacounda","Goudiry"
"TCzxSyyRSV6","Goudomp",3,NA,NA,"DRS Sedhiou","Goudomp"
"EzRVuIPeqIr","Guediawaye",3,NA,NA,"DRS Dakar","Guediawaye"
"xFkKUzLESp1","Guinguineo",3,NA,NA,"DRS Kaolack","Guinguineo"
"crFM7wVxVln","Joal-Fadiouth",3,NA,NA,"DRS Thies","Joal-Fadiouth"
"hOR1l4HrijS","Kaffrine",3,NA,NA,"DRS Kaffrine","Kaffrine"
"bAODWb0a5WB","Kanel",3,NA,NA,"DRS Matam","Kanel"
"ufaKjmv4b17","Kaolack",3,NA,NA,"DRS Kaolack","Kaolack"
"p0C0uysqa81","Kebemer",3,NA,NA,"DRS Louga","Kebemer"
"o0JKvC25sHP","Kedougou",3,NA,NA,"DRS Kedougou","Kedougou"
"m0AfwZGZFWc","Keur Massar",3,NA,NA,"DRS Dakar","Keur Massar"
"esF3LNBSCHF","Keur Momar Sarr",3,NA,NA,"DRS Louga","Keur Momar Sarr"
"wYzgxvgRkvX","Khombole",3,NA,NA,"DRS Thies","Khombole"
"jDnqcrw2E0e","Kidira",3,NA,NA,"DRS Tambacounda","Kidira"
