"admin_area_1","admin_area_2","admin_area_3"
NA,"DRS Dakar","Dakar Centre"
NA,"DRS Dakar","Dakar Nord"
NA,"DRS Dakar","Dakar Ouest"
NA,"DRS Dakar","Dakar Sud"
NA,"DRS Dakar","Diamniadio"
NA,"DRS Dakar","Guediawaye"
NA,"DRS Dakar","Keur Massar"
NA,"DRS Dakar","Mbao"
NA,"DRS Dakar","Pikine"
NA,"DRS Dakar","Rufisque"
NA,"DRS Dakar","Sangalkam"
NA,"DRS Dakar","Yeumbeul"
NA,"DRS Diourbel","Bambey"
NA,"DRS Diourbel","Diourbel"
NA,"DRS Diourbel","Mbacke"
NA,"DRS Diourbel","Touba"
NA,"DRS Fatick","Diakhao"
NA,"DRS Fatick","Dioffior"
NA,"DRS Fatick","Fatick"
NA,"DRS Fatick","Foundiougne"
NA,"DRS Fatick","Gossas"
NA,"DRS Fatick","Niakhar"
NA,"DRS Fatick","Passy"
NA,"DRS Fatick","Sokone"
NA,"DRS Kaffrine","Birkelane"
NA,"DRS Kaffrine","Kaffrine"
NA,"DRS Kaffrine","Koungheul"
NA,"DRS Kaffrine","Malem Hodar"
NA,"DRS Kaolack","Guinguineo"
NA,"DRS Kaolack","Kaolack"
NA,"DRS Kaolack","Ndoffane"
NA,"DRS Kaolack","Nioro"
NA,"DRS Kedougou","Kedougou"
NA,"DRS Kedougou","Salemata"
NA,"DRS Kedougou","Saraya"
NA,"DRS Kolda","Kolda"
NA,"DRS Kolda","Medina Yoro Foulah"
NA,"DRS Kolda","Velingara"
NA,"DRS Louga","Coki"
NA,"DRS Louga","Dahra"
NA,"DRS Louga","Darou-Mousty"
NA,"DRS Louga","Kebemer"
NA,"DRS Louga","Keur Momar Sarr"
NA,"DRS Louga","Linguere"
NA,"DRS Louga","Louga"
NA,"DRS Louga","Sakal"
NA,"DRS Matam","Kanel"
NA,"DRS Matam","Matam"
NA,"DRS Matam","Ranerou"
NA,"DRS Matam","Thilogne"
NA,"DRS Saint-Louis","Dagana"
NA,"DRS Saint-Louis","Pete"
NA,"DRS Saint-Louis","Podor"
NA,"DRS Saint-Louis","Richard Toll"
NA,"DRS Saint-Louis","Saint-Louis"
NA,"DRS Sedhiou","Bounkiling"
NA,"DRS Sedhiou","Goudomp"
NA,"DRS Sedhiou","Sedhiou"
NA,"DRS Tambacounda","Bakel"
NA,"DRS Tambacounda","Diankhe Makhan"
NA,"DRS Tambacounda","Goudiry"
NA,"DRS Tambacounda","Kidira"
NA,"DRS Tambacounda","Koumpentoum"
NA,"DRS Tambacounda","Makacolibantang"
NA,"DRS Tambacounda","Tambacounda"
NA,"DRS Thies","Joal-Fadiouth"
NA,"DRS Thies","Khombole"
NA,"DRS Thies","Mbour"
NA,"DRS Thies","Mekhe"
NA,"DRS Thies","Popenguine"
NA,"DRS Thies","Pout"
NA,"DRS Thies","Thiadiaye"
NA,"DRS Thies","Thies"
NA,"DRS Thies","Tivaouane"
NA,"DRS Ziguinchor","Bignona"
NA,"DRS Ziguinchor","Diouloulou"
NA,"DRS Ziguinchor","Oussouye"
NA,"DRS Ziguinchor","Thionck-Essyl"
NA,"DRS Ziguinchor","Ziguinchor"
