"id","name","level","code","admin_area_1","admin_area_2","admin_area_3"
"sYJ3wYpu8rY","Bo City Council",3,"BOO_BOOCC","Sierra Leone","Bo District","Bo City Council"
"zTHjIvPmPI0","Bo District",2,"BOO","Sierra Leone","Bo District",NA
"PANvCoWED2U","Bo District Council",3,"BOO_BOODC","Sierra Leone","Bo District","Bo District Council"
"ucyuSTA19cP","Bombali District",2,"BOM","Sierra Leone","Bombali District",NA
"S4ncnTj7qdT","Bombali District Council",3,"BOM_BOMDC","Sierra Leone","Bombali District","Bombali District Council"
"iQgaTATK59f","Bonthe District",2,"BON","Sierra Leone","Bonthe District",NA
"hHoT1cocvLp","Bonthe District Council",3,"BON_BONDC","Sierra Leone","Bonthe District","Bonthe District Council"
"LSNDbiDvRUD","Bonthe Municipal Council",3,"BON_BONMC","Sierra Leone","Bonthe District","Bonthe Municipal Council"
"pWb43ue4nt8","Falaba District",2,"FAL","Sierra Leone","Falaba District",NA
"rzm6Lwll9yA","Falaba District Council",3,"FAL_FALDC","Sierra Leone","Falaba District","Falaba District Council"
"wlDW6S0pHLL","Freetown City Council",3,"WAU_FRTCC","Sierra Leone","Western Area Urban District","Freetown City Council"
"oWaJJJLCWzI","Kailahun District",2,"KAI","Sierra Leone","Kailahun District",NA
"AvFgw0QcGrM","Kailahun District Council",3,"KAI_KAIDC","Sierra Leone","Kailahun District","Kailahun District Council"
"Ba6McOxy6D2","Kambia District",2,"KAM","Sierra Leone","Kambia District",NA
"PbIN2IEePZe","Kambia District Council",3,"KAM_KAMDC","Sierra Leone","Kambia District","Kambia District Council"
"x4tRoN2ue9w","Karene District",2,"KAR","Sierra Leone","Karene District",NA
"RDiTDCZASCX","Karene District Council",3,"KAR_KARDC","Sierra Leone","Karene District","Karene District Council"
"CkTVwQY01fI","Kenema City Council",3,"KEN_KENCC","Sierra Leone","Kenema District","Kenema City Council"
"gheAIXur8EJ","Kenema District",2,"KEN","Sierra Leone","Kenema District",NA
"SXiaqI1w0JS","Kenema District Council",3,"KEN_KENDC","Sierra Leone","Kenema District","Kenema District Council"
"FaHEx0amMeA","Koidu New Sembehun City Council",3,"KON_KNSCC","Sierra Leone","Kono District","Koidu New Sembehun City Council"
"Y7YrGOsu9fp","Koinadugu District",2,"KOI","Sierra Leone","Koinadugu District",NA
"uRIM07TDTnA","Koinadugu District Council",3,"KOI_KOIDC","Sierra Leone","Koinadugu District","Koinadugu District Council"
"P7LlNb9MosU","Kono District",2,"KON","Sierra Leone","Kono District",NA
"vwGFBHSjLcF","Kono District Council",3,"KON_KONDC","Sierra Leone","Kono District","Kono District Council"
"AzjiulQv55p","Makeni City Council",3,"BOM_MAKCC","Sierra Leone","Bombali District","Makeni City Council"
"btW1NRETLww","Moyamba District",2,"MOY","Sierra Leone","Moyamba District",NA
"cbvAvuELRPv","Moyamba District Council",3,"MOY_MOYDC","Sierra Leone","Moyamba District","Moyamba District Council"
"zbc5qyNNhxD","Port Loko City Council",3,"PLT_PLTCC","Sierra Leone","Port Loko District","Port Loko City Council"
"RjOUVJDV1Dl","Port Loko District",2,"PLT","Sierra Leone","Port Loko District",NA
"PxAWSF7DPlh","Port Loko District Council",3,"PLT_PLTDC","Sierra Leone","Port Loko District","Port Loko District Council"
"ywV0ByvR7xW","Pujehun District",2,"PUJ","Sierra Leone","Pujehun District",NA
"dLsEeelgOiA","Pujehun District Council",3,"PUJ_PUJDC","Sierra Leone","Pujehun District","Pujehun District Council"
"Plmg8ikyfrK","Sierra Leone",1,NA,"Sierra Leone",NA,NA
"yA18sXAwZJo","Tonkolili District",2,"TON","Sierra Leone","Tonkolili District",NA
"lrpQQlS8AMv","Tonkolili District Council",3,"TON_TONDC","Sierra Leone","Tonkolili District","Tonkolili District Council"
"knrO5gazmom","Western Area Rural District",2,"WAR","Sierra Leone","Western Area Rural District",NA
"zzgI1zvFUrL","Western Area Rural District Council",3,"WAR_WARDC","Sierra Leone","Western Area Rural District","Western Area Rural District Council"
"PMLlCzM0mWT","Western Area Urban District",2,"WAU","Sierra Leone","Western Area Urban District",NA
