"admin_area_1","admin_area_2","admin_area_3"
"Sierra Leone","Bo District","Bo City Council"
"Sierra Leone","Bo District","Bo District Council"
"Sierra Leone","Bombali District","Bombali District Council"
"Sierra Leone","Bombali District","Makeni City Council"
"Sierra Leone","Bonthe District","Bonthe District Council"
"Sierra Leone","Bonthe District","Bonthe Municipal Council"
"Sierra Leone","Falaba District","Falaba District Council"
"Sierra Leone","Kailahun District","Kailahun District Council"
"Sierra Leone","Kambia District","Kambia District Council"
"Sierra Leone","Karene District","Karene District Council"
"Sierra Leone","Kenema District","Kenema City Council"
"Sierra Leone","Kenema District","Kenema District Council"
"Sierra Leone","Koinadugu District","Koinadugu District Council"
"Sierra Leone","Kono District","Koidu New Sembehun City Council"
"Sierra Leone","Kono District","Kono District Council"
"Sierra Leone","Moyamba District","Moyamba District Council"
"Sierra Leone","Port Loko District","Port Loko City Council"
"Sierra Leone","Port Loko District","Port Loko District Council"
"Sierra Leone","Pujehun District","Pujehun District Council"
"Sierra Leone","Tonkolili District","Tonkolili District Council"
"Sierra Leone","Western Area Rural District","Western Area Rural District Council"
"Sierra Leone","Western Area Urban District","Freetown City Council"
