"id","name","level","code","admin_area_1","admin_area_2","admin_area_3"
"Fcc3l19zidt","Awdal Region",3,"11100","Federal Govt of Somalia",NA,"Awdal Region"
"mCyhXb31mf8","Ayn Region",3,"2800","Federal Govt of Somalia",NA,"Ayn Region"
"KIMrWRQDWuM","Bakool Region",3,"131000","Federal Govt of Somalia",NA,"Bakool Region"
"RC4WQlQtlZm","Bari Region",3,"12100","Federal Govt of Somalia",NA,"Bari Region"
"TudrpHW1cFF","Bay Region",3,"13300","Federal Govt of Somalia",NA,"Bay Region"
"F2QLFnRZUR0","Benadir Region",3,"13200","Federal Govt of Somalia",NA,"Benadir Region"
"l2RjGNB0Rwe","Federal Govt of Somalia",1,NA,"Federal Govt of Somalia",NA,NA
"qtrUAh9NRZJ","Galgadud Region",3,"13400","Federal Govt of Somalia",NA,"Galgadud Region"
"TZ6OubFf2KD","Gedo Region",3,"13500","Federal Govt of Somalia",NA,"Gedo Region"
"spjbZBQ3MbS","Hiiraan Region",3,"13600","Federal Govt of Somalia",NA,"Hiiraan Region"
"lLO3qi9mphu","Karkaar Region",3,"12300","Federal Govt of Somalia",NA,"Karkaar Region"
"j23zgWJ6vkr","Lower Juba Region",3,"13700","Federal Govt of Somalia",NA,"Lower Juba Region"
"D7G9msTT1lD","Lower Shabelle Region",3,"13800","Federal Govt of Somalia",NA,"Lower Shabelle Region"
"VGHHI9yn8J4","Marodi-Jeh Region",3,"11200","Federal Govt of Somalia",NA,"Marodi-Jeh Region"
"DQCanTSl6wZ","Middle Jubba Region",3,"131100","Federal Govt of Somalia",NA,"Middle Jubba Region"
"r6egyxMkMUD","Middle Shebelle Region",3,"13100","Federal Govt of Somalia",NA,"Middle Shebelle Region"
"xrDQ2dZrdMU","Mudug Region",3,"13900","Federal Govt of Somalia",NA,"Mudug Region"
"tVljVwz4Ro1","Mudug Region",3,"12400","Federal Govt of Somalia",NA,"Mudug Region"
"OxKQXTmBylb","Nugaal Region",3,"12500","Federal Govt of Somalia",NA,"Nugaal Region"
"EO0Ac7v5kNO","Ras-Asayr  Region",3,"12200","Federal Govt of Somalia",NA,"Ras-Asayr  Region"
"yGeM3mt29pH","Sahil Region",3,"11300","Federal Govt of Somalia",NA,"Sahil Region"
"r24T8Ca1xvO","Sanaag Region",3,"12600","Federal Govt of Somalia",NA,"Sanaag Region"
"JF9IIRF7Qzx","Sanag Region",3,"11400","Federal Govt of Somalia",NA,"Sanag Region"
"CubyBZrSky9","Sool Region",3,"11500","Federal Govt of Somalia",NA,"Sool Region"
"jZ5IrVXWURG","Sool Region ",3,"2700","Federal Govt of Somalia",NA,"Sool Region "
"pB5bFWYLMzW","Togdher Region",3,"11600","Federal Govt of Somalia",NA,"Togdher Region"
