"id","name","level","code","admin_area_1","admin_area_2","admin_area_3"
"lpQ5eSePcQa","Ainabo District",3,"11501",NA,"Sool Region","Ainabo District"
"Fcc3l19zidt","Awdal Region",2,"11100",NA,"Awdal Region",NA
"IoPGwUKyUIU","Badhan District",3,"11401",NA,"Sanag Region","Badhan District"
"GjVGd6zxFIx","Baki District",3,"11101",NA,"Awdal Region","Baki District"
"nXCOVZj7UNh","Baligubadle District",3,"11203",NA,"Marodi-Jeh Region","Baligubadle District"
"eQ2s05opSBi","Berbera District",3,"11301",NA,"Sahil Region","Berbera District"
"p9atRgG83TY","Borama District",3,"11102",NA,"Awdal Region","Borama District"
"JzLnjg4lHct","Buhodle District",3,"11601",NA,"Togdher Region","Buhodle District"
"bPf2xcTaZTM","Buroa District",3,"11602",NA,"Togdher Region","Buroa District"
"Gwg3mYw124P","El-Afweyn District",3,"11402",NA,"Sanag Region","El-Afweyn District"
"PikgaEpuBZq","Erigavo District",3,"11403",NA,"Sanag Region","Erigavo District"
"VLjaglC6tdf","Gabiley District",3,"11201",NA,"Marodi-Jeh Region","Gabiley District"
"s2bOrqHef6N","Hargeisa District",3,"11202",NA,"Marodi-Jeh Region","Hargeisa District"
"LznCQ57ZL6n","Hudun District",3,"11502",NA,"Sool Region","Hudun District"
"AHQbdsuHXKn","Laasaanod District",3,"11503",NA,"Sool Region","Laasaanod District"
"JFaLllv0mkY","Lughaya District",3,"11103",NA,"Awdal Region","Lughaya District"
"VGHHI9yn8J4","Marodi-Jeh Region",2,"11200",NA,"Marodi-Jeh Region",NA
"uCr9Hbxewkv","Odweine District",3,"11603",NA,"Togdher Region","Odweine District"
"yGeM3mt29pH","Sahil Region",2,"11300",NA,"Sahil Region",NA
"JF9IIRF7Qzx","Sanag Region",2,"11400",NA,"Sanag Region",NA
"OOhgRcBhYLX","Sheikh District",3,"11302",NA,"Sahil Region","Sheikh District"
"CubyBZrSky9","Sool Region",2,"11500",NA,"Sool Region",NA
"wkCm09PNOnA","Taleeh District",3,"11504",NA,"Sool Region","Taleeh District"
"pB5bFWYLMzW","Togdher Region",2,"11600",NA,"Togdher Region",NA
"AwT1KAKN6pX","Zeila District",3,"11104",NA,"Awdal Region","Zeila District"
