"admin_area_1","admin_area_2","admin_area_3"
NA,"Awdal Region","Baki District"
NA,"Awdal Region","Borama District"
NA,"Awdal Region","Lughaya District"
NA,"Awdal Region","Zeila District"
NA,"Marodi-Jeh Region","Baligubadle District"
NA,"Marodi-Jeh Region","Gabiley District"
NA,"Marodi-Jeh Region","Hargeisa District"
NA,"Sahil Region","Berbera District"
NA,"Sahil Region","Sheikh District"
NA,"Sanag Region","Badhan District"
NA,"Sanag Region","El-Afweyn District"
NA,"Sanag Region","Erigavo District"
NA,"Sool Region","Ainabo District"
NA,"Sool Region","Hudun District"
NA,"Sool Region","Laasaanod District"
NA,"Sool Region","Taleeh District"
NA,"Togdher Region","Buhodle District"
NA,"Togdher Region","Buroa District"
NA,"Togdher Region","Odweine District"
