facility_id,admin_area_1,admin_area_2,admin_area_3,admin_area_4
a01gDo4KauR,MOH - Uganda,North Buganda,Luwero District,Luwero DLG
a01R1qs6SXL,MOH - Uganda,Bunyoro,Kagadi District,Kagadi DLG
a0J3yqmfIkU,MOH - Uganda,Bunyoro,Masindi District,Masindi Municipality
a0KEPL0qPbZ,MOH - Uganda,Lango,Lira District,Lira DLG
A0KeWapELXA,MOH - Uganda,South Buganda,Wakiso District,Makindye Ssabagabo Municipality
a0NjFSCY24s,MOH - Uganda,Bunyoro,Kikuube District,Kikuube DLG
a0plh70j00D,MOH - Uganda,South Buganda,Wakiso District,Wakiso DLG
a0QW5pnaP7V,MOH - Uganda,Kampala,Kampala District,Kampala City Council
a0QZylgrS1T,MOH - Uganda,Lango,Kole District,Kole DLG
a0Tgsf83fGB,MOH - Uganda,Tooro,Bunyangabu District,Bunyangabu DLG
a0z9K7i9jtg,MOH - Uganda,Kampala,Kampala District,Kampala City Council
a0zKrkhl5M6,MOH - Uganda,Acholi,Lamwo District,Lamwo DLG
a14sgIjcCoT,MOH - Uganda,Busoga,Luuka District,Luuka DLG
A15NLokfXbV,MOH - Uganda,Bugisu,Kween District,Kween DLG
a1C0sK4I6RS,MOH - Uganda,Busoga,Mayuge District,Mayuge DLG
a1DNpYv02JK,MOH - Uganda,West Nile,Pakwach District,Pakwach DLG
a1FeQgM4hAI,MOH - Uganda,Ankole,Ntungamo District,Ntungamo DLG
a1H4RSyoXOj,MOH - Uganda,Tooro,Kyegegwa District,Kyegegwa DLG
a1OVdGUzoJ4,MOH - Uganda,Busoga,Bugiri District,Bugiri DLG
a1QYwgYBhMH,MOH - Uganda,Ankole,Bushenyi District,Bushenyi-Ishaka Municipality
a1SMwlwzCg2,MOH - Uganda,North Buganda,Mityana District,Mityana Municipality
a1y6GK9Otxa,MOH - Uganda,Bugisu,Mbale City,Mbale City Council
a24jrqnkYhl,MOH - Uganda,South Buganda,Rakai District,Rakai DLG
a24QnrChTZk,MOH - Uganda,North Buganda,Kayunga District,Kayunga DLG
a2a7qNyJg9j,MOH - Uganda,Acholi,Amuru District,Amuru DLG
