"facility_id","admin_area_1","admin_area_2","admin_area_3"
"A07DDnPfVPy","Zimbabwe Ministry of Health","me Mashonaland East Province","me Mudzi District"
"a1nC2XuGpY0","Zimbabwe Ministry of Health","me Mashonaland East Province","me Mudzi District"
"A1W7R6k1DFR","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Nkayi District"
"a53FjMa0Ant","Zimbabwe Ministry of Health","ma Manicaland Province","ma Mutare District"
"a5nhOcrZJdL","Zimbabwe Ministry of Health","mc Mashonaland Central Province","mc Mbire District"
"A6Zh7rdRYc6","Zimbabwe Ministry of Health","me Mashonaland East Province","me Goromonzi District"
"A79x3rVYbjm","Zimbabwe Ministry of Health","ma Manicaland Province","ma Chimanimani District"
"a7pO3OO3I52","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Hwange District"
"A925fAGWY0M","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Binga District"
"a9444lkFj8q","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Northern District"
"aA8JmPQmK81","Zimbabwe Ministry of Health","ma Manicaland Province","ma Nyanga District"
"AApdlLy8xDh","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Umguza District"
"ABH9FxABdpN","Zimbabwe Ministry of Health","ma Manicaland Province","ma Chipinge District"
"AbJRmrLd9eB","Zimbabwe Ministry of Health","mc Mashonaland Central Province","mc Mazowe District"
"aBLvPMrMUva","Zimbabwe Ministry of Health","ma Manicaland Province","ma Mutasa District"
"Abmo1sONk9G","Zimbabwe Ministry of Health","me Mashonaland East Province","me Seke District"
"AbmoDPp12lC","Zimbabwe Ministry of Health","me Mashonaland East Province","me Chikomba District"
"abUk6qibmMl","Zimbabwe Ministry of Health","mi Midlands Province","mi Shurugwi District"
"Ac5uYQLKdfz","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Eastern District"
"acCVg6eZCR4","Zimbabwe Ministry of Health","ms Matabeleland South Province","ms Umzingwane District"
"AcK4cq5nDXi","Zimbabwe Ministry of Health","mi Midlands Province","mi Gokwe South District"
"acQe3id5m7a","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Binga District"
"ACVRAzGDfqV","Zimbabwe Ministry of Health","me Mashonaland East Province","me Uzumba Maramba Pfungwe District"
"acZeUEYvJu9","Zimbabwe Ministry of Health","ma Manicaland Province","ma Mutare District"
"AD1DBy9TnBQ","Zimbabwe Ministry of Health","mv Masvingo Province","mv Masvingo District"
"AdgTOkaRMd1","Zimbabwe Ministry of Health","ma Manicaland Province","ma Mutasa District"
"AdrZGzBHBdf","Zimbabwe Ministry of Health","me Mashonaland East Province","me Uzumba Maramba Pfungwe District"
"aE9GkM17t5V","Zimbabwe Ministry of Health","mv Masvingo Province","mv Mwenezi District"
"AEArYs0pk3a","Zimbabwe Ministry of Health","ms Matabeleland South Province","ms Mangwe District"
"aFSG27wnzQY","Zimbabwe Ministry of Health","ma Manicaland Province","ma Buhera District"
"aG3e8vLBDp8","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Hurungwe District"
"AGTodPbg6kD","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Hwange District"
"aguTJqpXxlw","Zimbabwe Ministry of Health","ma Manicaland Province","ma Mutare District"
"ahIxYuB4HzP","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Hurungwe District"
"AHUpXALQka8","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Zvimba District"
"ai2dhghqcnv","Zimbabwe Ministry of Health","mv Masvingo Province","mv Gutu District"
"AI3PYYYx61D","Zimbabwe Ministry of Health","me Mashonaland East Province","me Mudzi District"
"Aiidz5NIu4q","Zimbabwe Ministry of Health","ma Manicaland Province","ma Chimanimani District"
"aIPqoEQQZu9","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Mhondoro District"
"AisLgbK7vVZ","Zimbabwe Ministry of Health","me Mashonaland East Province","me Marondera District"
"aJ0Yovbj54f","Zimbabwe Ministry of Health","ma Manicaland Province","ma Chipinge District"
"AJ3uwrj63yO","Zimbabwe Ministry of Health","mv Masvingo Province","mv Masvingo District"
"ajETJbPXyrQ","Zimbabwe Ministry of Health","mv Masvingo Province","mv Chivi District"
"AKb6QXbWJCC","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Lupane District"
"AKCduaeL1Bg","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Western District"
"AKCixQDIf0K","Zimbabwe Ministry of Health","me Mashonaland East Province","me Marondera District"
"aKQ3zNPhEB3","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Eastern District"
"AkqNidlm6TI","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Chitungwiza District"
"aL58fK7xuuQ","Zimbabwe Ministry of Health","mi Midlands Province","mi Shurugwi District"
"ALAVbX3p5mM","Zimbabwe Ministry of Health","mi Midlands Province","mi Chirumhanzu District"
"AlG6zGomOi6","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Hurungwe District"
"AlhbuXhG77V","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Zvimba District"
"ALuMO4vU6xH","Zimbabwe Ministry of Health","bu Bulawayo Metropolitan Province","bu Northern Suburbs District"
"AluwtlpghNX","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Bubi District"
"AMcdsZqn641","Zimbabwe Ministry of Health","mi Midlands Province","mi Gweru District"
"AMeY6hXLpfJ","Zimbabwe Ministry of Health","me Mashonaland East Province","me Hwedza District"
"aMFd7hYaHSk","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Zvimba District"
"AmshadDUFjP","Zimbabwe Ministry of Health","ma Manicaland Province","ma Buhera District"
"anB7WKFPWNK","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Nkayi District"
"anFVAVMwFHQ","Zimbabwe Ministry of Health","me Mashonaland East Province","me Mudzi District"
"AnhuqtGQXU9","Zimbabwe Ministry of Health","me Mashonaland East Province","me Mutoko District"
"AnZBTjK2nHz","Zimbabwe Ministry of Health","ma Manicaland Province","ma Chimanimani District"
"AoSdsIPLKWX","Zimbabwe Ministry of Health","ma Manicaland Province","ma Mutasa District"
"apmZoDToelb","Zimbabwe Ministry of Health","mi Midlands Province","mi Zvishavane District"
"aq8MAvUpdWn","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Hwange District"
"aqDFRDAgV5s","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Nkayi District"
"Aqp0UdKoD2W","Zimbabwe Ministry of Health","ma Manicaland Province","ma Chimanimani District"
"aQzGic9oHJG","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Southern District"
"Ar3EoMxeBHu","Zimbabwe Ministry of Health","bu Bulawayo Metropolitan Province","bu Northern Suburbs District"
"aRmDTKpYMUk","Zimbabwe Ministry of Health","ms Matabeleland South Province","ms Matobo District"
"arOd51g8jSQ","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Hurungwe District"
"ArXjrHhIJwx","Zimbabwe Ministry of Health","mc Mashonaland Central Province","mc Shamva District"
"arxXEDOObfS","Zimbabwe Ministry of Health","ma Manicaland Province","ma Chipinge District"
"AS8MaWY2nbY","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Hwange District"
"AsmK5WOEVFv","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Hurungwe District"
"at3qxY6zsWt","Zimbabwe Ministry of Health","ms Matabeleland South Province","ms Umzingwane District"
"atIzgRoLGLR","Zimbabwe Ministry of Health","mc Mashonaland Central Province","mc Bindura District"
"ATuks3IFh6J","Zimbabwe Ministry of Health","mv Masvingo Province","mv Chiredzi District"
"ATW7rLLuxXS","Zimbabwe Ministry of Health","ma Manicaland Province","ma Mutasa District"
"atzPnwnfKwM","Zimbabwe Ministry of Health","me Mashonaland East Province","me Mudzi District"
"aU0pH9gpvY9","Zimbabwe Ministry of Health","mc Mashonaland Central Province","mc Mazowe District"
"auaQozRIOLm","Zimbabwe Ministry of Health","mc Mashonaland Central Province","mc Mount Darwin District"
"AuqKYXFP66Z","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Eastern District"
"auz4Ra5EwDp","Zimbabwe Ministry of Health","me Mashonaland East Province","me Chikomba District"
"Av1WTSRTRYk","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Hurungwe District"
"AvldN9Anc7S","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Hwange District"
"Aw0gLK0LUg8","Zimbabwe Ministry of Health","ma Manicaland Province","ma Makoni District"
"aWd20Dgkezw","Zimbabwe Ministry of Health","mi Midlands Province","mi Mberengwa District"
"aWhygv9Wr7a","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Zvimba District"
"AWivwhWkNzl","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Hurungwe District"
"aWzNvLJPiws","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Hwange District"
"AXBqSlJtWxr","Zimbabwe Ministry of Health","mi Midlands Province","mi Mberengwa District"
"aXbupxQbubo","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Harare Central Hospitals"
"AXfud0aoV19","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Umguza District"
"AXXQQVWUbCw","Zimbabwe Ministry of Health","me Mashonaland East Province","me Mudzi District"
"AYEjUHiuvp5","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Northern District"
"AYlIKA9TEwG","Zimbabwe Ministry of Health","mc Mashonaland Central Province","mc Mazowe District"
"aymM2tvX3J6","Zimbabwe Ministry of Health","mv Masvingo Province","mv Zaka District"
"ayVaCeZSRAC","Zimbabwe Ministry of Health","ms Matabeleland South Province","ms Gwanda District"
"AyYBDjL6cmJ","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Eastern District"
"AZ9MMvkxJ5m","Zimbabwe Ministry of Health","me Mashonaland East Province","me Chikomba District"
"B0IgvxGs1In","Zimbabwe Ministry of Health","ms Matabeleland South Province","ms Beitbridge District"
"B0siCMc82Xc","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Chegutu District"
"b0WVnEWPk15","Zimbabwe Ministry of Health","ms Matabeleland South Province","ms Mangwe District"
"B35nVDlj7GY","Zimbabwe Ministry of Health","me Mashonaland East Province","me Marondera District"
"B3QCBw575UP","Zimbabwe Ministry of Health","ma Manicaland Province","ma Mutare District"
"b4DZ2ZmH6hz","Zimbabwe Ministry of Health","ha Harare Metropolitan Province","ha Eastern District"
"B7lz3ZdJEhH","Zimbabwe Ministry of Health","me Mashonaland East Province","me Murewa District"
"B7MCqlnt9c9","Zimbabwe Ministry of Health","me Mashonaland East Province","me Goromonzi District"
"b8LkZ42m1MF","Zimbabwe Ministry of Health","mn Matabeleland North Province","mn Umguza District"
"B9rF35hip2q","Zimbabwe Ministry of Health","mc Mashonaland Central Province","mc Guruve District"
"b9vsXIKqid1","Zimbabwe Ministry of Health","mw Mashonaland West Province","mw Zvimba District"
"Ba8txogG0jd","Zimbabwe Ministry of Health","mv Masvingo Province","mv Gutu District"
"BAf7gHorQXx","Zimbabwe Ministry of Health","mi Midlands Province","mi Gweru District"
"Barfe69M30o","Zimbabwe Ministry of Health","ms Matabeleland South Province","ms Insiza District"
"bCGckHi7m7T","Zimbabwe Ministry of Health","mi Midlands Province","mi Zvishavane District"
"bCj2JfVpDwN","Zimbabwe Ministry of Health","bu Bulawayo Metropolitan Province","bu Emakhandeni District"
"BCQx0EncS5A","Zimbabwe Ministry of Health","mc Mashonaland Central Province","mc Mazowe District"
"bcTRZqn3n4R","Zimbabwe Ministry of Health","mc Mashonaland Central Province","mc Mbire District"
"BD1Jfvjv9U2","Zimbabwe Ministry of Health","ma Manicaland Province","ma Buhera District"
"bdCSEqaZjQ0","Zimbabwe Ministry of Health","mv Masvingo Province","mv Gutu District"
"BDPOo7vb6SH","Zimbabwe Ministry of Health","mv Masvingo Province","mv Gutu District"
