micsanc1,sourceanc1,micsanc4,sourceanc4,micsbcg,sourcebcg,micsdelivery,sourcedelivery,micsfp,sourcefp,micsimr,sourceimr,micsnmr,sourcenmr,micspenta1,sourcepenta1,micspenta3,sourcepenta3,micspnc1,sourcepnc1,micsstill,sourcestill,year,x,country,source_file,anc1volume,anc4volume,deliveryvolume,opdvolume,pnc1volume,fp_oralvolume,anc1mics,anc4mics,bcgmics,deliverymics,fpmics,penta3mics,anc1dhs,anc4dhs,bcgdhs,deliverydhs,fpdhs,penta3dhs,dhis_livebirth,anc4hmis,deliveryhmis,wppCBR,wppIMR,wppModernUsers,wppU5MR,wpplivebirth,wppmCPR,wpptotpop,wpptotu1pop,wpptotu5pop,wppwomenrepage,iso3,IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value,indicatortype,source,province,coverage,denominator_source,datasource,change,years,group,lastsource
,,,,31.0,WUENIC,,,,,,,45.5339000236466,UN_IGME,42.0,WUENIC,19.0,WUENIC,,,,,1990.0,,Somalia,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,31.0,WUENIC,,,,,,,45.0626539035016,UN_IGME,44.0,WUENIC,20.0,WUENIC,,,,,1991.0,,Somalia,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,37.0,WUENIC,,,,,,,44.7876975332596,UN_IGME,45.0,WUENIC,21.0,WUENIC,,,,,1992.0,,Somalia,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,42.0,WUENIC,,,,,,,44.6505780743916,UN_IGME,46.0,WUENIC,22.0,WUENIC,,,,,1993.0,,Somalia,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,48.0,WUENIC,,,,,,,44.5446599426624,UN_IGME,47.0,WUENIC,23.0,WUENIC,,,,,1994.0,,Somalia,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,46.0,WUENIC,,,,,,,44.3880006121285,UN_IGME,46.0,WUENIC,22.0,WUENIC,,,,,1995.0,,Somalia,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,43.0,WUENIC,,,,,,,44.2655853605325,UN_IGME,45.0,WUENIC,21.0,WUENIC,,,,,1996.0,,Somalia,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,37.0,WUENIC,,,,,,,44.1734843838126,UN_IGME,42.0,WUENIC,19.0,WUENIC,,,,,1997.0,,Somalia,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,54.0,WUENIC,,,,,,,44.2385187097112,UN_IGME,51.0,WUENIC,33.0,WUENIC,,,,,1998.0,,Somalia,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,71.0,WUENIC,,,,,,,44.4312424942589,UN_IGME,59.0,WUENIC,36.0,WUENIC,,,,,1999.0,,Somalia,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.3,Multiple Indicator Cluster Survey 2000,,,69.0,WUENIC,,,,,,,44.6783669894478,UN_IGME,57.0,WUENIC,33.0,WUENIC,,,,,2000.0,,Somalia,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,70.0,WUENIC,,,,,,,44.9493259923449,UN_IGME,57.0,WUENIC,33.0,WUENIC,,,,,2001.0,,Somalia,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,60.0,WUENIC,8.8,Other NS 2002,,,,,45.3181960173649,UN_IGME,60.0,WUENIC,40.0,WUENIC,,,,,2002.0,,Somalia,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,65.0,WUENIC,,,,,,,45.6183246831949,UN_IGME,65.0,WUENIC,40.0,WUENIC,,,,,2003.0,,Somalia,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,50.0,WUENIC,,,,,,,45.7428127382046,UN_IGME,50.0,WUENIC,30.0,WUENIC,,,,,2004.0,,Somalia,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,50.0,WUENIC,,,,,,,45.8579729929825,UN_IGME,50.0,WUENIC,35.0,WUENIC,,,,,2005.0,,Somalia,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.1,Multiple Indicator Cluster Survey 2006,6.3,Multiple Indicator Cluster Survey 2006,40.0,WUENIC,9.4,Multiple Indicator Cluster Survey 2006,,,,,45.8566548661746,UN_IGME,40.0,WUENIC,26.0,WUENIC,,,,,2006.0,,Somalia,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,38.0,WUENIC,,,,,,,45.5323905182664,UN_IGME,59.0,WUENIC,40.0,WUENIC,,,,,2007.0,,Somalia,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,36.0,WUENIC,,,,,,,44.9512708718601,UN_IGME,40.0,WUENIC,31.0,WUENIC,,,,,2008.0,,Somalia,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,29.0,WUENIC,,,,,,,44.2609677135536,UN_IGME,52.0,WUENIC,42.0,WUENIC,,,,,2009.0,,Somalia,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,41.0,WUENIC,,,,,,,43.6388648670509,UN_IGME,55.0,WUENIC,45.0,WUENIC,,,,,2010.0,,Somalia,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,39.0,WUENIC,,,,,,,42.8612313002966,UN_IGME,52.0,WUENIC,41.0,WUENIC,,,,,2011.0,,Somalia,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,37.0,WUENIC,,,,,,,42.3697623245837,UN_IGME,52.0,WUENIC,42.0,WUENIC,,,,,2012.0,,Somalia,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,37.0,WUENIC,,,,,,,41.6239949793963,UN_IGME,52.0,WUENIC,42.0,WUENIC,,,,,2013.0,,Somalia,MICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
